date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-06-2020,1,0,0,1,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,2,0,0,1,0,0
03-09-2020,2,0,0,0,0,0
03-10-2020,3,0,0,1,0,0
03-11-2020,5,0,0,2,0,0
03-12-2020,9,0,0,4,0,0
03-13-2020,14,0,0,5,0,0
03-14-2020,21,0,0,7,0,0
03-15-2020,35,0,0,14,0,0
03-16-2020,54,0,0,19,0,0
03-17-2020,60,0,0,6,0,0
03-18-2020,76,0,0,16,0,0
03-19-2020,89,0,0,13,0,0
03-20-2020,115,0,0,26,0,0
03-21-2020,137,1,0,22,1,0
03-22-2020,169,1,0,32,0,0
03-23-2020,235,1,0,66,0,0
03-24-2020,262,1,0,27,0,0
03-25-2020,287,1,0,25,0,0
03-26-2020,346,2,0,59,1,0
03-27-2020,398,4,0,52,2,0
03-28-2020,441,5,0,43,1,0
03-29-2020,503,9,0,62,4,0
03-30-2020,576,10,0,73,1,0
03-31-2020,629,12,0,53,2,0
04-01-2020,689,17,0,60,5,0
04-02-2020,742,18,0,53,1,0
04-03-2020,789,22,0,47,4,0
04-04-2020,865,24,0,76,2,0
04-05-2020,935,29,0,70,5,0
04-06-2020,986,30,0,51,1,0
04-07-2020,1069,34,549,83,4,549
04-08-2020,1154,39,632,85,5,83
04-09-2020,1242,50,675,88,11,43
04-10-2020,1336,57,732,94,7,57
04-11-2020,1427,64,732,91,7,0
04-12-2020,1621,70,842,194,6,110
04-13-2020,1650,70,842,29,0,0
04-14-2020,1695,79,909,45,9,67
04-15-2020,1809,87,940,114,8,31
04-16-2020,1912,95,1020,103,8,80
04-17-2020,2070,111,1066,158,16,46
04-18-2020,2213,121,1118,143,10,52
04-19-2020,2356,134,1160,143,13,42
04-20-2020,2470,143,1160,114,9,0
04-21-2020,2567,160,1160,97,17,0
04-22-2020,2722,179,1160,155,19,0
04-23-2020,2942,200,1536,220,21,376
04-24-2020,3185,221,1536,243,21,0
04-25-2020,3446,244,1654,261,23,118
04-26-2020,3602,272,1774,156,28,120
04-27-2020,3811,286,1842,209,14,68
04-28-2020,4181,301,1912,370,15,70
04-29-2020,4644,319,2043,463,18,131
04-30-2020,5136,343,2172,492,24,129
05-01-2020,5730,370,2282,594,27,110
05-02-2020,6232,394,2397,502,24,115
05-03-2020,6663,418,3015,431,24,618
05-04-2020,7234,427,4212,571,9,1197
05-05-2020,7851,455,4614,617,28,402
05-06-2020,8579,485,5005,728,30,391
05-07-2020,9365,508,5308,786,23,303
05-08-2020,10088,534,5697,723,26,389
05-09-2020,10790,558,6322,702,24,625
05-10-2020,11271,578,6304,481,20,-18
05-11-2020,11799,591,7536,528,13,1232
05-12-2020,12494,614,7609,695,23,73
05-13-2020,12917,638,8787,423,24,1178
05-14-2020,13435,672,9136,518,34,349
05-15-2020,14240,692,9503,805,20,367
05-16-2020,14969,709,10271,729,17,768
05-17-2020,15668,731,10897,699,22,626
05-18-2020,16372,740,10764,704,9,-133
05-19-2020,17029,757,11540,657,17,776
05-20-2020,17670,786,12227,641,29,687
05-21-2020,18200,818,12488,530,32,261
05-22-2020,19005,851,12696,805,33,208
05-23-2020,19845,861,13485,840,10,789
05-24-2020,20573,878,14115,728,17,630
05-25-2020,21315,890,14816,742,12,701
05-26-2020,21960,908,15523,645,18,707
05-27-2020,22464,942,16314,504,34,791
05-28-2020,22947,977,16655,483,35,341
05-29-2020,23531,1006,16930,584,29,275
05-30-2020,24190,1036,17864,659,30,934
05-31-2020,24850,1050,18695,660,14,831
06-01-2020,25208,1060,19441,358,10,746
06-02-2020,25508,1082,20381,300,22,940
06-03-2020,25870,1097,21169,362,15,788
06-04-2020,26273,1126,21490,403,29,321
06-05-2020,26980,1159,21864,707,33,374
06-06-2020,27501,1181,22253,521,22,389
06-07-2020,27886,1197,22992,385,16,739
06-08-2020,28224,1208,23657,338,11,665
06-09-2020,28523,1228,24221,299,20,564
06-10-2020,28869,1267,24675,346,39,454
06-11-2020,29316,1280,24870,447,13,195
06-12-2020,29795,1305,25028,479,25,158
06-13-2020,30172,1314,25620,377,9,592
06-14-2020,30471,1329,26090,299,15,470
06-15-2020,30693,1335,26609,222,6,519
06-16-2020,30882,1344,27006,189,9,397
06-17-2020,31296,1357,27404,414,13,398
06-18-2020,31675,1376,27566,379,19,162
06-19-2020,32031,1393,27709,356,17,143
06-20-2020,32467,1404,28205,436,11,496
06-21-2020,32920,1412,28663,453,8,458
06-22-2020,33227,1416,29065,307,4,402
06-23-2020,33469,1425,29399,242,9,334
06-24-2020,33763,1432,29707,294,7,308
06-25-2020,34123,1441,29854,360,9,147
06-26-2020,34616,1446,30008,493,5,154
06-27-2020,35033,1452,30401,417,6,393
06-28-2020,35549,1460,30809,516,8,408
06-29-2020,35861,1470,31225,312,10,416
06-30-2020,36303,1476,31601,442,6,376
07-01-2020,36716,1482,31947,413,6,346
07-02-2020,37210,1495,32163,494,13,216
07-03-2020,37624,1503,32347,414,8,184
07-04-2020,37624,1503,32347,0,0,0
07-05-2020,38136,1508,33408,512,5,1061
07-06-2020,38569,1511,33907,433,3,499
07-07-2020,39134,1514,34377,565,3,470
07-08-2020,39589,1523,34902,455,9,525
07-09-2020,40163,1528,35193,574,5,291
07-10-2020,40767,1533,35442,604,5,249
07-11-2020,41571,1537,36012,804,4,570
07-12-2020,42281,1540,36582,710,3,570
07-13-2020,42772,1542,37199,491,2,617
07-14-2020,43170,1548,37749,398,6,550
07-15-2020,43742,1558,38179,572,10,430
07-16-2020,44347,1566,38290,605,8,111
07-17-2020,45013,1573,38568,666,7,278
07-18-2020,45470,1578,39310,457,5,742
07-19-2020,46204,1581,40001,734,3,691
07-20-2020,47107,1585,40742,903,4,741
07-21-2020,47457,1588,41511,350,3,769
07-22-2020,47961,1592,42234,504,4,723
07-23-2020,48721,1601,42524,760,9,290
07-24-2020,49488,1606,42882,767,5,358
07-25-2020,50291,1611,43625,803,5,743
07-26-2020,51153,1614,44431,862,3,806
07-27-2020,51803,1616,45198,650,2,767
07-28-2020,52281,1620,45987,478,4,789
07-29-2020,52947,1629,46636,666,9,649
07-30-2020,53692,1634,46965,745,5,329
07-31-2020,54463,1640,47289,771,6,324
08-01-2020,55188,1646,48119,725,6,830
08-02-2020,55947,1654,48847,759,8,728
08-03-2020,56560,1656,49565,613,2,718
08-04-2020,57162,1660,50426,602,4,861
08-05-2020,57779,1670,51223,617,10,797
08-06-2020,58640,1643,51604,861,-27,381
08-07-2020,59185,1681,51940,545,38,336
08-08-2020,60101,1689,52768,916,8,828
08-09-2020,60898,1698,53568,797,9,800
08-10-2020,61516,1701,54364,618,3,796
08-11-2020,61839,1707,55151,323,6,787
08-12-2020,62303,1724,55855,464,17,704
08-13-2020,62993,1731,56346,690,7,491
08-14-2020,63723,1739,56659,730,8,313
08-15-2020,64413,1705,57457,690,-34,798
08-16-2020,65152,1752,58196,739,47,739
08-17-2020,65716,1758,58859,564,6,663
08-18-2020,66064,1730,59568,348,-28,709
08-19-2020,66618,1784,60242,554,54,674
08-20-2020,67308,1791,60605,690,7,363
08-21-2020,68133,1799,60920,825,8,315
08-22-2020,68867,1807,61698,734,8,778
08-23-2020,69584,1813,62373,717,6,675
08-24-2020,70298,1817,63059,714,4,686
08-25-2020,70298,1817,63059,0,0,0
