date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-11-2020,1,0,0,1,0,0
03-12-2020,1,0,0,0,0,0
03-13-2020,6,0,0,5,0,0
03-14-2020,6,0,0,0,0,0
03-15-2020,10,0,0,4,0,0
03-16-2020,12,0,0,2,0,0
03-17-2020,21,0,0,9,0,0
03-18-2020,34,0,0,13,0,0
03-19-2020,52,1,0,18,1,0
03-20-2020,80,1,0,28,0,0
03-21-2020,140,1,0,60,0,0
03-22-2020,207,1,0,67,0,0
03-23-2020,249,1,0,42,0,0
03-24-2020,320,1,0,71,0,0
03-25-2020,377,5,0,57,4,0
03-26-2020,485,6,0,108,1,0
03-27-2020,579,8,0,94,2,0
03-28-2020,663,13,0,84,5,0
03-29-2020,759,14,0,96,1,0
03-30-2020,847,16,0,88,2,0
03-31-2020,937,20,0,90,4,0
04-01-2020,1073,22,0,136,2,0
04-02-2020,1177,26,0,104,4,0
04-03-2020,1358,29,0,181,3,0
04-04-2020,1455,35,0,97,6,0
04-05-2020,1638,43,0,183,8,0
04-06-2020,1738,51,0,100,8,0
04-07-2020,1915,60,0,177,9,0
04-08-2020,2003,67,0,88,7,0
04-09-2020,2260,76,0,257,9,0
04-10-2020,2469,82,0,209,6,0
04-11-2020,2642,93,0,173,11,0
04-12-2020,2781,96,0,139,3,0
04-13-2020,2942,98,0,161,2,0
04-14-2020,3087,111,0,145,13,0
04-15-2020,3360,122,0,273,11,0
04-16-2020,3624,129,0,264,7,0
04-17-2020,3793,140,0,169,11,0
04-18-2020,3974,152,0,181,12,0
04-19-2020,4274,159,0,300,7,0
04-20-2020,4512,169,0,238,10,0
04-21-2020,4716,183,0,204,14,0
04-22-2020,4894,193,0,178,10,0
04-23-2020,5153,201,0,259,8,0
04-24-2020,5434,209,0,281,8,0
04-25-2020,5718,221,0,284,12,0
04-26-2020,5911,227,0,193,6,0
04-27-2020,6094,229,0,183,2,0
04-28-2020,6342,239,0,248,10,0
04-29-2020,6569,250,0,227,11,0
04-30-2020,6815,261,0,246,11,0
05-01-2020,7212,281,3413,397,20,3413
05-02-2020,7441,291,3413,229,10,0
05-03-2020,7550,303,3413,109,12,0
05-04-2020,7877,310,3413,327,7,0
05-05-2020,8207,342,4421,330,32,1008
05-06-2020,8424,374,4421,217,32,0
05-07-2020,8686,396,4421,262,22,0
05-08-2020,9090,409,4421,404,13,0
05-09-2020,9378,421,4421,288,12,0
05-10-2020,9501,430,4421,123,9,0
05-11-2020,9674,435,4421,173,5,0
05-12-2020,9908,457,4421,234,22,0
05-13-2020,10090,465,4421,182,8,0
05-14-2020,10483,480,4421,393,15,0
05-15-2020,10801,493,4421,318,13,0
05-16-2020,11123,510,6268,322,17,1847
05-17-2020,11296,521,6268,173,11,0
05-18-2020,11432,527,6268,136,6,0
05-19-2020,11704,554,6268,272,27,0
05-20-2020,11967,570,6268,263,16,0
05-21-2020,12222,580,6268,255,10,0
05-22-2020,12625,596,6268,403,16,0
05-23-2020,13005,616,6268,380,20,0
05-24-2020,13252,625,7681,247,9,1413
05-25-2020,13458,635,7681,206,10,0
05-26-2020,13731,652,7681,273,17,0
05-27-2020,14044,670,9401,313,18,1720
05-28-2020,14372,693,9401,328,23,0
05-29-2020,14793,710,9401,421,17,0
05-30-2020,15229,723,9401,436,13,0
05-31-2020,15523,734,9401,294,11,0
06-01-2020,15752,739,11203,229,5,1802
06-02-2020,16041,767,11203,289,28,0
06-03-2020,16322,782,11203,281,15,0
06-04-2020,16560,794,11203,238,12,0
06-05-2020,16769,803,11203,209,9,0
06-06-2020,17039,811,11203,270,8,0
06-07-2020,17270,817,11203,231,6,0
06-08-2020,17768,837,11203,498,20,0
06-09-2020,18123,847,11203,355,10,0
06-10-2020,18483,868,11203,360,21,0
06-11-2020,18483,868,11203,0,0,0
06-12-2020,19091,881,13356,608,13,2153
06-13-2020,19348,889,13356,257,8,0
06-14-2020,19516,891,13356,168,2,0
06-15-2020,19799,895,15323,283,4,1967
06-16-2020,20155,915,15323,356,20,0
06-17-2020,20642,935,15323,487,20,0
06-18-2020,20641,938,15323,-1,3,0
06-19-2020,20641,938,15323,0,0,0
06-20-2020,20641,938,15323,0,0,0
06-21-2020,20641,938,15323,0,0,0
06-22-2020,22329,978,15323,1688,40,0
06-23-2020,22924,991,15323,595,13,0
06-24-2020,23417,1009,15323,493,18,0
06-25-2020,24501,1016,15323,1084,7,0
06-26-2020,25066,1022,15323,565,6,0
06-27-2020,25529,1035,15323,463,13,0
06-28-2020,25892,1039,15323,363,4,0
06-29-2020,26567,1059,19388,675,20,4065
06-30-2020,27247,1073,19388,680,14,0
07-01-2020,27896,1082,19388,649,9,0
07-02-2020,28770,1092,19388,874,10,0
07-03-2020,29684,1103,19388,914,11,0
07-04-2020,30674,1107,19388,990,4,0
07-05-2020,30900,1111,19388,226,4,0
07-06-2020,31257,1114,19388,357,3,0
07-07-2020,32214,1158,22167,957,44,2779
07-08-2020,32872,1188,22167,658,30,0
07-09-2020,33591,1203,22167,719,15,0
07-10-2020,34622,1215,22167,1031,12,0
07-11-2020,35415,1229,22167,793,14,0
07-12-2020,36276,1248,22167,861,19,0
07-13-2020,36663,1249,22167,387,1,0
07-14-2020,37542,1272,25932,879,23,3765
07-15-2020,38563,1289,25932,1021,17,0
07-16-2020,39797,1308,25932,1234,19,0
07-17-2020,40829,1332,25932,1032,24,0
07-18-2020,42002,1350,25932,1173,18,0
07-19-2020,42719,1358,25932,717,8,0
07-20-2020,43889,1358,30315,1170,0,4383
07-21-2020,45524,1389,30315,1635,31,0
07-22-2020,47071,1423,30315,1547,34,0
07-23-2020,48053,1436,30315,982,13,0
07-24-2020,49663,1463,30315,1610,27,0
07-25-2020,51097,1480,30315,1434,17,0
07-26-2020,52304,1495,30315,1207,15,0
07-27-2020,52957,1501,30315,653,6,0
07-28-2020,52957,1501,30315,0,0,0
07-29-2020,55804,1563,35071,2847,62,4756
07-30-2020,57566,1611,35071,1762,48,0
07-31-2020,58747,1663,35071,1181,52,0
08-01-2020,59868,1692,35071,1121,29,0
08-02-2020,60553,1702,35071,685,10,0
08-03-2020,61125,1711,35071,572,9,0
08-04-2020,62199,1753,35071,1074,42,0
08-05-2020,63486,1804,35071,1287,51,0
08-06-2020,64385,1825,35071,899,21,0
08-07-2020,65485,1849,35071,1100,24,0
08-08-2020,66671,1872,35071,1186,23,0
08-09-2020,67193,1896,35071,522,24,0
08-10-2020,67607,1912,35071,414,16,0
08-11-2020,68293,1944,35071,686,32,0
