date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-10-2020,1,0,-1,1,0,-1
03-11-2020,1,0,-1,0,0,-1
03-12-2020,1,0,-1,0,0,-1
03-13-2020,1,0,-1,0,0,-1
03-14-2020,1,0,-1,0,0,-1
03-15-2020,1,0,-1,0,0,-1
03-16-2020,4,0,-1,3,0,-1
03-17-2020,4,0,-1,0,0,-1
03-18-2020,5,0,-1,1,0,-1
03-19-2020,6,0,-1,1,0,-1
03-20-2020,6,0,-1,0,0,-1
03-21-2020,10,0,-1,4,0,-1
03-22-2020,10,0,-1,0,0,-1
03-23-2020,10,0,-1,0,0,-1
03-24-2020,10,0,-1,0,0,-1
03-25-2020,10,0,-1,0,0,-1
03-26-2020,11,0,-1,1,0,-1
03-27-2020,11,0,-1,0,0,-1
03-28-2020,12,0,-1,1,0,-1
03-29-2020,12,0,-1,0,0,-1
03-30-2020,12,0,-1,0,0,-1
03-31-2020,12,0,-1,0,0,-1
04-01-2020,14,0,-1,2,0,-1
04-02-2020,14,0,-1,0,0,-1
04-03-2020,14,0,-1,0,0,-1
04-04-2020,14,0,-1,0,0,-1
04-05-2020,14,0,-1,0,0,-1
04-06-2020,15,0,-1,1,0,-1
04-07-2020,15,0,-1,0,0,-1
04-08-2020,16,0,-1,1,0,-1
04-09-2020,16,0,-1,0,0,-1
04-10-2020,16,0,-1,0,0,-1
04-11-2020,16,0,-1,0,0,-1
04-12-2020,16,0,-1,0,0,-1
04-13-2020,16,0,-1,0,0,-1
04-14-2020,30,0,-1,14,0,-1
04-15-2020,30,0,-1,0,0,-1
04-16-2020,31,0,-1,1,0,-1
04-17-2020,31,0,-1,0,0,-1
04-18-2020,31,0,-1,0,0,-1
04-19-2020,32,0,-1,1,0,-1
04-20-2020,33,0,-1,1,0,-1
04-21-2020,34,0,-1,1,0,-1
04-22-2020,35,0,-1,1,0,-1
04-23-2020,35,0,-1,0,0,-1
04-24-2020,36,0,-1,1,0,-1
04-25-2020,36,0,-1,0,0,-1
04-26-2020,37,0,-1,1,0,-1
04-27-2020,38,0,-1,1,0,-1
04-28-2020,38,0,-1,0,0,-1
04-29-2020,38,0,-1,0,0,-1
04-30-2020,38,0,-1,0,0,-1
05-01-2020,38,0,-1,0,0,-1
05-02-2020,38,0,-1,0,0,-1
05-03-2020,39,0,-1,1,0,-1
05-04-2020,40,0,-1,1,0,-1
05-05-2020,41,0,-1,1,0,-1
05-06-2020,41,0,-1,0,0,-1
05-07-2020,41,0,-1,0,0,-1
05-08-2020,42,0,-1,1,0,-1
05-09-2020,42,0,-1,0,0,-1
05-10-2020,42,0,-1,0,0,-1
05-11-2020,42,0,-1,0,0,-1
05-12-2020,42,0,-1,0,0,-1
05-13-2020,42,0,-1,0,0,-1
05-14-2020,42,0,-1,0,0,-1
05-15-2020,98,0,-1,56,0,-1
05-16-2020,135,0,-1,37,0,-1
05-17-2020,136,0,-1,1,0,-1
05-18-2020,140,0,-1,4,0,-1
05-19-2020,140,0,-1,0,0,-1
05-20-2020,140,0,-1,0,0,-1
05-21-2020,140,0,-1,0,0,-1
05-22-2020,141,0,-1,1,0,-1
05-23-2020,141,0,-1,0,0,-1
05-24-2020,141,0,-1,0,0,-1
05-25-2020,141,0,-1,0,0,-1
05-26-2020,141,0,-1,0,0,-1
05-27-2020,148,0,-1,7,0,-1
05-28-2020,161,0,-1,13,0,-1
05-29-2020,179,0,-1,18,0,-1
05-30-2020,179,0,-1,0,0,-1
05-31-2020,179,0,-1,0,0,-1
06-01-2020,179,0,-1,0,0,-1
06-02-2020,185,0,-1,6,0,-1
06-03-2020,185,0,-1,0,0,-1
06-04-2020,185,0,-1,0,0,-1
06-05-2020,186,0,-1,1,0,-1
06-06-2020,191,0,-1,5,0,-1
06-07-2020,193,0,-1,2,0,-1
