date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-02-2020,1,0,-1,1,0,-1
03-03-2020,1,0,-1,0,0,-1
03-04-2020,1,0,-1,0,0,-1
03-05-2020,2,0,-1,1,0,-1
03-06-2020,2,0,-1,0,0,-1
03-07-2020,2,0,-1,0,0,-1
03-08-2020,2,0,-1,0,0,-1
03-09-2020,2,0,-1,0,0,-1
03-10-2020,3,1,-1,1,1,-1
03-11-2020,5,1,-1,2,0,-1
03-12-2020,6,1,-1,1,0,-1
03-13-2020,6,1,-1,0,0,-1
03-14-2020,18,1,-1,12,0,-1
03-15-2020,28,1,-1,10,0,-1
03-16-2020,29,1,-1,1,0,-1
03-17-2020,38,2,-1,9,1,-1
03-18-2020,49,2,-1,11,0,-1
03-19-2020,61,2,-1,12,0,-1
03-20-2020,74,3,-1,13,1,-1
03-21-2020,86,3,-1,12,0,-1
03-22-2020,109,3,-1,23,0,-1
03-23-2020,134,4,-1,25,1,-1
03-24-2020,143,4,-1,9,0,-1
03-25-2020,170,5,-1,27,1,-1
03-26-2020,225,6,-1,55,1,-1
03-27-2020,275,10,-1,50,4,-1
03-28-2020,358,23,-1,83,13,-1
03-29-2020,450,26,-1,92,3,-1
03-30-2020,516,29,-1,66,3,-1
03-31-2020,574,33,-1,58,4,-1
04-01-2020,638,37,-1,64,4,-1
04-02-2020,676,40,-1,38,3,-1
04-03-2020,735,47,-1,59,7,-1
04-04-2020,858,50,-1,123,3,-1
04-05-2020,960,66,-1,102,16,-1
04-06-2020,1113,71,-1,153,5,-1
04-07-2020,1141,83,-1,28,12,-1
04-08-2020,1242,91,-1,101,8,-1
04-09-2020,1346,96,-1,104,5,-1
04-10-2020,1431,105,-1,85,9,-1
04-11-2020,1527,110,-1,96,5,-1
04-12-2020,1617,113,-1,90,3,-1
04-13-2020,1746,120,-1,129,7,-1
04-14-2020,1838,126,-1,92,6,-1
04-15-2020,1988,127,-1,150,1,-1
04-16-2020,2251,128,-1,263,1,-1
04-17-2020,2528,133,-1,277,5,-1
04-18-2020,2670,137,-1,142,4,-1
04-19-2020,2820,138,-1,150,1,-1
04-20-2020,2990,143,-1,170,5,-1
04-21-2020,3186,144,-1,196,1,-1
04-22-2020,3377,149,-1,191,5,-1
04-23-2020,3537,151,-1,160,2,-1
04-24-2020,3692,155,-1,155,4,-1
04-25-2020,3889,159,-1,197,4,-1
04-26-2020,4047,160,-1,158,1,-1
04-27-2020,4115,161,-1,68,1,-1
04-28-2020,4246,163,-1,131,2,-1
04-29-2020,4289,167,-1,43,4,-1
04-30-2020,4359,168,-1,70,1,-1
05-01-2020,4529,171,-1,170,3,-1
05-02-2020,4687,172,-1,158,1,-1
05-03-2020,4880,174,-1,193,2,-1
05-04-2020,5000,177,-1,120,3,-1
05-05-2020,5153,180,-1,153,3,-1
05-06-2020,5382,182,-1,229,2,-1
05-07-2020,5505,183,-1,123,1,-1
05-08-2020,5661,185,-1,156,2,-1
