date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-31-2020,148,5,0,148,5,0
04-01-2020,148,5,0,0,0,0
04-02-2020,241,7,0,93,2,0
04-03-2020,241,7,0,0,0,0
04-04-2020,270,12,0,29,5,0
04-05-2020,354,14,0,84,2,0
04-06-2020,354,14,0,0,0,0
04-07-2020,426,17,0,72,3,0
04-08-2020,426,17,0,0,0,0
04-09-2020,558,22,0,132,5,0
04-10-2020,597,22,0,39,0,0
04-11-2020,597,22,0,0,0,0
04-12-2020,698,24,0,101,2,0
04-13-2020,813,28,0,115,4,0
04-14-2020,838,33,0,25,5,0
04-15-2020,921,38,0,83,5,0
04-16-2020,1042,41,0,121,3,0
04-17-2020,1042,41,0,0,0,0
04-18-2020,1127,44,0,85,3,0
04-19-2020,1197,44,0,70,0,0
04-20-2020,1321,45,0,124,1,0
04-21-2020,1321,45,0,0,0,0
04-22-2020,1366,45,0,45,0,0
04-23-2020,1366,45,0,0,0,0
04-24-2020,1540,58,0,174,13,0
04-25-2020,1540,58,0,0,0,0
04-26-2020,1540,58,0,0,0,0
04-27-2020,1540,58,0,0,0,0
04-28-2020,1540,58,0,0,0,0
04-29-2020,1540,58,0,0,0,0
04-30-2020,1977,62,0,437,4,0
05-01-2020,1977,62,0,0,0,0
05-02-2020,1977,62,0,0,0,0
05-03-2020,1977,62,0,0,0,0
05-04-2020,1977,62,0,0,0,0
05-05-2020,2655,79,0,678,17,0
05-06-2020,2655,85,0,0,6,0
05-07-2020,2757,88,0,102,3,0
05-08-2020,2757,88,0,0,0,0
05-09-2020,2973,98,0,216,10,0
05-10-2020,2973,98,0,0,0,0
05-11-2020,3204,102,0,231,4,0
05-12-2020,3204,102,0,0,0,0
05-13-2020,3392,119,0,188,17,0
05-14-2020,3392,127,0,0,8,0
05-15-2020,3632,127,0,240,0,0
05-16-2020,3632,140,0,0,13,0
05-17-2020,3632,140,544,0,0,544
05-18-2020,4071,142,544,439,2,0
05-19-2020,4153,144,930,82,2,386
05-20-2020,4253,146,930,100,2,0
05-21-2020,4253,146,930,0,0,0
05-22-2020,4434,147,930,181,1,0
05-23-2020,4434,147,930,0,0,0
05-24-2020,4633,153,930,199,6,0
05-25-2020,4689,156,930,56,3,0
05-26-2020,4689,157,930,0,1,0
05-27-2020,4842,158,930,153,1,0
05-28-2020,4944,159,930,102,1,0
05-29-2020,5044,167,930,100,8,0
05-30-2020,5145,231,930,101,64,0
05-31-2020,5145,231,930,0,0,0
06-01-2020,5250,241,930,105,10,0
06-02-2020,5479,248,930,229,7,0
06-03-2020,5533,259,930,54,11,0
06-04-2020,5661,259,930,128,0,0
06-05-2020,5730,264,930,69,5,0
06-06-2020,5808,269,930,78,5,0
06-07-2020,5808,269,930,0,0,0
06-08-2020,6020,277,930,212,8,0
06-09-2020,6150,285,930,130,8,0
06-10-2020,6150,285,930,0,0,0
06-11-2020,6378,298,930,228,13,0
06-12-2020,6470,303,930,92,5,0
06-13-2020,6470,303,930,0,0,0
06-14-2020,6470,303,930,0,0,0
06-15-2020,6611,311,930,141,8,0
06-16-2020,6611,311,930,0,0,0
06-17-2020,6672,319,930,61,8,0
06-18-2020,6747,322,930,75,3,0
06-19-2020,6832,324,930,85,2,0
06-20-2020,6894,330,930,62,6,0
06-21-2020,6963,334,930,69,4,0
06-22-2020,6990,335,930,27,1,0
06-23-2020,7045,336,930,55,1,0
06-24-2020,7088,336,930,43,0,0
06-25-2020,7278,348,930,190,12,0
06-26-2020,7320,350,930,42,2,0
06-27-2020,7320,350,930,0,0,0
06-28-2020,7414,362,930,94,12,0
06-29-2020,7532,363,930,118,1,0
06-30-2020,7549,364,930,17,1,0
07-01-2020,7549,364,930,0,0,0
07-02-2020,7613,369,930,64,5,0
07-03-2020,7613,369,930,0,0,0
07-04-2020,7613,369,930,0,0,0
07-05-2020,7804,377,930,191,8,0
07-06-2020,7840,378,930,36,1,0
07-07-2020,7914,379,930,74,1,0
07-08-2020,7941,382,930,27,3,0
07-09-2020,7981,386,930,40,4,0
07-10-2020,8098,396,930,117,10,0
07-11-2020,8098,396,930,0,0,0
07-12-2020,8142,396,930,44,0,0
07-13-2020,8243,401,930,101,5,0
07-14-2020,8243,401,930,0,0,0
07-15-2020,8290,405,930,47,4,0
07-16-2020,8370,405,930,80,0,0
07-17-2020,8486,407,930,116,2,0
07-18-2020,8536,412,930,50,5,0
07-19-2020,8536,422,930,0,10,0
07-20-2020,8593,422,930,57,0,0
07-21-2020,8639,425,930,46,3,0
07-22-2020,8639,431,930,0,6,0
07-23-2020,8684,431,930,45,0,0
07-24-2020,8768,434,930,84,3,0
07-25-2020,8768,434,930,0,0,0
07-26-2020,8837,434,930,69,0,0
07-27-2020,8837,441,930,0,7,0
07-28-2020,8927,446,930,90,5,0
07-29-2020,8968,453,930,41,7,0
07-30-2020,8968,454,930,0,1,0
