date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-23-2020,1,0,-1,1,0,-1
01-24-2020,1,0,-1,0,0,-1
01-25-2020,1,0,-1,0,0,-1
01-26-2020,1,0,-1,0,0,-1
01-27-2020,1,0,-1,0,0,-1
01-28-2020,1,0,-1,0,0,-1
01-29-2020,1,0,-1,0,0,-1
01-30-2020,1,0,-1,0,0,-1
01-31-2020,1,0,-1,0,0,-1
02-01-2020,1,0,-1,0,0,-1
02-02-2020,1,0,-1,0,0,-1
02-03-2020,1,0,-1,0,0,-1
02-04-2020,1,0,-1,0,0,-1
02-05-2020,1,0,-1,0,0,-1
02-06-2020,1,0,-1,0,0,-1
02-07-2020,1,0,-1,0,0,-1
02-08-2020,1,0,-1,0,0,-1
02-09-2020,1,0,-1,0,0,-1
02-10-2020,1,0,-1,0,0,-1
02-11-2020,1,0,-1,0,0,-1
02-12-2020,1,0,-1,0,0,-1
02-13-2020,1,0,-1,0,0,-1
02-14-2020,1,0,-1,0,0,-1
02-15-2020,1,0,-1,0,0,-1
02-16-2020,1,0,-1,0,0,-1
02-17-2020,1,0,-1,0,0,-1
02-18-2020,1,0,-1,0,0,-1
02-19-2020,1,0,-1,0,0,-1
02-20-2020,1,0,-1,0,0,-1
02-21-2020,1,0,-1,0,0,-1
02-22-2020,1,0,-1,0,0,-1
02-23-2020,1,0,-1,0,0,-1
02-24-2020,1,0,-1,0,0,-1
02-25-2020,1,0,-1,0,0,-1
02-26-2020,1,0,-1,0,0,-1
02-27-2020,1,0,-1,0,0,-1
02-28-2020,1,0,-1,0,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,1,0,-1,0,0,-1
03-02-2020,1,0,-1,0,0,-1
03-03-2020,1,0,-1,0,0,-1
03-04-2020,1,0,-1,0,0,-1
03-05-2020,1,0,-1,0,0,-1
03-06-2020,1,0,-1,0,0,-1
03-07-2020,1,0,-1,0,0,-1
03-08-2020,1,0,-1,0,0,-1
03-09-2020,1,0,-1,0,0,-1
03-10-2020,1,0,-1,0,0,-1
03-11-2020,1,0,-1,0,0,-1
03-12-2020,1,0,-1,0,0,-1
03-13-2020,1,0,-1,0,0,-1
03-14-2020,1,0,-1,0,0,-1
03-15-2020,1,0,-1,0,0,-1
03-16-2020,1,0,-1,0,0,-1
03-17-2020,1,0,-1,0,0,-1
03-18-2020,1,0,-1,0,0,-1
03-19-2020,1,0,-1,0,0,-1
03-20-2020,1,0,-1,0,0,-1
03-21-2020,1,0,-1,0,0,-1
03-22-2020,1,0,-1,0,0,-1
03-23-2020,1,0,-1,0,0,-1
03-24-2020,2,0,-1,1,0,-1
03-25-2020,2,0,-1,0,0,-1
03-26-2020,3,0,-1,1,0,-1
03-27-2020,3,0,-1,0,0,-1
03-28-2020,3,0,-1,0,0,-1
03-29-2020,5,0,-1,2,0,-1
03-30-2020,5,0,-1,0,0,-1
03-31-2020,5,0,-1,0,0,-1
04-01-2020,5,0,-1,0,0,-1
04-02-2020,5,0,-1,0,0,-1
04-03-2020,6,0,-1,1,0,-1
04-04-2020,6,0,-1,0,0,-1
04-05-2020,9,0,-1,3,0,-1
04-06-2020,9,0,-1,0,0,-1
04-07-2020,9,0,-1,0,0,-1
04-08-2020,9,0,-1,0,0,-1
04-09-2020,9,0,-1,0,0,-1
04-10-2020,9,0,-1,0,0,-1
04-11-2020,9,0,-1,0,0,-1
04-12-2020,12,0,-1,3,0,-1
04-13-2020,14,0,-1,2,0,-1
04-14-2020,16,0,-1,2,0,-1
04-15-2020,16,0,-1,0,0,-1
04-16-2020,16,0,-1,0,0,-1
04-17-2020,16,0,-1,0,0,-1
04-18-2020,30,0,-1,14,0,-1
04-19-2020,31,0,-1,1,0,-1
04-20-2020,31,0,-1,0,0,-1
04-21-2020,32,0,-1,1,0,-1
04-22-2020,42,0,-1,10,0,-1
04-23-2020,45,0,-1,3,0,-1
04-24-2020,48,0,-1,3,0,-1
04-25-2020,49,0,-1,1,0,-1
04-26-2020,51,0,-1,2,0,-1
04-27-2020,52,0,-1,1,0,-1
04-28-2020,52,0,-1,0,0,-1
04-29-2020,57,0,-1,5,0,-1
04-30-2020,57,0,-1,0,0,-1
05-01-2020,59,0,-1,2,0,-1
05-02-2020,59,0,-1,0,0,-1
05-03-2020,69,0,-1,10,0,-1
05-04-2020,75,0,-1,6,0,-1
05-05-2020,82,0,-1,7,0,-1
05-06-2020,99,0,-1,17,0,-1
05-07-2020,99,0,-1,0,0,-1
05-08-2020,102,0,-1,3,0,-1
05-09-2020,109,0,-1,7,0,-1
05-10-2020,110,0,-1,1,0,-1
05-11-2020,121,0,-1,11,0,-1
05-12-2020,191,0,-1,70,0,-1
05-13-2020,243,0,-1,52,0,-1
05-14-2020,249,0,-1,6,0,-1
05-15-2020,258,0,-1,9,0,-1
05-16-2020,281,1,-1,23,1,-1
05-17-2020,295,2,-1,14,1,-1
05-18-2020,357,2,-1,62,0,-1
05-19-2020,402,2,-1,45,0,-1
05-20-2020,427,2,-1,25,0,-1
05-21-2020,454,3,-1,27,1,-1
05-22-2020,516,3,-1,62,0,-1
05-23-2020,584,3,-1,68,0,-1
05-24-2020,603,3,-1,19,0,-1
05-25-2020,682,4,-1,79,1,-1
05-26-2020,772,4,-1,90,0,-1
05-27-2020,886,4,-1,114,0,-1
05-28-2020,1042,5,-1,156,1,-1
05-29-2020,1212,6,-1,170,1,-1
05-30-2020,1401,6,-1,189,0,-1
05-31-2020,1572,8,-1,171,2,-1
06-01-2020,1572,8,-1,0,0,-1
06-02-2020,1811,8,-1,239,0,-1
06-03-2020,2099,8,-1,288,0,-1
06-04-2020,2300,9,-1,201,1,-1
06-05-2020,2634,10,-1,334,1,-1
06-06-2020,2912,11,-1,278,1,-1
06-07-2020,3235,13,-1,323,2,-1
06-08-2020,3448,13,-1,213,0,-1
06-09-2020,3762,14,-1,314,1,-1
06-10-2020,4364,15,674,602,1,-1
06-11-2020,4614,15,861,250,0,187
06-12-2020,5062,16,877,448,1,16
06-13-2020,5335,18,913,273,2,36
06-14-2020,5335,18,913,0,0,0
06-15-2020,6211,19,1041,876,1,128
06-16-2020,6591,19,1158,380,0,117
06-17-2020,7177,20,1167,586,1,9
06-18-2020,7848,22,1186,671,2,19
06-19-2020,8274,22,1295,426,0,109
06-20-2020,8605,22,1402,331,0,107
06-21-2020,9026,23,1579,421,1,177
06-22-2020,9561,23,1148,535,0,-431
06-23-2020,10099,24,1224,538,1,76
06-24-2020,10728,24,1338,629,0,114
06-25-2020,11162,26,1650,434,2,312
06-26-2020,11755,27,1698,593,1,48
06-27-2020,11755,27,1698,0,0,0
06-28-2020,12772,28,3013,1017,1,1315
06-29-2020,13248,29,3134,476,1,121
06-30-2020,13564,29,3194,316,0,60
07-01-2020,14046,30,4656,482,1,1462
07-02-2020,14046,30,4656,0,0,0
07-03-2020,15259,32,6143,1213,2,1487
07-04-2020,15491,34,6415,232,2,272
07-05-2020,15784,34,6547,293,0,132
07-06-2020,15964,35,6811,180,1,264
07-07-2020,15964,35,6811,0,0,0
07-08-2020,16423,35,7752,459,0,941
07-09-2020,16423,35,7752,0,0,0
07-10-2020,16649,35,8011,226,0,259
07-11-2020,16649,35,8011,0,0,0
07-12-2020,16719,38,8011,70,3,0
07-13-2020,16945,38,10294,226,0,2283
07-14-2020,16945,38,10294,0,0,0
07-15-2020,17061,38,10294,116,0,0
07-16-2020,17177,39,10294,116,1,0
07-17-2020,17344,39,11249,167,0,955
07-18-2020,17502,40,11637,158,1,388
07-19-2020,17502,40,11637,0,0,0
07-20-2020,17844,40,11868,342,0,231
07-21-2020,17994,40,12477,150,0,609
07-22-2020,18094,42,12684,100,2,207
07-23-2020,18241,43,12840,147,1,156
07-24-2020,18374,44,12947,133,1,107
07-25-2020,18483,45,13053,109,1,106
07-26-2020,18613,45,13128,130,0,75
07-27-2020,18752,48,13754,139,3,626
07-28-2020,19063,49,13875,311,1,121
07-29-2020,19273,49,14021,210,0,146
07-30-2020,19547,52,14248,274,3,227
07-31-2020,19771,56,14399,224,4,151
08-01-2020,20086,56,14492,315,0,93
08-02-2020,20332,57,14603,246,1,111
08-03-2020,20750,57,14961,418,0,358
08-04-2020,21009,58,15026,259,1,65
08-05-2020,21390,60,15156,381,2,130
08-06-2020,21750,65,15389,360,5,233
08-07-2020,22214,70,15814,464,5,425
08-08-2020,22592,73,16313,378,3,499
08-09-2020,22972,75,16353,380,2,40
08-10-2020,23310,79,16640,338,4,287
08-11-2020,23948,83,16664,638,4,24
08-12-2020,24432,91,16728,484,8,64
08-13-2020,24957,95,16837,525,4,109
08-14-2020,25551,99,17077,594,4,240
08-15-2020,26019,102,17201,468,3,124
08-16-2020,26660,104,17335,641,2,134
08-17-2020,27241,107,17495,581,3,160
08-18-2020,28257,114,17580,1016,7,85
08-19-2020,28938,120,17700,681,6,120
08-20-2020,28938,120,17700,0,0,0
08-21-2020,30483,137,18214,1545,17,514
08-22-2020,31117,146,18350,634,9,136
08-23-2020,31935,149,18631,818,3,281
08-24-2020,32678,157,18806,743,8,175
08-25-2020,33533,164,19119,855,7,313
