date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-02-2020,1,0,0,1,0,0
03-03-2020,2,0,0,1,0,0
03-04-2020,2,0,0,0,0,0
03-05-2020,2,0,0,0,0,0
03-06-2020,2,0,0,0,0,0
03-07-2020,2,0,0,0,0,0
03-08-2020,4,0,0,2,0,0
03-09-2020,4,0,0,0,0,0
03-10-2020,5,0,0,1,0,0
03-11-2020,5,0,0,0,0,0
03-12-2020,6,0,0,1,0,0
03-13-2020,6,0,0,0,0,0
03-14-2020,7,0,0,1,0,0
03-15-2020,13,0,0,6,0,0
03-16-2020,17,0,0,4,0,0
03-17-2020,26,0,0,9,0,0
03-18-2020,39,0,0,13,0,0
03-19-2020,44,0,0,5,0,0
03-20-2020,55,0,0,11,0,0
03-21-2020,65,0,0,10,0,0
03-22-2020,78,0,0,13,0,0
03-23-2020,97,1,0,19,1,0
03-24-2020,108,1,0,11,0,0
03-25-2020,137,1,0,29,0,0
03-26-2020,154,1,0,17,0,0
03-27-2020,187,2,0,33,1,0
03-28-2020,214,2,0,27,0,0
03-29-2020,258,3,0,44,1,0
03-30-2020,314,3,0,56,0,0
03-31-2020,367,3,0,53,0,0
04-01-2020,415,4,0,48,1,0
04-02-2020,479,5,0,64,1,0
04-03-2020,540,7,0,61,2,0
04-04-2020,621,9,0,81,2,0
04-05-2020,669,9,0,48,0,0
04-06-2020,715,9,0,46,0,0
04-07-2020,747,13,151,32,4,151
04-08-2020,788,18,227,41,5,76
04-09-2020,819,21,227,31,3,0
04-10-2020,885,22,234,66,1,7
04-11-2020,929,23,234,44,1,0
04-12-2020,985,23,239,56,0,5
04-13-2020,1020,23,249,35,0,10
04-14-2020,1091,27,249,71,4,0
04-15-2020,1139,32,365,48,5,116
04-16-2020,1211,34,455,72,2,90
04-17-2020,1287,37,468,76,3,13
04-18-2020,1342,38,513,55,1,45
04-19-2020,1392,41,513,50,3,0
04-20-2020,1447,42,521,55,1,8
04-21-2020,1490,42,546,43,0,25
04-22-2020,1588,48,550,98,6,4
04-23-2020,1670,51,551,82,3,1
04-24-2020,1720,53,578,50,2,27
04-25-2020,1797,53,777,77,0,199
04-26-2020,1864,60,777,67,7,0
04-27-2020,1938,60,798,74,0,21
04-28-2020,2010,60,936,72,0,138
04-29-2020,2058,60,936,48,0,0
04-30-2020,2146,72,936,88,12,0
05-01-2020,2310,81,980,164,9,44
05-02-2020,2429,84,1017,119,3,37
05-03-2020,2518,86,1107,89,2,90
05-04-2020,2588,86,1019,70,0,-88
05-05-2020,2636,92,1105,48,6,86
05-06-2020,2741,92,1105,105,0,0
05-07-2020,2843,114,1165,102,22,60
05-08-2020,2947,121,1210,104,7,45
05-09-2020,3011,131,1228,64,10,18
05-10-2020,3071,133,1229,60,2,1
05-11-2020,3160,133,1231,89,0,2
05-12-2020,3239,142,1234,79,9,3
05-13-2020,3299,150,1236,60,8,2
05-14-2020,3382,151,1247,83,1,11
05-15-2020,3464,159,1254,82,8,7
05-16-2020,3556,171,1258,92,12,4
05-17-2020,3596,172,1268,40,1,10
05-18-2020,3652,172,1269,56,0,1
05-19-2020,3721,172,1269,69,0,0
05-20-2020,3868,190,1388,147,18,119
05-21-2020,3935,199,1767,67,9,379
05-22-2020,4014,204,2082,79,5,315
05-23-2020,4089,208,2197,75,4,115
05-24-2020,4149,209,2204,60,1,7
05-25-2020,4197,210,2434,48,1,230
05-26-2020,4231,214,2550,34,4,116
05-27-2020,4286,223,2691,55,9,141
05-28-2020,4389,232,2730,103,9,39
05-29-2020,4492,238,2802,103,6,72
05-30-2020,4492,238,2802,0,0,0
05-31-2020,4651,245,2948,159,7,146
06-01-2020,4685,245,2954,34,0,6
06-02-2020,4749,256,3071,64,11,117
06-03-2020,4795,265,3157,46,9,86
06-04-2020,4876,273,3187,81,8,30
06-05-2020,4953,278,3247,77,5,60
06-06-2020,5019,283,3319,66,5,72
06-07-2020,5043,286,3392,24,3,73
06-08-2020,5079,286,3392,36,0,0
