date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-04-2020,1,0,0,1,0,0
03-05-2020,2,0,0,1,0,0
03-06-2020,4,0,0,2,0,0
03-07-2020,4,0,0,0,0,0
03-08-2020,6,0,0,2,0,0
03-09-2020,11,0,0,5,0,0
03-10-2020,15,1,0,4,1,0
03-11-2020,23,1,0,8,0,0
03-12-2020,31,1,0,8,0,0
03-13-2020,50,1,0,19,0,0
03-14-2020,70,2,0,20,1,0
03-15-2020,109,2,0,39,0,0
03-16-2020,179,3,1,70,1,1
03-17-2020,267,3,1,88,0,0
03-18-2020,427,5,1,160,2,0
03-19-2020,742,9,1,315,4,0
03-20-2020,890,11,1,148,2,0
03-21-2020,1327,16,0,437,5,-1
03-22-2020,1914,21,0,587,5,0
03-23-2020,2844,27,0,930,6,0
03-24-2020,3675,44,0,831,17,0
03-25-2020,4407,62,0,732,18,0
03-26-2020,6876,81,0,2469,19,0
03-27-2020,8825,108,0,1949,27,0
03-28-2020,11124,140,0,2299,32,0
03-29-2020,13386,161,0,2262,21,0
03-30-2020,16636,198,0,3250,37,0
03-31-2020,18997,267,0,2361,69,0
04-01-2020,22255,355,0,3258,88,0
04-02-2020,25590,537,0,3335,182,0
04-03-2020,29895,646,0,4305,109,0
04-04-2020,34124,846,0,4229,200,0
04-05-2020,37505,917,0,3381,71,0
04-06-2020,41090,1003,0,3585,86,0
04-07-2020,44416,1232,51,3326,229,51
04-08-2020,47437,1504,51,3021,272,0
04-09-2020,51027,1709,51,3590,205,0
04-10-2020,54588,1932,51,3561,223,0
04-11-2020,58151,2183,355,3563,251,304
04-12-2020,61850,2350,355,3699,167,0
04-13-2020,64584,2443,355,2734,93,0
04-14-2020,68824,2805,394,4240,362,39
04-15-2020,71030,3156,470,2206,351,76
04-16-2020,75317,3518,470,4287,362,0
04-17-2020,78467,3840,470,3150,322,0
04-18-2020,81599,4249,498,3132,409,28
04-19-2020,85301,4362,730,3702,113,232
04-20-2020,88806,4520,730,3505,158,0
04-21-2020,92387,4753,730,3581,233,0
04-22-2020,95914,5150,730,3527,397,0
04-23-2020,100025,5426,730,4111,276,0
04-24-2020,102196,5683,730,2171,257,0
04-25-2020,105523,5938,730,3327,255,0
04-26-2020,109038,5938,730,3515,0,0
04-27-2020,111188,6044,730,2150,106,0
04-28-2020,113856,6442,730,2668,398,0
04-29-2020,116365,6771,730,2509,329,0
04-30-2020,118652,7228,730,2287,457,0
05-01-2020,121190,7538,730,2538,310,0
05-02-2020,123717,7742,730,2527,204,0
05-03-2020,126744,7871,730,3027,129,0
05-04-2020,128269,7910,730,1525,39,0
05-05-2020,130593,8244,730,2324,334,0
05-06-2020,131890,8549,730,1297,305,0
05-07-2020,133991,8807,730,2101,258,0
05-08-2020,135840,8960,730,1849,153,0
05-09-2020,137397,9116,730,1557,156,0
05-10-2020,138754,9256,3214,1357,140,2484
05-11-2020,140206,9340,3214,1452,84,0
05-12-2020,140917,9531,3228,711,191,14
05-13-2020,141560,9714,3231,643,183,3
05-14-2020,142704,9946,3237,1144,232,6
05-15-2020,143984,10148,3274,1280,202,37
05-16-2020,145089,10261,3295,1105,113,21
05-17-2020,146504,10363,3722,1415,102,427
05-18-2020,148240,10439,3722,1736,76,0
05-19-2020,149356,10587,3722,1116,148,0
05-20-2020,150776,10749,3736,1420,162,14
05-21-2020,151586,10846,3736,810,97,0
05-22-2020,152579,10985,3736,993,139,0
05-23-2020,153140,11082,3770,561,97,34
05-24-2020,154154,11138,3770,1014,56,0
05-25-2020,155092,11147,3770,938,9,0
05-26-2020,155764,11194,3770,672,47,0
05-27-2020,156628,11339,3770,864,145,0
05-28-2020,157185,11409,3781,557,70,11
05-29-2020,158844,11531,3781,1659,122,0
05-30-2020,159608,11634,3781,764,103,0
05-31-2020,160445,11698,3781,837,64,0
06-01-2020,160918,11723,3781,473,25,0
