date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,1,0,-1,1,0,-1
02-29-2020,1,0,-1,0,0,-1
03-01-2020,1,0,-1,0,0,-1
03-02-2020,1,0,-1,0,0,-1
03-03-2020,2,0,-1,1,0,-1
03-04-2020,2,0,-1,0,0,-1
03-05-2020,2,0,-1,0,0,-1
03-06-2020,4,0,-1,2,0,-1
03-07-2020,5,0,-1,1,0,-1
03-08-2020,5,0,-1,0,0,-1
03-09-2020,5,0,-1,0,0,-1
03-10-2020,5,0,-1,0,0,-1
03-11-2020,5,0,-1,0,0,-1
03-12-2020,5,0,-1,0,0,-1
03-13-2020,5,0,-1,0,0,-1
03-14-2020,6,0,-1,1,0,-1
03-15-2020,6,0,-1,0,0,-1
03-16-2020,6,0,-1,0,0,-1
03-17-2020,11,0,-1,5,0,-1
03-18-2020,20,0,-1,9,0,-1
03-19-2020,39,0,-1,19,0,-1
03-20-2020,53,0,-1,14,0,-1
03-21-2020,66,0,-1,13,0,-1
03-22-2020,66,0,-1,0,0,-1
03-23-2020,102,0,-1,36,0,-1
03-24-2020,142,0,-1,40,0,-1
03-25-2020,189,0,-1,47,0,-1
03-26-2020,262,0,-1,73,0,-1
03-27-2020,338,0,-1,76,0,-1
03-28-2020,416,0,-1,78,0,-1
03-29-2020,476,1,-1,60,1,-1
03-30-2020,552,1,-1,76,0,-1
03-31-2020,600,1,-1,48,0,-1
04-01-2020,647,1,-1,47,0,-1
04-02-2020,723,1,-1,76,0,-1
04-03-2020,774,1,-1,51,0,-1
04-04-2020,824,1,-1,50,0,-1
04-05-2020,872,1,-1,48,0,-1
04-06-2020,911,1,-1,39,0,-1
04-07-2020,943,1,-1,32,0,-1
04-08-2020,969,1,-1,26,0,-1
04-09-2020,992,1,-1,23,0,-1
04-10-2020,1015,1,-1,23,0,-1
04-11-2020,1035,4,-1,20,3,-1
04-12-2020,1049,4,-1,14,0,-1
04-13-2020,1064,5,-1,15,1,-1
04-14-2020,1072,9,-1,8,4,-1
04-15-2020,1078,9,-1,6,0,-1
04-16-2020,1084,9,-1,6,0,-1
04-17-2020,1086,11,-1,2,2,-1
04-18-2020,1094,11,-1,8,0,-1
04-19-2020,1098,11,-1,4,0,-1
04-20-2020,1105,12,-1,7,1,-1
04-21-2020,1107,13,-1,2,1,-1
04-22-2020,1112,14,-1,5,1,-1
04-23-2020,1112,16,-1,0,2,-1
04-24-2020,1114,17,-1,2,1,-1
04-25-2020,1117,18,-1,3,1,-1
04-26-2020,1121,18,-1,4,0,-1
04-27-2020,1122,19,-1,1,1,-1
04-28-2020,1124,19,-1,2,0,-1
04-29-2020,1126,19,-1,2,0,-1
04-30-2020,1129,19,-1,3,0,-1
05-01-2020,1132,19,-1,3,0,-1
05-02-2020,1134,20,-1,2,1,-1
05-03-2020,1136,20,-1,2,0,-1
05-04-2020,1137,20,-1,1,0,-1
05-05-2020,1137,20,-1,0,0,-1
05-06-2020,1138,21,-1,1,1,-1
05-07-2020,1139,21,-1,1,0,-1
05-08-2020,1141,21,-1,2,0,-1
05-09-2020,1142,21,-1,1,0,-1
05-10-2020,1144,21,-1,2,0,-1
05-11-2020,1147,21,-1,3,0,-1
05-12-2020,1147,21,-1,0,0,-1
05-13-2020,1147,21,-1,0,0,-1
05-14-2020,1147,21,-1,0,0,-1
05-15-2020,1148,21,-1,1,0,-1
05-16-2020,1148,21,-1,0,0,-1
05-17-2020,1149,21,-1,1,0,-1
05-18-2020,1149,21,-1,0,0,-1
05-19-2020,1153,21,-1,4,0,-1
05-20-2020,1153,21,-1,0,0,-1
05-21-2020,1153,21,-1,0,0,-1
05-22-2020,1154,21,-1,1,0,-1
05-23-2020,1154,21,-1,0,0,-1
05-24-2020,1154,21,-1,0,0,-1
05-25-2020,1154,21,-1,0,0,-1
05-26-2020,1154,21,-1,0,0,-1
05-27-2020,1154,21,-1,0,0,-1
05-28-2020,1154,22,-1,0,1,-1
05-29-2020,1154,22,-1,0,0,-1
05-30-2020,1154,22,-1,0,0,-1
05-31-2020,1154,22,-1,0,0,-1
06-01-2020,1154,22,-1,0,0,-1
06-02-2020,1154,22,-1,0,0,-1
06-03-2020,1154,22,-1,0,0,-1
06-04-2020,1154,22,-1,0,0,-1
06-05-2020,1154,22,-1,0,0,-1
06-06-2020,1154,22,-1,0,0,-1
06-07-2020,1154,22,-1,0,0,-1
06-08-2020,1154,22,-1,0,0,-1
06-09-2020,1154,22,-1,0,0,-1
06-10-2020,1154,22,1132,0,0,-1
06-11-2020,1154,22,1132,0,0,0
06-12-2020,1154,22,1132,0,0,0
06-13-2020,1154,22,1132,0,0,0
06-14-2020,1154,22,1132,0,0,0
06-15-2020,1154,22,1132,0,0,0
06-16-2020,1156,22,1132,2,0,0
06-17-2020,1156,22,1132,0,0,0
06-18-2020,1157,22,1132,1,0,0
06-19-2020,1159,22,1132,2,0,0
06-20-2020,1161,22,1132,2,0,0
06-21-2020,1161,22,1132,0,0,0
06-22-2020,1165,22,1133,4,0,1
06-23-2020,1166,22,1133,1,0,0
06-24-2020,1169,22,1134,3,0,1
06-25-2020,1170,22,1134,1,0,0
06-26-2020,1172,22,1134,2,0,0
06-27-2020,1176,22,1134,4,0,0
06-28-2020,1176,22,1134,0,0,0
06-29-2020,1178,22,1134,2,0,0
06-30-2020,1178,22,1134,0,0,0
07-01-2020,1180,22,1140,2,0,6
07-02-2020,1180,22,1140,0,0,0
07-03-2020,1180,22,1140,0,0,0
07-04-2020,1180,22,1140,0,0,0
07-05-2020,1183,22,1140,3,0,0
07-06-2020,1184,22,1140,1,0,0
07-07-2020,1186,22,1140,2,0,0
07-08-2020,1187,22,1140,1,0,0
07-09-2020,1190,22,1140,3,0,0
07-10-2020,1192,22,1140,2,0,0
07-11-2020,1193,22,1147,1,0,7
07-12-2020,1194,22,1147,1,0,0
07-13-2020,1194,22,1147,0,0,0
07-14-2020,1195,22,1147,1,0,0
07-15-2020,1197,22,1147,2,0,0
07-16-2020,1549,22,1149,352,0,2
