date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-09-2020,3,0,0,3,0,0
03-10-2020,3,0,0,0,0,0
03-11-2020,4,0,0,1,0,0
03-12-2020,5,0,0,1,0,0
03-13-2020,16,0,0,11,0,0
03-14-2020,28,0,0,12,0,0
03-15-2020,37,0,0,9,0,0
03-16-2020,50,0,0,13,0,0
03-17-2020,67,0,0,17,0,0
03-18-2020,89,0,0,22,0,0
03-19-2020,120,1,0,31,1,0
03-20-2020,174,3,0,54,2,0
03-21-2020,250,3,0,76,0,0
03-22-2020,356,3,0,106,0,0
03-23-2020,443,6,0,87,3,0
03-24-2020,567,8,0,124,2,0
03-25-2020,704,11,0,137,3,0
03-26-2020,870,15,0,166,4,0
03-27-2020,1139,19,0,269,4,0
03-28-2020,1406,25,0,267,6,0
03-29-2020,1653,29,0,247,4,0
03-30-2020,1933,40,0,280,11,0
03-31-2020,2199,55,0,266,15,0
04-01-2020,2547,65,0,348,10,0
04-02-2020,2902,81,0,355,16,0
04-03-2020,3312,91,0,410,10,0
04-04-2020,3739,102,0,427,11,0
04-05-2020,4043,119,0,304,17,0
04-06-2020,4453,142,0,410,23,0
04-07-2020,4782,167,0,329,25,0
04-08-2020,5148,193,0,366,26,0
04-09-2020,5512,213,0,364,20,0
04-10-2020,5878,231,12,366,18,12
04-11-2020,6250,247,12,372,16,0
04-12-2020,6604,253,12,354,6,0
04-13-2020,6975,274,12,371,21,0
04-14-2020,7285,324,305,310,50,293
04-15-2020,7794,362,367,509,38,62
04-16-2020,8414,391,367,620,29,0
04-17-2020,9107,418,448,693,27,81
04-18-2020,10222,451,448,1115,33,0
04-19-2020,11602,471,448,1380,20,0
04-20-2020,12919,509,448,1317,38,0
04-21-2020,13725,557,448,806,48,0
04-22-2020,14117,610,448,392,53,0
04-23-2020,14694,656,448,577,46,0
04-24-2020,15169,690,448,475,34,0
04-25-2020,15587,711,448,418,21,0
04-26-2020,15972,728,448,385,17,0
04-27-2020,16325,753,448,353,25,0
04-28-2020,16769,799,448,444,46,0
04-29-2020,17303,937,448,534,138,0
04-30-2020,18027,976,448,724,39,0
05-01-2020,18743,1003,448,716,27,0
05-02-2020,19335,1022,448,592,19,0
05-03-2020,19914,1039,448,579,17,0
05-04-2020,20474,1057,448,560,18,0
05-05-2020,20969,1135,448,495,78,0
05-06-2020,21576,1225,448,607,90,0
05-07-2020,22131,1271,448,555,46,0
05-08-2020,23016,1306,448,885,35,0
05-09-2020,23697,1331,832,681,25,384
05-10-2020,24081,1341,2384,384,10,1552
05-11-2020,24777,1357,3168,696,16,784
05-12-2020,25250,1436,4168,473,79,1000
05-13-2020,25721,1483,4168,471,47,0
05-14-2020,26357,1534,4168,636,51,0
05-15-2020,26954,1581,4168,597,47,0
05-16-2020,27474,1610,4529,520,29,361
05-17-2020,27923,1625,4556,449,15,27
05-18-2020,28454,1657,4556,531,32,0
05-19-2020,28952,1720,4604,498,63,48
05-20-2020,29436,1781,4604,484,61,0
05-21-2020,30167,1837,4604,731,56,0
05-22-2020,30794,1872,4604,627,35,0
05-23-2020,31408,1956,4604,614,84,0
05-24-2020,31911,1969,4604,503,13,0
05-25-2020,32477,1987,4604,566,18,0
05-26-2020,33006,2002,4604,529,15,0
05-27-2020,33439,2044,4604,433,42,0
05-28-2020,33915,2098,4604,476,54,0
05-29-2020,34566,2131,4604,651,33,0
05-30-2020,35034,2149,4604,468,18,0
05-31-2020,35514,2155,4604,480,6,0
06-01-2020,35985,2207,4604,471,52,0
06-02-2020,36351,2259,4604,366,52,0
06-03-2020,36793,2300,4604,442,41,0
06-04-2020,37283,2340,4604,490,40,0
06-05-2020,37759,2357,5090,476,17,486
06-06-2020,38112,2372,5090,353,15,0
06-07-2020,38477,2379,5090,365,7,0
06-08-2020,38838,2406,5090,361,27,0
06-09-2020,39163,2423,5090,325,17,0
06-10-2020,39576,2459,5090,413,36,0
06-11-2020,40005,2492,5090,429,33,0
06-12-2020,40425,2510,5090,420,18,0
06-13-2020,40852,2556,5090,427,46,0
06-14-2020,41148,2559,5090,296,3,0
06-15-2020,41576,2575,5090,428,16,0
06-16-2020,42010,2599,5090,434,24,0
06-17-2020,42426,2614,5090,416,15,0
06-18-2020,43122,2633,5090,696,19,0
06-19-2020,43731,2667,5090,609,34,0
06-20-2020,44262,2697,5090,531,30,0
06-21-2020,44809,2700,5090,547,3,0
06-22-2020,45538,2704,5090,729,4,0
06-23-2020,46128,2735,5090,590,31,0
06-24-2020,46760,2755,5090,632,20,0
06-25-2020,47652,2772,5090,892,17,0
06-26-2020,48639,2788,5090,987,16,0
06-27-2020,49456,2804,5090,817,16,0
06-28-2020,50310,2807,5090,854,3,0
06-29-2020,51047,2818,5090,737,11,0
06-30-2020,51047,2818,5090,0,0,0
07-01-2020,52866,2876,7138,1819,58,2048
07-02-2020,54166,2903,7138,1300,27,0
07-03-2020,55257,2903,7138,1091,0,0
07-04-2020,56183,2907,7138,926,4,0
07-05-2020,57151,2911,7194,968,4,56
07-06-2020,57957,2927,7194,806,16,0
07-07-2020,58905,2970,7194,948,43,0
07-08-2020,60182,2991,7194,1277,21,0
07-09-2020,61332,3006,7194,1150,15,0
07-10-2020,62857,3032,7194,1525,26,0
07-11-2020,64215,3036,7358,1358,4,164
07-12-2020,65593,3058,7358,1378,22,0
07-13-2020,66854,3064,7358,1261,6,0
07-14-2020,67996,3069,7358,1142,5,0
07-15-2020,69312,3075,7358,1316,6,0
07-16-2020,70602,3103,7358,1290,28,0
07-17-2020,72281,3112,7358,1679,9,0
07-18-2020,73822,3132,7358,1541,20,0
07-19-2020,74933,3174,7630,1111,42,272
07-20-2020,76169,3189,7630,1236,15,0
07-21-2020,77216,3220,7630,1047,31,0
07-22-2020,78743,3236,7630,1527,16,0
07-23-2020,80187,3257,7630,1444,21,0
07-24-2020,81747,3298,7630,1560,41,0
07-25-2020,83185,3298,7630,1438,0,0
07-26-2020,84074,3308,7630,889,10,0
07-27-2020,85178,3345,7630,1104,37,0
07-28-2020,86498,3383,7630,1320,38,0
07-29-2020,87894,3423,7630,1396,40,0
07-30-2020,89627,3443,7630,1733,20,0
07-31-2020,91160,3490,7630,1533,47,0
08-01-2020,92088,3516,7630,928,26,0
08-02-2020,93032,3530,7630,944,14,0
08-03-2020,93964,3540,7630,932,10,0
08-04-2020,95107,3571,7630,1143,31,0
08-05-2020,96306,3597,7630,1199,26,0
08-06-2020,97472,3619,7630,1166,22,0
08-07-2020,98676,3653,8745,1204,34,1115
08-08-2020,99970,3669,8745,1294,16,0
08-09-2020,100849,3670,8745,879,1,0
08-10-2020,101732,3674,8745,883,4,0
08-11-2020,102827,3709,80885,1095,35,72140
08-12-2020,104249,3735,81778,1422,26,893
08-13-2020,105427,3756,83642,1178,21,1864
08-14-2020,106558,3785,83642,1131,29,0
08-15-2020,107675,3825,83642,1117,40,0
08-16-2020,108293,3828,83642,618,3,0
08-17-2020,109063,3833,83642,770,5,0
08-18-2020,109925,3873,83642,862,40,0
08-19-2020,110882,3908,83642,957,35,0
08-20-2020,112004,3930,91656,1122,22,8014
08-21-2020,113047,3956,92736,1043,26,1080
08-22-2020,114166,3976,92736,1119,20,0
08-23-2020,114803,3979,94825,637,3,2089
08-24-2020,115652,3987,94825,849,8,0
08-25-2020,115652,3987,94825,0,0,0
