date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,1,0,0,1,0,0
02-29-2020,1,0,0,0,0,0
03-01-2020,2,0,0,1,0,0
03-02-2020,3,0,0,1,0,0
03-03-2020,3,0,0,0,0,0
03-04-2020,3,0,0,0,0,0
03-05-2020,3,0,0,0,0,0
03-06-2020,3,0,0,0,0,0
03-07-2020,7,0,0,4,0,0
03-08-2020,14,0,0,7,0,0
03-09-2020,14,0,0,0,0,0
03-10-2020,15,0,0,1,0,0
03-11-2020,19,0,0,4,0,0
03-12-2020,30,0,0,11,0,0
03-13-2020,32,0,0,2,0,0
03-14-2020,36,1,0,4,1,0
03-15-2020,39,1,0,3,0,0
03-16-2020,51,1,0,12,0,0
03-17-2020,68,2,0,17,1,0
03-18-2020,75,3,0,7,1,0
03-19-2020,88,3,0,13,0,0
03-20-2020,114,3,0,26,0,0
03-21-2020,137,4,0,23,1,0
03-22-2020,161,5,0,24,1,0
03-23-2020,191,5,0,30,0,0
03-24-2020,211,8,0,20,3,0
03-25-2020,266,10,0,55,2,0
03-26-2020,317,11,0,51,1,0
03-27-2020,414,12,0,97,1,0
03-28-2020,479,13,0,65,1,0
03-29-2020,549,13,0,70,0,0
03-30-2020,606,16,0,57,3,0
03-31-2020,690,18,0,84,2,0
04-01-2020,736,19,0,46,1,0
04-02-2020,826,21,0,90,2,0
04-03-2020,899,22,0,73,1,0
04-04-2020,999,26,0,100,4,0
04-05-2020,1068,27,0,69,1,0
04-06-2020,1132,29,0,64,2,0
04-07-2020,1181,33,0,49,4,0
04-08-2020,1239,37,0,58,4,0
04-09-2020,1321,44,0,82,7,0
04-10-2020,1371,48,0,50,4,0
04-11-2020,1447,51,0,76,3,0
04-12-2020,1527,52,0,80,1,0
04-13-2020,1584,53,0,57,1,0
04-14-2020,1633,55,38,49,2,38
04-15-2020,1663,58,42,30,3,4
04-16-2020,1736,64,42,73,6,0
04-17-2020,1785,70,42,49,6,0
04-18-2020,1844,72,42,59,2,0
04-19-2020,1910,74,42,66,2,0
04-20-2020,1956,75,42,46,1,0
04-21-2020,2002,78,42,46,3,0
04-22-2020,2059,78,595,57,0,553
04-23-2020,2127,83,595,68,5,0
04-24-2020,2177,86,595,50,3,0
04-25-2020,2253,87,595,76,1,0
04-26-2020,2311,92,595,58,5,0
04-27-2020,2354,92,595,43,0,0
04-28-2020,2385,99,595,31,7,0
04-29-2020,2446,101,595,61,2,0
04-30-2020,2510,103,595,64,2,0
05-01-2020,2579,104,595,69,1,0
05-02-2020,2635,109,595,56,5,0
05-03-2020,2680,109,595,45,0,0
05-04-2020,2759,109,595,79,0,0
05-05-2020,2839,113,595,80,4,0
05-06-2020,2916,115,1125,77,2,530
05-07-2020,2989,121,1125,73,6,0
05-08-2020,3068,124,1125,79,3,0
05-09-2020,3160,127,1125,92,3,0
05-10-2020,3228,127,1125,68,0,0
05-11-2020,3286,130,1125,58,3,0
05-12-2020,3358,130,1125,72,0,0
05-13-2020,3416,134,1406,58,4,281
05-14-2020,3479,137,1406,63,3,0
05-15-2020,3541,137,1406,62,0,0
05-16-2020,3612,137,1406,71,0,0
05-17-2020,3623,137,1406,11,0,0
05-18-2020,3687,138,1406,64,1,0
05-19-2020,3726,140,1406,39,2,0
05-20-2020,3801,144,1406,75,4,0
05-21-2020,3817,145,1894,16,1,488
05-22-2020,3864,147,1894,47,2,0
05-23-2020,3888,147,1894,24,0,0
05-24-2020,3927,148,1894,39,1,0
05-25-2020,3949,148,1894,22,0,0
05-26-2020,3967,148,1894,18,0,0
05-27-2020,4038,148,1894,71,0,0
05-28-2020,4086,151,1894,48,3,0
05-29-2020,4131,151,1894,45,0,0
05-30-2020,4185,153,1894,54,2,0
05-31-2020,4243,153,1894,58,0,0
06-01-2020,4302,154,1894,59,1,0
06-02-2020,4335,157,1894,33,3,0
06-03-2020,4399,159,1894,64,2,0
06-04-2020,4474,159,1894,75,0,0
06-05-2020,4570,161,1894,96,2,0
06-06-2020,4570,161,1894,0,0,0
06-07-2020,4662,163,1894,92,2,0
06-08-2020,4922,164,1894,260,1,0
06-09-2020,4988,169,1894,66,5,0
06-10-2020,5060,169,1894,72,0,0
06-11-2020,5237,171,1894,177,2,0
06-12-2020,5377,173,1894,140,2,0
06-13-2020,5377,173,1894,0,0,0
06-14-2020,5377,173,1894,0,0,0
06-15-2020,5820,180,1894,443,7,0
06-16-2020,6098,182,1894,278,2,0
06-17-2020,6220,183,1894,122,1,0
06-18-2020,6366,187,1885,146,4,-9
06-19-2020,6572,188,1885,206,1,0
06-20-2020,6572,188,1885,0,0,0
06-21-2020,6572,188,1885,0,0,0
06-22-2020,7083,192,1885,511,4,0
06-23-2020,7274,192,1885,191,0,0
06-24-2020,7444,195,1885,170,3,0
06-25-2020,7568,197,1885,124,2,0
06-26-2020,7818,202,1885,250,5,0
06-27-2020,8094,202,1885,276,0,0
06-28-2020,8341,202,1885,247,0,0
06-29-2020,8485,204,1885,144,2,0
06-30-2020,8656,207,1885,171,3,0
07-01-2020,8931,208,1885,275,1,0
07-02-2020,9294,209,1885,363,1,0
07-03-2020,9294,209,1885,0,0,0
07-04-2020,9930,213,1885,636,4,0
07-05-2020,9930,213,1885,0,0,0
07-06-2020,10395,215,1885,465,2,0
07-07-2020,10605,220,1885,210,5,0
07-08-2020,10817,224,1885,212,4,0
07-09-2020,11188,230,1885,371,6,0
07-10-2020,11454,232,1885,266,2,0
07-11-2020,11454,232,1885,0,0,0
07-12-2020,12170,234,1885,716,2,0
07-13-2020,12438,237,1885,268,3,0
07-14-2020,12805,244,1885,367,7,0
07-15-2020,13081,247,1885,276,3,0
07-16-2020,13509,249,1885,428,2,0
07-17-2020,13802,254,1885,293,5,0
07-18-2020,14149,257,1885,347,3,0
07-19-2020,14149,257,1885,0,0,0
07-20-2020,14847,262,1885,698,5,0
07-21-2020,15139,269,1885,292,7,0
07-22-2020,15393,271,1885,254,2,0
07-23-2020,15713,273,1885,320,2,0
07-24-2020,16104,282,1885,391,9,0
07-25-2020,16104,282,1885,0,0,0
07-26-2020,16104,282,1885,0,0,0
07-27-2020,17088,289,1885,984,7,0
07-28-2020,17416,300,1885,328,11,0
07-29-2020,17721,311,1885,305,11,0
07-30-2020,18131,317,1885,410,6,0
07-31-2020,18492,323,1885,361,6,0
08-01-2020,18817,323,1885,325,0,0
08-02-2020,19097,326,1885,280,3,0
08-03-2020,19366,329,1885,269,3,0
08-04-2020,19699,334,1885,333,5,0
08-05-2020,19978,339,1885,279,5,0
08-06-2020,20228,340,1885,250,1,0
08-07-2020,20635,349,1885,407,9,0
08-08-2020,21010,355,1885,375,6,0
08-09-2020,21272,356,1885,262,1,0
08-10-2020,21488,357,1885,216,1,0
08-11-2020,21774,369,1885,286,12,0
08-12-2020,22022,375,1885,248,6,0
08-13-2020,22300,383,1885,278,8,0
08-14-2020,22613,385,1885,313,2,0
08-15-2020,22613,385,1885,0,0,0
08-16-2020,23262,388,1885,649,3,0
08-17-2020,23451,388,1885,189,0,0
08-18-2020,23677,397,1885,226,9,0
08-19-2020,23870,408,1885,193,11,0
08-20-2020,24165,412,1885,295,4,0
08-21-2020,24421,414,1885,256,2,0
08-22-2020,24421,414,1885,0,0,0
08-23-2020,24937,417,1885,516,3,0
08-24-2020,25155,420,1885,218,3,0
08-25-2020,25155,420,1885,0,0,0
