date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-10-2020,1,0,-1,1,0,-1
03-11-2020,8,1,-1,7,1,-1
03-12-2020,10,1,-1,2,0,-1
03-13-2020,14,1,-1,4,0,-1
03-14-2020,27,1,-1,13,0,-1
03-15-2020,27,1,-1,0,0,-1
03-16-2020,43,1,-1,16,0,-1
03-17-2020,69,1,-1,26,0,-1
03-18-2020,86,1,-1,17,0,-1
03-19-2020,109,1,-1,23,0,-1
03-20-2020,137,1,-1,28,0,-1
03-21-2020,137,1,-1,0,0,-1
03-22-2020,137,1,-1,0,0,-1
03-23-2020,245,3,-1,108,2,-1
03-24-2020,345,6,-1,100,3,-1
03-25-2020,345,6,-1,0,0,-1
03-26-2020,558,8,-1,213,2,-1
03-27-2020,558,8,-1,0,0,-1
03-28-2020,674,9,-1,116,1,-1
03-29-2020,786,14,-1,112,5,-1
03-30-2020,901,17,-1,115,3,-1
03-31-2020,989,24,-1,88,7,-1
04-01-2020,989,24,-1,0,0,-1
04-02-2020,1181,30,-1,192,6,-1
04-03-2020,1317,32,-1,136,2,-1
04-04-2020,1475,37,-1,158,5,-1
04-05-2020,1673,41,-1,198,4,-1
04-06-2020,1801,46,-1,128,5,-1
04-07-2020,1988,54,-1,187,8,-1
04-08-2020,2100,55,-1,112,1,-1
04-09-2020,2249,59,-1,149,4,-1
04-10-2020,2528,63,-1,279,4,-1
04-11-2020,2752,66,-1,224,3,-1
04-12-2020,2974,74,-1,222,8,-1
04-13-2020,3234,79,-1,260,5,-1
04-14-2020,3400,87,-1,166,8,-1
04-15-2020,3472,94,-1,72,7,-1
04-16-2020,3574,95,-1,102,1,-1
04-17-2020,3751,103,-1,177,8,-1
04-18-2020,4016,109,-1,265,6,-1
04-19-2020,4210,115,-1,194,6,-1
04-20-2020,4273,120,-1,63,5,-1
04-21-2020,4467,126,-1,194,6,-1
04-22-2020,4658,136,-1,191,10,-1
04-23-2020,4821,141,-1,163,5,-1
04-24-2020,4992,144,-1,171,3,-1
04-25-2020,5166,146,-1,174,2,-1
04-26-2020,5338,154,-1,172,8,-1
04-27-2020,5538,159,-1,200,5,-1
04-28-2020,5779,165,-1,241,6,-1
04-29-2020,6021,167,-1,242,2,-1
04-30-2020,6200,176,-1,179,9,-1
05-01-2020,6378,178,-1,178,2,-1
05-02-2020,6532,188,-1,154,10,-1
05-03-2020,6720,192,-1,188,4,-1
05-04-2020,7090,197,-1,370,5,-1
05-05-2020,7197,200,-1,107,3,-1
05-06-2020,7387,203,-1,190,3,-1
05-07-2020,7523,210,-1,136,7,-1
05-08-2020,7731,218,-1,208,8,-1
05-09-2020,7868,225,-1,137,7,-1
05-10-2020,8070,231,-1,202,6,-1
05-11-2020,8282,237,-1,212,6,-1
05-12-2020,8448,244,-1,166,7,-1
05-13-2020,8616,249,-1,168,5,-1
05-14-2020,8616,249,-1,0,0,-1
05-15-2020,8944,256,-1,328,7,-1
05-16-2020,9118,260,-1,174,4,-1
05-17-2020,9268,266,-1,150,6,-1
05-18-2020,9449,269,-1,181,3,-1
05-19-2020,9606,275,-1,157,6,-1
05-20-2020,9726,279,-1,120,4,-1
05-21-2020,9867,281,-1,141,2,-1
05-22-2020,9977,287,-1,110,6,-1
05-23-2020,10116,291,-1,139,4,-1
05-24-2020,10267,295,-1,151,4,-1
05-25-2020,10577,299,-1,310,4,-1
05-26-2020,10926,306,-1,349,7,-1
05-27-2020,11183,310,-1,257,4,-1
05-28-2020,11447,313,-1,264,3,-1
05-29-2020,11728,315,-1,281,2,-1
05-30-2020,12131,320,-1,403,5,-1
05-31-2020,12531,326,-1,400,6,-1
06-01-2020,13018,330,-1,487,4,-1
06-02-2020,13463,336,-1,445,6,-1
06-03-2020,13837,344,-1,374,8,-1
06-04-2020,14095,352,-1,258,8,-1
06-05-2020,14609,357,-1,514,5,-1
06-06-2020,15044,363,-1,435,6,-1
06-07-2020,15463,370,-1,419,7,-1
06-08-2020,16004,386,-1,541,16,-1
06-09-2020,16425,393,-1,421,7,-1
06-10-2020,17889,413,10977,1464,20,-1
06-11-2020,18568,418,10977,679,5,0
06-12-2020,18568,418,10977,0,0,0
06-13-2020,20059,429,13759,1491,11,2782
06-14-2020,20059,429,13759,0,0,0
06-15-2020,21422,437,13766,1363,8,7
06-16-2020,21422,457,13766,0,20,0
06-17-2020,21422,457,13766,0,0,0
06-18-2020,23351,475,13782,1929,18,16
06-19-2020,24274,485,14359,923,10,577
06-20-2020,25222,493,14359,948,8,0
06-21-2020,26030,501,14359,808,8,0
06-22-2020,26030,501,14359,0,0,0
06-23-2020,27314,536,14694,1284,35,335
06-24-2020,28030,547,14794,716,11,100
06-25-2020,29037,564,14800,1007,17,6
06-26-2020,29905,575,15270,868,11,470
06-27-2020,29905,575,15270,0,0,0
06-28-2020,30658,592,15370,753,17,100
06-29-2020,31686,604,15470,1028,12,100
06-30-2020,33550,631,15745,1864,27,275
07-01-2020,34463,645,15945,913,14,200
07-02-2020,34463,645,15945,0,0,0
07-03-2020,35995,698,16945,1532,53,1000
07-04-2020,36983,720,17761,988,22,816
07-05-2020,36983,720,17761,0,0,0
07-06-2020,39334,770,18036,2351,50,275
07-07-2020,39334,770,18036,0,0,0
07-08-2020,41251,819,19469,1917,49,1433
07-09-2020,41251,819,19469,0,0,0
07-10-2020,43257,863,21426,2006,44,1957
07-11-2020,43257,863,21426,0,0,0
07-12-2020,43257,863,21426,0,0,0
07-13-2020,45633,909,23039,2376,46,1613
07-14-2020,47173,932,23919,1540,23,880
07-15-2020,49243,982,25417,2070,50,1498
07-16-2020,50373,1000,25842,1130,18,425
07-17-2020,50373,1000,25842,0,0,0
07-18-2020,51408,1038,26520,1035,38,678
07-19-2020,52261,1071,27494,853,33,974
07-20-2020,54426,1127,29164,2165,56,1670
07-21-2020,54426,1127,29164,0,0,0
07-22-2020,55906,1180,31122,1480,53,1958
07-23-2020,55906,1180,31122,0,0,0
07-24-2020,57993,1250,32704,2087,70,1582
07-25-2020,57993,1250,32704,0,0,0
07-26-2020,60296,1294,34131,2303,44,1427
07-27-2020,61442,1322,35086,1146,28,955
07-28-2020,62223,1349,36181,781,27,1095
07-29-2020,63269,1374,37316,1046,25,1135
07-30-2020,64191,1397,38218,922,23,902
07-31-2020,65256,1421,39166,1065,24,948
08-01-2020,65256,1421,39166,0,0,0
08-02-2020,67453,1471,41038,2197,50,1872
08-03-2020,68456,1497,42093,1003,26,1055
08-04-2020,69424,1522,43330,968,25,1237
08-05-2020,70231,1553,44792,807,31,1462
08-06-2020,71418,1574,45658,1187,21,866
08-07-2020,72560,1591,46675,1142,17,1017
08-08-2020,73651,1609,47484,1091,18,809
08-09-2020,74492,1639,48748,841,30,1264
08-10-2020,75394,1664,49510,902,25,762
08-11-2020,76464,1680,50665,1070,16,1155
08-12-2020,76464,1680,50665,0,0,0
08-13-2020,78446,1722,52210,1982,42,1545
08-14-2020,78446,1722,52210,0,0,0
08-15-2020,79402,1734,52886,956,12,676
08-16-2020,81940,1767,55001,2538,33,2115
08-17-2020,82543,1788,55845,603,21,844
08-18-2020,82790,1807,57191,247,19,1346
08-19-2020,82790,1807,57191,0,0,0
08-20-2020,83855,1844,59174,1065,37,1983
08-21-2020,83855,1844,59174,0,0,0
08-22-2020,84392,1859,59722,537,15,548
08-23-2020,86900,1892,61420,2508,33,1698
08-24-2020,87485,1906,62185,585,14,765
08-25-2020,87485,1906,62185,0,0,0
