date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-08-2020,1,0,-1,1,0,-1
03-09-2020,1,0,-1,0,0,-1
03-10-2020,1,0,-1,0,0,-1
03-11-2020,5,0,-1,4,0,-1
03-12-2020,5,0,-1,0,0,-1
03-13-2020,5,0,-1,0,0,-1
03-14-2020,6,0,-1,1,0,-1
03-15-2020,6,0,-1,0,0,-1
03-16-2020,8,0,-1,2,0,-1
03-17-2020,9,0,-1,1,0,-1
03-18-2020,11,0,-1,2,0,-1
03-19-2020,11,0,-1,0,0,-1
03-20-2020,13,0,-1,2,0,-1
03-21-2020,18,1,-1,5,1,-1
03-22-2020,18,1,-1,0,0,-1
03-23-2020,22,1,-1,4,0,-1
03-24-2020,27,2,-1,5,1,-1
03-25-2020,27,2,-1,0,0,-1
03-26-2020,41,3,-1,14,1,-1
03-27-2020,41,3,-1,0,0,-1
03-28-2020,52,3,-1,11,0,-1
03-29-2020,56,3,-1,4,0,-1
03-30-2020,59,3,-1,3,0,-1
03-31-2020,64,3,-1,5,0,-1
04-01-2020,65,3,-1,1,0,-1
04-02-2020,69,3,-1,4,0,-1
04-03-2020,77,3,-1,8,0,-1
04-04-2020,92,3,-1,15,0,-1
04-05-2020,96,3,-1,4,0,-1
04-06-2020,104,3,-1,8,0,-1
04-07-2020,113,5,-1,9,2,-1
04-08-2020,115,5,-1,2,0,-1
04-09-2020,119,5,-1,4,0,-1
04-10-2020,124,5,-1,5,0,-1
04-11-2020,129,6,-1,5,1,-1
04-12-2020,133,6,-1,4,0,-1
04-13-2020,134,6,-1,1,0,-1
04-14-2020,147,6,-1,13,0,-1
04-15-2020,159,7,-1,12,1,-1
04-16-2020,161,8,-1,2,1,-1
04-17-2020,174,8,-1,13,0,-1
04-18-2020,199,8,-1,25,0,-1
04-19-2020,202,8,-1,3,0,-1
04-20-2020,206,8,-1,4,0,-1
04-21-2020,208,8,-1,2,0,-1
04-22-2020,208,8,-1,0,0,-1
04-23-2020,213,9,-1,5,1,-1
04-24-2020,213,9,-1,0,0,-1
04-25-2020,220,9,-1,7,0,-1
04-26-2020,223,9,-1,3,0,-1
04-27-2020,228,9,-1,5,0,-1
04-28-2020,228,9,-1,0,0,-1
04-29-2020,230,9,-1,2,0,-1
04-30-2020,239,9,-1,9,0,-1
05-01-2020,249,9,-1,10,0,-1
05-02-2020,266,10,-1,17,1,-1
05-03-2020,333,10,-1,67,0,-1
05-04-2020,370,10,-1,37,0,-1
05-05-2020,396,10,-1,26,0,-1
05-06-2020,431,10,-1,35,0,-1
05-07-2020,440,10,-1,9,0,-1
05-08-2020,462,10,-1,22,0,-1
05-09-2020,563,10,-1,101,0,-1
05-10-2020,689,10,-1,126,0,-1
05-11-2020,713,10,-1,24,0,-1
05-12-2020,724,10,-1,11,0,-1
05-13-2020,737,10,-1,13,0,-1
05-14-2020,740,11,-1,3,1,-1
05-15-2020,754,11,-1,14,0,-1
05-16-2020,759,11,-1,5,0,-1
05-17-2020,778,11,-1,19,0,-1
05-18-2020,786,11,-1,8,0,-1
05-19-2020,788,11,-1,2,0,-1
05-20-2020,829,11,-1,41,0,-1
05-21-2020,833,11,-1,4,0,-1
05-22-2020,836,11,-1,3,0,-1
05-23-2020,838,11,-1,2,0,-1
05-24-2020,850,11,-1,12,0,-1
05-25-2020,862,11,-1,12,0,-1
05-26-2020,865,11,-1,3,0,-1
05-27-2020,877,11,-1,12,0,-1
05-28-2020,884,11,-1,7,0,-1
05-29-2020,900,11,-1,16,0,-1
05-30-2020,917,11,-1,17,0,-1
05-31-2020,964,11,-1,47,0,-1
06-01-2020,986,11,-1,22,0,-1
06-02-2020,995,11,-1,9,0,-1
06-03-2020,1013,11,-1,18,0,-1
06-04-2020,1070,11,-1,57,0,-1
06-05-2020,1086,11,-1,16,0,-1
06-06-2020,1087,11,-1,1,0,-1
06-07-2020,1090,11,-1,3,0,-1
06-08-2020,1135,11,-1,45,0,-1
06-09-2020,1145,11,-1,10,0,-1
06-10-2020,1202,11,619,57,0,-1
06-11-2020,1230,11,624,28,0,5
06-12-2020,1254,11,633,24,0,9
06-13-2020,1261,11,647,7,0,14
06-14-2020,1261,11,647,0,0,0
06-15-2020,1296,12,673,35,1,26
06-16-2020,1303,12,699,7,0,26
06-17-2020,1308,13,711,5,1,12
06-18-2020,1330,13,717,22,0,6
06-19-2020,1336,13,741,6,0,24
06-20-2020,1362,13,791,26,0,50
06-21-2020,1379,13,871,17,0,80
06-22-2020,1392,13,903,13,0,32
06-23-2020,1422,13,926,30,0,23
06-24-2020,1528,13,944,106,0,18
06-25-2020,1569,13,976,41,0,32
06-26-2020,1711,13,1013,142,0,37
06-27-2020,1711,13,1013,0,0,0
06-28-2020,2127,15,1065,416,2,52
06-29-2020,2191,16,1080,64,1,15
06-30-2020,2191,16,1080,0,0,0
07-01-2020,2260,19,1102,69,3,22
07-02-2020,2260,19,1102,0,0,0
07-03-2020,2349,19,1113,89,0,11
07-04-2020,2385,20,1134,36,1,21
07-05-2020,2427,20,1166,42,0,32
07-06-2020,2456,20,1180,29,0,14
07-07-2020,2456,20,1180,0,0,0
07-08-2020,2554,20,1212,98,0,32
07-09-2020,2554,20,1212,0,0,0
07-10-2020,2736,20,1256,182,0,44
07-11-2020,2736,20,1256,0,0,0
07-12-2020,2736,20,1256,0,0,0
07-13-2020,2980,25,1293,244,5,37
07-14-2020,2980,25,1293,0,0,0
07-15-2020,2980,25,1293,0,0,0
07-16-2020,3074,25,1293,94,0,0
07-17-2020,3342,27,1379,268,2,86
07-18-2020,3457,28,1481,115,1,102
07-19-2020,3457,28,1481,0,0,0
07-20-2020,3629,29,1481,172,1,0
07-21-2020,3721,31,1481,92,2,0
07-22-2020,3817,35,2307,96,4,826
07-23-2020,4000,36,2391,183,1,84
07-24-2020,4113,36,2487,113,0,96
07-25-2020,4224,38,2596,111,2,109
07-26-2020,4444,41,2794,220,3,198
07-27-2020,4548,43,2905,104,2,111
07-28-2020,4674,45,3039,126,2,134
07-29-2020,4866,46,3169,192,1,130
07-30-2020,5207,47,3250,341,1,81
07-31-2020,5338,49,3548,131,2,298
08-01-2020,5338,49,3548,0,0,0
08-02-2020,5644,52,3966,306,3,418
08-03-2020,5724,55,4249,80,3,283
08-04-2020,5852,55,4645,128,0,396
08-05-2020,6060,59,4839,208,4,194
08-06-2020,6375,66,4974,315,7,135
08-07-2020,6508,69,5123,133,3,149
08-08-2020,6705,72,5181,197,3,58
08-09-2020,6705,72,5181,0,0,0
08-10-2020,6907,75,5222,202,3,41
08-11-2020,7519,86,5326,612,11,104
08-12-2020,7519,86,5326,0,0,0
08-13-2020,7519,86,5326,0,0,0
08-14-2020,8018,93,5326,499,7,0
08-15-2020,9077,108,5657,1059,15,331
08-16-2020,9791,138,6034,714,30,377
08-17-2020,10135,141,6210,344,3,176
08-18-2020,10135,141,6210,0,0,0
08-19-2020,10135,145,6210,0,4,0
08-20-2020,10606,161,6210,471,16,0
08-21-2020,11817,170,6783,1211,9,573
08-22-2020,11817,170,6783,0,0,0
08-23-2020,12974,192,7197,1157,22,414
08-24-2020,13233,205,7417,259,13,220
08-25-2020,13602,219,7649,369,14,232
