date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-13-2020,3,0,-1,3,0,-1
03-14-2020,6,0,-1,3,0,-1
03-15-2020,9,0,-1,3,0,-1
03-16-2020,9,0,-1,0,0,-1
03-17-2020,9,0,-1,0,0,-1
03-18-2020,12,0,-1,3,0,-1
03-19-2020,15,0,-1,3,0,-1
03-20-2020,28,0,-1,13,0,-1
03-21-2020,47,0,-1,19,0,-1
03-22-2020,47,0,-1,0,0,-1
03-23-2020,64,0,-1,17,0,-1
03-24-2020,71,0,-1,7,0,-1
03-25-2020,83,0,-1,12,0,-1
03-26-2020,94,0,-1,11,0,-1
03-27-2020,135,0,-1,41,0,-1
03-28-2020,143,0,-1,8,0,-1
03-29-2020,143,0,-1,0,0,-1
03-30-2020,207,0,-1,64,0,-1
03-31-2020,207,0,-1,0,0,-1
04-01-2020,247,0,-1,40,0,-1
04-02-2020,281,0,-1,34,0,-1
04-03-2020,308,0,-1,27,0,-1
04-04-2020,321,0,-1,13,0,-1
04-05-2020,334,0,-1,13,0,-1
04-06-2020,344,0,-1,10,0,-1
04-07-2020,349,0,-1,5,0,-1
04-08-2020,358,0,-1,9,0,-1
04-09-2020,362,0,-1,4,0,-1
04-10-2020,376,0,-1,14,0,-1
04-11-2020,382,0,-1,6,0,-1
04-12-2020,388,0,-1,6,0,-1
04-13-2020,389,0,-1,1,0,-1
04-14-2020,390,0,-1,1,0,-1
04-15-2020,390,0,-1,0,0,-1
04-16-2020,390,0,-1,0,0,-1
04-17-2020,394,0,-1,4,0,-1
04-18-2020,402,0,-1,8,0,-1
04-19-2020,407,0,-1,5,0,-1
04-20-2020,408,0,-1,1,0,-1
04-21-2020,408,0,-1,0,0,-1
04-22-2020,410,0,-1,2,0,-1
04-23-2020,410,0,-1,0,0,-1
04-24-2020,411,0,-1,1,0,-1
04-25-2020,411,0,-1,0,0,-1
04-26-2020,411,0,-1,0,0,-1
04-27-2020,416,0,-1,5,0,-1
04-28-2020,417,0,-1,1,0,-1
04-29-2020,417,0,-1,0,0,-1
04-30-2020,420,0,-1,3,0,-1
05-01-2020,420,0,-1,0,0,-1
05-02-2020,420,0,-1,0,0,-1
05-03-2020,420,0,-1,0,0,-1
05-04-2020,423,0,-1,3,0,-1
05-05-2020,424,0,-1,1,0,-1
05-06-2020,425,0,-1,1,0,-1
05-07-2020,425,0,-1,0,0,-1
05-08-2020,427,0,-1,2,0,-1
05-09-2020,430,0,-1,3,0,-1
05-10-2020,430,0,-1,0,0,-1
05-11-2020,436,0,-1,6,0,-1
05-12-2020,436,0,-1,0,0,-1
05-13-2020,437,0,-1,1,0,-1
05-14-2020,439,0,-1,2,0,-1
05-15-2020,440,0,-1,1,0,-1
05-16-2020,441,0,-1,1,0,-1
05-17-2020,443,0,-1,2,0,-1
05-18-2020,443,0,-1,0,0,-1
05-19-2020,446,0,-1,3,0,-1
05-20-2020,446,0,-1,0,0,-1
05-21-2020,447,1,-1,1,1,-1
05-22-2020,449,1,-1,2,0,-1
05-23-2020,449,1,-1,0,0,-1
05-24-2020,452,1,-1,3,0,-1
05-25-2020,452,1,-1,0,0,-1
05-26-2020,456,1,-1,4,0,-1
05-27-2020,459,1,-1,3,0,-1
05-28-2020,460,1,-1,1,0,-1
05-29-2020,465,1,-1,5,0,-1
05-30-2020,470,1,-1,5,0,-1
05-31-2020,471,1,-1,1,0,-1
06-01-2020,471,1,-1,0,0,-1
06-02-2020,473,1,-1,2,0,-1
06-03-2020,477,1,-1,4,0,-1
06-04-2020,478,1,-1,1,0,-1
06-05-2020,479,1,-1,1,0,-1
06-06-2020,480,1,-1,1,0,-1
06-07-2020,480,1,-1,0,0,-1
06-08-2020,480,1,-1,0,0,-1
06-09-2020,481,1,-1,1,0,-1
06-10-2020,481,1,447,0,0,-1
06-11-2020,486,1,447,5,0,0
06-12-2020,487,1,447,1,0,0
06-13-2020,488,1,447,1,0,0
06-14-2020,489,1,447,1,0,0
06-15-2020,495,1,447,6,0,0
06-16-2020,496,1,447,1,0,0
06-17-2020,495,1,460,-1,0,13
06-18-2020,497,1,460,2,0,0
06-19-2020,502,1,460,5,0,0
06-20-2020,504,1,460,2,0,0
06-21-2020,505,1,460,1,0,0
06-22-2020,506,1,460,1,0,0
06-23-2020,507,1,460,1,0,0
06-24-2020,507,1,460,0,0,0
06-25-2020,508,2,460,1,1,0
06-26-2020,516,2,460,8,0,0
06-27-2020,517,2,460,1,0,0
06-28-2020,520,2,460,3,0,0
06-29-2020,521,2,460,1,0,0
06-30-2020,522,2,460,1,0,0
07-01-2020,526,2,460,4,0,0
07-02-2020,528,2,460,2,0,0
07-03-2020,531,2,472,3,0,12
07-04-2020,533,2,472,2,0,0
07-05-2020,536,2,472,3,0,0
07-06-2020,547,2,472,11,0,0
07-07-2020,550,2,472,3,0,0
07-08-2020,551,3,472,1,1,0
07-09-2020,563,3,472,12,0,0
07-10-2020,566,3,472,3,0,0
07-11-2020,571,3,472,5,0,0
07-12-2020,577,3,472,6,0,0
07-13-2020,593,3,472,16,0,0
07-14-2020,596,3,472,3,0,0
07-15-2020,599,3,472,3,0,0
07-16-2020,608,3,472,9,0,0
07-17-2020,614,3,472,6,0,0
07-18-2020,624,3,472,10,0,0
07-19-2020,624,3,472,0,0,0
07-20-2020,628,3,472,4,0,0
07-21-2020,639,3,472,11,0,0
07-22-2020,639,3,472,0,0,0
07-23-2020,645,3,472,6,0,0
07-24-2020,646,3,472,1,0,0
07-25-2020,654,3,472,8,0,0
07-26-2020,657,3,472,3,0,0
07-27-2020,657,3,472,0,0,0
07-28-2020,657,4,472,0,1,0
07-29-2020,657,4,472,0,0,0
07-30-2020,657,4,472,0,0,0
07-31-2020,657,4,472,0,0,0
08-01-2020,660,4,472,3,0,0
08-02-2020,664,4,472,4,0,0
08-03-2020,667,4,472,3,0,0
08-04-2020,667,4,472,0,0,0
08-05-2020,669,4,472,2,0,0
08-06-2020,670,5,472,1,1,0
08-07-2020,671,5,472,1,0,0
08-08-2020,675,5,472,4,0,0
08-09-2020,681,5,472,6,0,0
08-10-2020,687,5,472,6,0,0
08-11-2020,690,5,472,3,0,0
08-12-2020,702,5,472,12,0,0
08-13-2020,734,5,472,32,0,0
08-14-2020,754,5,472,20,0,0
08-15-2020,776,5,472,22,0,0
08-16-2020,788,5,472,12,0,0
08-17-2020,855,5,472,67,0,0
08-18-2020,880,5,472,25,0,0
08-19-2020,903,5,472,23,0,0
08-20-2020,945,5,472,42,0,0
08-21-2020,996,5,472,51,0,0
08-22-2020,1075,5,472,79,0,0
08-23-2020,1117,6,472,42,1,0
08-24-2020,1209,6,472,92,0,0
08-25-2020,1244,3,472,35,-3,0
