date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,1,0,0,0,0,0
01-23-2020,1,0,0,0,0,0
01-24-2020,1,0,0,0,0,0
01-25-2020,9,0,0,8,0,0
01-26-2020,13,0,0,4,0,0
01-27-2020,20,0,0,7,0,0
01-28-2020,27,0,0,7,0,0
01-29-2020,35,0,1,8,0,1
01-30-2020,39,0,1,4,0,0
01-31-2020,39,0,1,0,0,0
02-01-2020,56,0,1,17,0,0
02-02-2020,66,0,3,10,0,2
02-03-2020,74,0,2,8,0,-1
02-04-2020,81,0,4,7,0,2
02-05-2020,81,0,5,0,0,1
02-06-2020,96,0,12,15,0,7
02-07-2020,96,0,15,0,0,3
02-08-2020,115,0,21,19,0,6
02-09-2020,119,0,25,4,0,4
02-10-2020,119,0,25,0,0,0
02-11-2020,124,0,30,5,0,5
02-12-2020,126,0,33,2,0,3
02-13-2020,126,0,36,0,0,3
02-14-2020,127,0,38,1,0,2
02-15-2020,128,0,46,1,0,8
02-16-2020,129,0,50,1,0,4
02-17-2020,130,0,53,1,0,3
02-18-2020,131,0,61,1,0,8
02-19-2020,131,0,68,0,0,7
02-20-2020,132,0,76,1,0,8
02-21-2020,132,0,78,0,0,2
02-22-2020,132,0,81,0,0,3
02-23-2020,132,0,88,0,0,7
02-24-2020,133,0,94,1,0,6
02-25-2020,133,0,98,0,0,4
02-26-2020,133,0,104,0,0,6
02-27-2020,133,0,104,0,0,0
02-28-2020,133,0,112,0,0,8
02-29-2020,133,0,114,0,0,2
03-01-2020,133,0,116,0,0,2
03-02-2020,133,0,119,0,0,3
03-03-2020,133,0,124,0,0,5
03-04-2020,133,0,124,0,0,0
03-05-2020,133,0,126,0,0,2
03-06-2020,133,0,126,0,0,0
03-07-2020,133,0,126,0,0,0
03-08-2020,133,0,126,0,0,0
03-09-2020,133,0,127,0,0,1
03-10-2020,133,0,131,0,0,4
03-11-2020,133,0,131,0,0,0
03-12-2020,133,0,132,0,0,1
03-13-2020,133,0,133,0,0,1
03-14-2020,133,0,133,0,0,0
03-15-2020,133,0,133,0,0,0
03-16-2020,133,0,133,0,0,0
03-17-2020,133,0,133,0,0,0
03-18-2020,133,0,133,0,0,0
03-19-2020,133,0,133,0,0,0
03-20-2020,133,0,133,0,0,0
03-21-2020,133,0,133,0,0,0
03-22-2020,133,0,133,0,0,0
03-23-2020,134,0,133,1,0,0
03-24-2020,134,0,133,0,0,0
03-25-2020,135,0,133,1,0,0
03-26-2020,135,0,133,0,0,0
03-27-2020,135,0,133,0,0,0
03-28-2020,135,0,133,0,0,0
03-29-2020,136,0,133,1,0,0
03-30-2020,136,0,133,0,0,0
03-31-2020,137,0,133,1,0,0
04-01-2020,137,0,133,0,0,0
04-02-2020,137,0,133,0,0,0
04-03-2020,137,0,133,0,0,0
04-04-2020,137,0,133,0,0,0
04-05-2020,138,0,133,1,0,0
04-06-2020,138,0,133,0,0,0
04-07-2020,138,0,133,0,0,0
04-08-2020,163,0,134,25,0,1
