date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-16-2020,1,0,-1,1,0,-1
03-17-2020,1,0,-1,0,0,-1
03-18-2020,1,0,-1,0,0,-1
03-19-2020,1,0,-1,0,0,-1
03-20-2020,1,0,-1,0,0,-1
03-21-2020,1,0,-1,0,0,-1
03-22-2020,1,0,-1,0,0,-1
03-23-2020,1,0,-1,0,0,-1
03-24-2020,1,0,-1,0,0,-1
03-25-2020,1,0,-1,0,0,-1
03-26-2020,2,0,-1,1,0,-1
03-27-2020,3,0,-1,1,0,-1
03-28-2020,3,0,-1,0,0,-1
03-29-2020,3,0,-1,0,0,-1
03-30-2020,3,0,-1,0,0,-1
03-31-2020,3,0,-1,0,0,-1
04-01-2020,5,0,-1,2,0,-1
04-02-2020,5,0,-1,0,0,-1
04-03-2020,5,0,-1,0,0,-1
04-04-2020,7,0,-1,2,0,-1
04-05-2020,7,0,-1,0,0,-1
04-06-2020,7,0,-1,0,0,-1
04-07-2020,7,0,-1,0,0,-1
04-08-2020,8,0,-1,1,0,-1
04-09-2020,12,1,-1,4,1,-1
04-10-2020,12,1,-1,0,0,-1
04-11-2020,21,1,-1,9,0,-1
04-12-2020,21,1,-1,0,0,-1
04-13-2020,25,2,-1,4,1,-1
04-14-2020,60,2,-1,35,0,-1
04-15-2020,60,2,-1,0,0,-1
04-16-2020,80,5,-1,20,3,-1
04-17-2020,80,5,-1,0,0,-1
04-18-2020,116,5,-1,36,0,-1
04-19-2020,135,7,-1,19,2,-1
04-20-2020,164,7,-1,29,0,-1
04-21-2020,237,8,-1,73,1,-1
04-22-2020,286,14,-1,49,6,-1
04-23-2020,328,16,-1,42,2,-1
04-24-2020,328,16,-1,0,0,-1
04-25-2020,390,18,-1,62,2,-1
04-26-2020,436,23,-1,46,5,-1
04-27-2020,480,26,-1,44,3,-1
04-28-2020,528,28,-1,48,2,-1
04-29-2020,582,28,-1,54,0,-1
04-30-2020,601,28,-1,19,0,-1
05-01-2020,601,28,-1,0,0,-1
05-02-2020,671,31,-1,70,3,-1
05-03-2020,722,32,-1,51,1,-1
05-04-2020,756,35,-1,34,3,-1
05-05-2020,835,38,-1,79,3,-1
05-06-2020,873,39,-1,38,1,-1
05-07-2020,928,44,-1,55,5,-1
05-08-2020,928,44,-1,0,0,-1
05-09-2020,997,48,-1,69,4,-1
05-10-2020,1054,51,-1,57,3,-1
05-11-2020,1089,52,-1,35,1,-1
05-12-2020,1170,52,-1,81,0,-1
05-13-2020,1219,52,-1,49,0,-1
05-14-2020,1284,53,-1,65,1,-1
05-15-2020,1284,53,-1,0,0,-1
05-16-2020,1357,55,-1,73,2,-1
05-17-2020,1421,56,-1,64,1,-1
05-18-2020,1455,57,-1,34,1,-1
05-19-2020,1502,59,-1,47,2,-1
05-20-2020,1573,61,-1,71,2,-1
05-21-2020,1594,61,-1,21,0,-1
05-22-2020,1594,61,-1,0,0,-1
05-23-2020,1594,61,-1,0,0,-1
05-24-2020,1594,61,-1,0,0,-1
05-25-2020,1594,61,-1,0,0,-1
05-26-2020,1689,66,-1,95,5,-1
05-27-2020,1711,67,-1,22,1,-1
05-28-2020,1731,67,-1,20,0,-1
05-29-2020,1828,72,-1,97,5,-1
05-30-2020,1828,72,-1,0,0,-1
05-31-2020,1916,73,-1,88,1,-1
06-01-2020,1976,78,-1,60,5,-1
06-02-2020,2023,79,-1,47,1,-1
06-03-2020,2089,79,-1,66,0,-1
06-04-2020,2146,79,-1,57,0,-1
06-05-2020,2204,79,-1,58,0,-1
06-06-2020,2204,79,-1,0,0,-1
06-07-2020,2289,82,-1,85,3,-1
06-08-2020,2334,83,-1,45,1,-1
06-09-2020,2368,84,-1,34,1,-1
06-10-2020,2452,85,506,84,1,-1
06-11-2020,2452,85,506,0,0,0
06-12-2020,2513,85,532,61,0,26
06-13-2020,2579,87,559,66,2,27
06-14-2020,2579,87,559,0,0,0
06-15-2020,2642,88,622,63,1,63
06-16-2020,2658,88,649,16,0,27
06-17-2020,2696,88,685,38,0,36
06-18-2020,2719,88,724,23,0,39
06-19-2020,2719,88,724,0,0,0
06-20-2020,2788,88,751,69,0,27
06-21-2020,2788,90,782,0,2,31
06-22-2020,2812,90,818,24,0,36
06-23-2020,2835,90,829,23,0,11
06-24-2020,2860,90,837,25,0,8
06-25-2020,2878,90,868,18,0,31
06-26-2020,2878,90,868,0,0,0
06-27-2020,2878,90,868,0,0,0
06-28-2020,2894,90,887,16,0,19
06-29-2020,2904,90,910,10,0,23
06-30-2020,2904,90,910,0,0,0
07-01-2020,2924,90,932,20,0,22
07-02-2020,2924,90,932,0,0,0
07-03-2020,2944,90,951,20,0,19
07-04-2020,2961,92,973,17,2,22
07-05-2020,2997,92,1014,36,0,41
07-06-2020,3006,92,763,9,0,-251
07-07-2020,3006,92,763,0,0,0
07-08-2020,3028,92,1147,22,0,384
07-09-2020,3028,92,1147,0,0,0
07-10-2020,3038,92,1209,10,0,62
07-11-2020,3038,92,1209,0,0,0
07-12-2020,3051,92,1209,13,0,0
07-13-2020,3059,93,1306,8,1,97
07-14-2020,3072,93,1306,13,0,0
07-15-2020,3076,93,1306,4,0,0
07-16-2020,3083,93,1306,7,0,0
07-17-2020,3106,93,1306,23,0,0
07-18-2020,3111,93,1452,5,0,146
07-19-2020,3111,93,1452,0,0,0
07-20-2020,3119,93,1452,8,0,0
07-21-2020,3130,93,1452,11,0,0
07-22-2020,3135,93,1464,5,0,12
07-23-2020,3171,93,1499,36,0,35
07-24-2020,3171,93,1499,0,0,0
07-25-2020,3179,93,1521,8,0,22
07-26-2020,3178,93,1521,-1,0,0
07-27-2020,3196,93,1543,18,0,22
07-28-2020,3212,93,1562,16,0,19
07-29-2020,3212,93,1562,0,0,0
07-30-2020,3212,93,1562,0,0,0
07-31-2020,3212,93,1562,0,0,0
08-01-2020,3212,93,1562,0,0,0
08-02-2020,3220,93,1598,8,0,36
08-03-2020,3220,93,1598,0,0,0
08-04-2020,3220,93,1598,0,0,0
08-05-2020,3221,93,1599,1,0,1
08-06-2020,3227,93,1599,6,0,0
08-07-2020,3227,93,1599,0,0,0
08-08-2020,3227,93,1599,0,0,0
08-09-2020,3227,93,1599,0,0,0
08-10-2020,3227,93,1599,0,0,0
08-11-2020,3227,93,1599,0,0,0
08-12-2020,3227,93,1599,0,0,0
08-13-2020,3227,93,1599,0,0,0
08-14-2020,3227,93,1599,0,0,0
08-15-2020,3250,93,1599,23,0,0
08-16-2020,3256,93,2374,6,0,775
08-17-2020,3256,93,2374,0,0,0
08-18-2020,3257,93,2374,1,0,0
08-19-2020,3257,93,2374,0,0,0
08-20-2020,3265,93,2374,8,0,0
08-21-2020,3265,93,2374,0,0,0
08-22-2020,3265,93,2374,0,0,0
08-23-2020,3269,93,2374,4,0,0
08-24-2020,3269,93,2374,0,0,0
08-25-2020,3269,93,2374,0,0,0
