date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,1,0,-1,0,0,-1
01-23-2020,1,0,-1,0,0,-1
01-24-2020,2,0,-1,1,0,-1
01-25-2020,2,0,-1,0,0,-1
01-26-2020,3,0,-1,1,0,-1
01-27-2020,4,0,-1,1,0,-1
01-28-2020,4,0,-1,0,0,-1
01-29-2020,4,0,-1,0,0,-1
01-30-2020,6,0,-1,2,0,-1
01-31-2020,11,0,-1,5,0,-1
02-01-2020,12,0,-1,1,0,-1
02-02-2020,15,0,-1,3,0,-1
02-03-2020,15,0,-1,0,0,-1
02-04-2020,16,0,-1,1,0,-1
02-05-2020,18,0,-1,2,0,-1
02-06-2020,23,0,-1,5,0,-1
02-07-2020,24,0,-1,1,0,-1
02-08-2020,24,0,-1,0,0,-1
02-09-2020,27,0,-1,3,0,-1
02-10-2020,27,0,-1,0,0,-1
02-11-2020,28,0,-1,1,0,-1
02-12-2020,28,0,-1,0,0,-1
02-13-2020,28,0,-1,0,0,-1
02-14-2020,28,0,-1,0,0,-1
02-15-2020,28,0,-1,0,0,-1
02-16-2020,29,0,-1,1,0,-1
02-17-2020,30,0,-1,1,0,-1
02-18-2020,31,0,-1,1,0,-1
02-19-2020,51,0,-1,20,0,-1
02-20-2020,104,1,-1,53,1,-1
02-21-2020,204,1,-1,100,0,-1
02-22-2020,433,2,-1,229,1,-1
02-23-2020,602,2,-1,169,0,-1
02-24-2020,833,7,-1,231,5,-1
02-25-2020,977,10,-1,144,3,-1
02-26-2020,1261,12,-1,284,2,-1
02-27-2020,1766,13,-1,505,1,-1
02-28-2020,2337,13,-1,571,0,-1
02-29-2020,3150,17,-1,813,4,-1
03-01-2020,3736,18,-1,586,1,-1
03-02-2020,4212,22,-1,476,4,-1
03-03-2020,4812,28,-1,600,6,-1
03-04-2020,5328,32,-1,516,4,-1
03-05-2020,5766,35,-1,438,3,-1
03-06-2020,6284,42,-1,518,7,-1
03-07-2020,6767,44,-1,483,2,-1
03-08-2020,7134,50,-1,367,6,-1
03-09-2020,7382,51,-1,248,1,-1
03-10-2020,7513,54,-1,131,3,-1
03-11-2020,7755,60,-1,242,6,-1
03-12-2020,7979,66,-1,224,6,-1
03-13-2020,7979,67,-1,0,1,-1
03-14-2020,8086,72,-1,107,5,-1
03-15-2020,8162,75,-1,76,3,-1
03-16-2020,8236,75,-1,74,0,-1
03-17-2020,8320,81,-1,84,6,-1
03-18-2020,8413,84,-1,93,3,-1
03-19-2020,8652,94,-1,239,10,-1
03-20-2020,8799,102,-1,147,8,-1
03-21-2020,8897,104,-1,98,2,-1
03-22-2020,8897,104,-1,0,0,-1
03-23-2020,8961,111,-1,64,7,-1
03-24-2020,9037,120,-1,76,9,-1
03-25-2020,9137,126,-1,100,6,-1
03-26-2020,9241,131,-1,104,5,-1
03-27-2020,9332,139,-1,91,8,-1
03-28-2020,9478,144,-1,146,5,-1
03-29-2020,9583,152,-1,105,8,-1
03-30-2020,9661,158,-1,78,6,-1
03-31-2020,9786,162,-1,125,4,-1
04-01-2020,9887,165,-1,101,3,-1
04-02-2020,9976,169,-1,89,4,-1
04-03-2020,10062,174,-1,86,5,-1
04-04-2020,10156,177,-1,94,3,-1
04-05-2020,10237,183,-1,81,6,-1
04-06-2020,10284,186,-1,47,3,-1
04-07-2020,10331,192,-1,47,6,-1
04-08-2020,10384,200,-1,53,8,-1
04-09-2020,10423,204,-1,39,4,-1
04-10-2020,10450,208,-1,27,4,-1
04-11-2020,10480,211,-1,30,3,-1
04-12-2020,10512,214,-1,32,3,-1
04-13-2020,10537,217,-1,25,3,-1
04-14-2020,10564,222,-1,27,5,-1
04-15-2020,10591,225,7616,27,3,-1
04-16-2020,10635,230,7829,44,5,213
04-17-2020,10635,230,7829,0,0,0
04-18-2020,10653,232,7937,18,2,108
04-19-2020,10661,234,8042,8,2,105
04-20-2020,10683,237,8213,22,3,171
04-21-2020,10694,238,8277,11,1,64
04-22-2020,10694,238,8277,0,0,0
04-23-2020,10708,240,8501,14,2,224
04-24-2020,10708,240,8501,0,0,0
04-25-2020,10728,242,8717,20,2,216
04-26-2020,10738,243,8764,10,1,47
04-27-2020,10752,244,8854,14,1,90
04-28-2020,10761,246,8922,9,2,68
04-29-2020,10765,247,9059,4,1,137
04-30-2020,10765,247,9059,0,0,0
05-01-2020,10774,248,9072,9,1,13
05-02-2020,10780,250,9123,6,2,51
05-03-2020,10793,250,9183,13,0,60
05-04-2020,10801,252,9217,8,2,34
05-05-2020,10804,254,9283,3,2,66
05-06-2020,10806,255,9333,2,1,50
05-07-2020,10810,256,9419,4,1,86
05-08-2020,10822,256,9484,12,0,65
05-09-2020,10840,256,9568,18,0,84
05-10-2020,10874,256,9610,34,0,42
05-11-2020,10909,256,9632,35,0,22
05-12-2020,10936,258,9670,27,2,38
05-13-2020,10962,259,9695,26,1,25
05-14-2020,10991,260,9762,29,1,67
05-15-2020,11018,260,9821,27,0,59
05-16-2020,11037,262,9851,19,2,30
05-17-2020,11050,262,9888,13,0,37
05-18-2020,11065,263,9904,15,1,16
05-19-2020,11078,263,9938,13,0,34
05-20-2020,11110,263,10066,32,0,128
05-21-2020,11122,264,10135,12,1,69
05-22-2020,11142,264,10162,20,0,27
05-23-2020,11165,266,10194,23,2,32
05-24-2020,11190,266,10213,25,0,19
05-25-2020,11206,267,10226,16,1,13
05-26-2020,11225,269,10275,19,2,49
05-27-2020,11265,269,10295,40,0,20
05-28-2020,11344,269,10340,79,0,45
05-29-2020,11402,269,10363,58,0,23
05-30-2020,11441,269,10398,39,0,35
05-31-2020,11468,270,10405,27,1,7
06-01-2020,11503,271,10422,35,1,17
06-02-2020,11541,272,10446,38,1,24
06-03-2020,11590,273,10467,49,1,21
06-04-2020,11629,273,10499,39,0,32
06-05-2020,11668,273,10506,39,0,7
06-06-2020,11776,273,10552,108,0,46
06-07-2020,11776,273,10552,0,0,0
06-08-2020,11814,273,10563,38,0,11
06-09-2020,11902,276,10611,88,3,48
06-10-2020,11902,276,10611,0,0,0
06-11-2020,12003,277,10669,101,1,58
06-12-2020,12051,277,10691,48,0,22
06-13-2020,12051,277,10691,0,0,0
06-14-2020,12121,277,10730,70,0,39
06-15-2020,12155,278,10760,34,1,30
06-16-2020,12198,279,10774,43,1,14
06-17-2020,12198,279,10774,0,0,0
06-18-2020,12306,280,10835,108,1,61
06-19-2020,12373,280,10856,67,0,21
06-20-2020,12421,280,10868,48,0,12
06-21-2020,12438,280,10881,17,0,13
06-22-2020,12484,281,10908,46,1,27
06-23-2020,12535,281,10930,51,0,22
06-24-2020,12563,282,10974,28,1,44
06-25-2020,12602,282,11172,39,0,198
06-26-2020,12602,282,11172,0,0,0
06-27-2020,12653,282,11172,51,0,0
06-28-2020,12715,282,11364,62,0,192
06-29-2020,12757,282,11429,42,0,65
06-30-2020,12850,282,11613,93,0,184
07-01-2020,12904,282,11684,54,0,71
07-02-2020,12967,282,11759,63,0,75
07-03-2020,13030,283,11811,63,1,52
07-04-2020,13030,283,11811,0,0,0
07-05-2020,13137,284,11848,107,1,37
07-06-2020,13181,285,11914,44,1,66
07-07-2020,13244,285,11970,63,0,56
07-08-2020,13293,287,12019,49,2,49
07-09-2020,13338,288,12065,45,1,46
07-10-2020,13373,288,12144,35,0,79
07-11-2020,13417,289,12178,44,1,34
07-12-2020,13479,289,12204,62,0,26
07-13-2020,13512,289,12282,33,0,78
07-14-2020,13551,289,12348,39,0,66
07-15-2020,13612,291,12396,61,2,48
07-16-2020,13672,293,12460,60,2,64
07-17-2020,13711,294,12519,39,1,59
07-18-2020,13711,294,12519,0,0,0
07-19-2020,13771,296,12572,60,2,53
07-20-2020,13816,296,12643,45,0,71
07-21-2020,13879,297,12698,63,1,55
07-22-2020,13938,297,12758,59,0,60
07-23-2020,13979,298,12817,41,1,59
07-24-2020,14092,298,12866,113,0,49
07-25-2020,14092,298,12866,0,0,0
07-26-2020,14175,299,12905,83,1,39
07-27-2020,14203,300,13007,28,1,102
07-28-2020,14203,300,13007,0,0,0
07-29-2020,14269,300,13132,66,0,125
07-30-2020,14305,301,13183,36,1,51
07-31-2020,14336,301,13233,31,0,50
08-01-2020,14336,301,13233,0,0,0
08-02-2020,14389,301,13280,53,0,47
08-03-2020,14423,301,13352,34,0,72
08-04-2020,14456,302,13406,33,1,54
08-05-2020,14499,302,13501,43,0,95
08-06-2020,14499,302,13501,0,0,0
08-07-2020,14519,303,13543,20,1,42
08-08-2020,14562,304,13629,43,1,86
08-09-2020,14626,305,13658,64,1,29
08-10-2020,14626,305,13658,0,0,0
08-11-2020,14714,305,13786,88,0,128
08-12-2020,14770,305,13817,56,0,31
08-13-2020,14873,305,13863,103,0,46
08-14-2020,14873,305,13863,0,0,0
08-15-2020,15039,305,13901,166,0,38
08-16-2020,15515,305,13917,476,0,16
08-17-2020,15761,306,13934,246,1,17
08-18-2020,15761,306,13934,0,0,0
08-19-2020,16346,307,14063,585,1,129
08-20-2020,16670,309,14120,324,2,57
08-21-2020,16670,309,14120,0,0,0
08-22-2020,17002,309,14169,332,0,49
08-23-2020,17399,309,14200,397,0,31
08-24-2020,17945,310,14286,546,1,86
08-25-2020,17945,310,14286,0,0,0
