date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
04-06-2020,1,0,-1,1,0,-1
04-07-2020,1,0,-1,0,0,-1
04-08-2020,1,0,-1,0,0,-1
04-09-2020,1,0,-1,0,0,-1
04-10-2020,3,0,-1,2,0,-1
04-11-2020,3,0,-1,0,0,-1
04-12-2020,4,0,-1,1,0,-1
04-13-2020,4,0,-1,0,0,-1
04-14-2020,4,0,-1,0,0,-1
04-15-2020,4,0,-1,0,0,-1
04-16-2020,4,0,-1,0,0,-1
04-17-2020,4,0,-1,0,0,-1
04-18-2020,4,0,-1,0,0,-1
04-19-2020,4,0,-1,0,0,-1
04-20-2020,4,0,-1,0,0,-1
04-21-2020,4,0,-1,0,0,-1
04-22-2020,4,0,-1,0,0,-1
04-23-2020,4,0,-1,0,0,-1
04-24-2020,4,0,-1,0,0,-1
04-25-2020,5,0,-1,1,0,-1
04-26-2020,5,0,-1,0,0,-1
04-27-2020,6,0,-1,1,0,-1
04-28-2020,6,0,-1,0,0,-1
04-29-2020,34,0,-1,28,0,-1
04-30-2020,34,0,-1,0,0,-1
05-01-2020,35,0,-1,1,0,-1
05-02-2020,45,0,-1,10,0,-1
05-03-2020,45,0,-1,0,0,-1
05-04-2020,46,0,-1,1,0,-1
05-05-2020,49,0,-1,3,0,-1
05-06-2020,49,0,-1,0,0,-1
05-07-2020,58,0,-1,9,0,-1
05-08-2020,90,0,-1,32,0,-1
05-09-2020,120,0,-1,30,0,-1
05-10-2020,120,0,-1,0,0,-1
05-11-2020,156,0,-1,36,0,-1
05-12-2020,174,0,-1,18,0,-1
05-13-2020,174,0,-1,0,0,-1
05-14-2020,194,0,-1,20,0,-1
05-15-2020,231,1,-1,37,1,-1
05-16-2020,231,1,-1,0,0,-1
05-17-2020,231,1,-1,0,0,-1
05-18-2020,282,4,-1,51,3,-1
05-19-2020,282,4,-1,0,0,-1
05-20-2020,282,4,-1,0,0,-1
