date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-31-2020,1,0,-1,1,0,-1
02-01-2020,1,0,-1,0,0,-1
02-02-2020,1,0,-1,0,0,-1
02-03-2020,1,0,-1,0,0,-1
02-04-2020,1,0,-1,0,0,-1
02-05-2020,1,0,-1,0,0,-1
02-06-2020,1,0,-1,0,0,-1
02-07-2020,1,0,-1,0,0,-1
02-08-2020,1,0,-1,0,0,-1
02-09-2020,2,0,-1,1,0,-1
02-10-2020,2,0,-1,0,0,-1
02-11-2020,2,0,-1,0,0,-1
02-12-2020,2,0,-1,0,0,-1
02-13-2020,2,0,-1,0,0,-1
02-14-2020,2,0,-1,0,0,-1
02-15-2020,2,0,-1,0,0,-1
02-16-2020,2,0,-1,0,0,-1
02-17-2020,2,0,-1,0,0,-1
02-18-2020,2,0,-1,0,0,-1
02-19-2020,2,0,-1,0,0,-1
02-20-2020,2,0,-1,0,0,-1
02-21-2020,2,0,-1,0,0,-1
02-22-2020,2,0,-1,0,0,-1
02-23-2020,2,0,-1,0,0,-1
02-24-2020,2,0,-1,0,0,-1
02-25-2020,2,0,-1,0,0,-1
02-26-2020,12,0,-1,10,0,-1
02-27-2020,25,0,-1,13,0,-1
02-28-2020,32,0,-1,7,0,-1
02-29-2020,45,0,-1,13,0,-1
03-01-2020,45,0,-1,0,0,-1
03-02-2020,114,0,-1,69,0,-1
03-03-2020,151,0,-1,37,0,-1
03-04-2020,198,1,-1,47,1,-1
03-05-2020,257,3,-1,59,2,-1
03-06-2020,374,5,-1,117,2,-1
03-07-2020,430,5,-1,56,0,-1
03-08-2020,589,10,-1,159,5,-1
03-09-2020,1024,28,-1,435,18,-1
03-10-2020,1639,36,-1,615,8,-1
03-11-2020,2140,47,-1,501,11,-1
03-12-2020,2965,84,-1,825,37,-1
03-13-2020,4231,120,-1,1266,36,-1
03-14-2020,5753,136,-1,1522,16,-1
03-15-2020,7753,288,-1,2000,152,-1
03-16-2020,9191,309,-1,1438,21,-1
03-17-2020,11178,491,-1,1987,182,-1
03-18-2020,13716,598,-1,2538,107,-1
03-19-2020,17147,767,-1,3431,169,-1
03-20-2020,19980,1002,-1,2833,235,-1
03-21-2020,24926,1326,-1,4946,324,-1
03-22-2020,24926,1326,-1,0,0,-1
03-23-2020,28572,1720,-1,3646,394,-1
03-24-2020,33089,2182,-1,4517,462,-1
03-25-2020,39673,2696,-1,6584,514,-1
03-26-2020,47610,3434,-1,7937,738,-1
03-27-2020,56188,4089,-1,8578,655,-1
03-28-2020,64059,4858,-1,7871,769,-1
03-29-2020,72248,5690,-1,8189,832,-1
03-30-2020,78797,6528,-1,6549,838,-1
03-31-2020,85195,7340,-1,6398,812,-1
04-01-2020,94417,8189,-1,9222,849,-1
04-02-2020,102136,9053,-1,7719,864,-1
04-03-2020,110238,10003,-1,8102,950,-1
04-04-2020,117710,10935,-1,7472,932,-1
04-05-2020,124736,11744,-1,7026,809,-1
04-06-2020,130759,12418,-1,6023,674,-1
04-07-2020,135032,13055,-1,4273,637,-1
04-08-2020,140510,13798,-1,5478,743,-1
04-09-2020,146690,14555,-1,6180,757,-1
04-10-2020,152446,15238,-1,5756,683,-1
04-11-2020,157022,15843,-1,4576,605,-1
04-12-2020,161852,16353,-1,4830,510,-1
04-13-2020,166019,16972,-1,4167,619,-1
04-14-2020,169496,17489,-1,3477,517,-1
04-15-2020,176034,18056,-1,6538,567,-1
04-16-2020,180074,18579,-1,4040,523,-1
04-17-2020,184474,19130,-1,4400,551,-1
04-18-2020,188578,19478,-1,4104,348,-1
04-19-2020,188578,20043,-1,0,565,-1
04-20-2020,191163,20453,-1,2585,410,-1
04-21-2020,194515,20852,-1,3352,399,-1
04-22-2020,197142,21282,-1,2627,430,-1
04-23-2020,200194,21717,-1,3052,435,-1
04-24-2020,202961,22157,-1,2767,440,-1
04-25-2020,205905,22524,-1,2944,367,-1
04-26-2020,205905,22524,-1,0,0,-1
04-27-2020,207634,23190,-1,1729,666,-1
04-28-2020,209465,23190,-1,1831,0,-1
04-29-2020,210773,23822,-1,1308,632,-1
04-30-2020,212917,24275,-1,2144,453,-1
05-01-2020,213435,24543,-1,518,268,-1
05-02-2020,215216,24824,-1,1781,281,-1
05-03-2020,216582,25100,-1,1366,276,-1
05-04-2020,217466,25264,-1,884,164,-1
05-05-2020,218011,25428,-1,545,164,-1
05-06-2020,219329,25613,-1,1318,185,-1
05-07-2020,220325,25857,-1,996,244,-1
05-08-2020,221447,26070,-1,1122,213,-1
05-09-2020,222857,26251,-1,1410,181,-1
05-10-2020,223578,26478,-1,721,227,-1
05-11-2020,224390,26621,-1,812,143,-1
05-12-2020,227436,26744,-1,3046,123,-1
05-13-2020,228030,26920,-1,594,176,-1
05-14-2020,228691,27104,-1,661,184,-1
05-15-2020,229540,27321,-1,849,217,-1
05-16-2020,230183,27459,-1,643,138,-1
05-17-2020,230698,27563,-1,515,104,-1
05-18-2020,231350,27650,-1,652,87,-1
05-19-2020,231606,27709,-1,256,59,-1
05-20-2020,232037,27778,-1,431,69,-1
05-21-2020,232555,27888,-1,518,110,-1
05-22-2020,233037,27940,-1,482,52,-1
05-23-2020,234824,28628,-1,1787,688,-1
05-24-2020,235290,28678,-1,466,50,-1
05-25-2020,235772,28752,-1,482,74,-1
05-26-2020,235772,26834,-1,0,-1918,-1
05-27-2020,236259,27117,-1,487,283,-1
05-28-2020,236769,27118,-1,510,1,-1
05-29-2020,237906,27119,-1,1137,1,-1
05-30-2020,238564,27121,-1,658,2,-1
05-31-2020,239228,27125,-1,664,4,-1
06-01-2020,239429,27127,-1,201,2,-1
06-02-2020,239638,27127,-1,209,0,-1
06-03-2020,239932,27127,-1,294,0,-1
06-04-2020,240326,27127,-1,394,0,-1
06-05-2020,240660,27133,-1,334,6,-1
06-06-2020,240978,27134,-1,318,1,-1
06-07-2020,241310,27135,-1,332,1,-1
06-08-2020,241550,27136,-1,240,1,-1
06-09-2020,241717,27136,-1,167,0,-1
06-10-2020,242468,28281,-1,751,1145,-1
06-11-2020,242821,28296,-1,353,15,-1
06-12-2020,243277,28305,-1,456,9,-1
06-13-2020,243383,28315,-1,106,10,-1
06-14-2020,243605,28324,-1,222,9,-1
06-15-2020,243928,28333,-1,323,9,-1
06-16-2020,244328,28339,150376,400,6,-1
06-17-2020,244683,28344,150376,355,5,0
06-18-2020,245268,28346,150376,585,2,0
06-19-2020,245268,28349,150376,0,3,0
06-20-2020,245938,28352,150376,670,3,0
06-21-2020,246272,28357,150376,334,5,0
06-22-2020,246504,28357,150376,232,0,0
06-23-2020,246752,28361,150376,248,4,0
06-24-2020,247086,28362,150376,334,1,0
06-25-2020,247486,28367,150376,400,5,0
06-26-2020,247905,28371,150376,419,4,0
06-27-2020,248469,28372,150376,564,1,0
