date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-14-2020,1,0,-1,1,0,-1
03-15-2020,1,1,-1,0,1,-1
03-16-2020,1,1,-1,0,0,-1
03-17-2020,1,1,-1,0,0,-1
03-18-2020,1,1,-1,0,0,-1
03-19-2020,1,1,-1,0,0,-1
03-20-2020,1,1,-1,0,0,-1
03-21-2020,2,1,-1,1,0,-1
03-22-2020,2,1,-1,0,0,-1
03-23-2020,2,1,-1,0,0,-1
03-24-2020,3,1,-1,1,0,-1
03-25-2020,3,1,-1,0,0,-1
03-26-2020,3,1,-1,0,0,-1
03-27-2020,3,1,-1,0,0,-1
03-28-2020,5,1,-1,2,0,-1
03-29-2020,5,1,-1,0,0,-1
03-30-2020,6,2,-1,1,1,-1
03-31-2020,7,2,-1,1,0,-1
04-01-2020,7,2,-1,0,0,-1
04-02-2020,7,2,-1,0,0,-1
04-03-2020,10,2,-1,3,0,-1
04-04-2020,10,2,-1,0,0,-1
04-05-2020,12,2,-1,2,0,-1
04-06-2020,12,2,-1,0,0,-1
04-07-2020,14,2,-1,2,0,-1
04-08-2020,14,2,-1,0,0,-1
04-09-2020,14,2,-1,0,0,-1
04-10-2020,15,2,-1,1,0,-1
04-11-2020,19,2,-1,4,0,-1
04-12-2020,19,2,-1,0,0,-1
04-13-2020,19,2,-1,0,0,-1
04-14-2020,29,4,-1,10,2,-1
04-15-2020,32,5,-1,3,1,-1
04-16-2020,32,5,-1,0,0,-1
04-17-2020,32,5,-1,0,0,-1
04-18-2020,66,10,-1,34,5,-1
04-19-2020,66,10,-1,0,0,-1
04-20-2020,92,12,-1,26,2,-1
04-21-2020,107,12,-1,15,0,-1
04-22-2020,140,13,-1,33,1,-1
04-23-2020,162,13,-1,22,0,-1
04-24-2020,174,16,-1,12,3,-1
04-25-2020,213,17,-1,39,1,-1
04-26-2020,237,21,-1,24,4,-1
04-27-2020,275,22,-1,38,1,-1
04-28-2020,318,25,-1,43,3,-1
04-29-2020,375,28,-1,57,3,-1
04-30-2020,375,28,-1,0,0,-1
05-01-2020,442,31,-1,67,3,-1
05-02-2020,533,36,-1,91,5,-1
05-03-2020,592,41,-1,59,5,-1
05-04-2020,678,41,-1,86,0,-1
05-05-2020,778,45,-1,100,4,-1
05-06-2020,852,49,-1,74,4,-1
05-07-2020,930,52,-1,78,3,-1
05-08-2020,930,52,-1,0,0,-1
05-09-2020,1111,59,-1,181,7,-1
05-10-2020,1164,64,-1,53,5,-1
