date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-25-2020,1,0,-1,1,0,-1
02-26-2020,1,0,-1,0,0,-1
02-27-2020,6,0,-1,5,0,-1
02-28-2020,10,0,-1,4,0,-1
02-29-2020,18,0,-1,8,0,-1
03-01-2020,24,0,-1,6,0,-1
03-02-2020,30,0,-1,6,0,-1
03-03-2020,37,0,-1,7,0,-1
03-04-2020,57,0,-1,20,0,-1
03-05-2020,86,1,-1,29,1,-1
03-06-2020,209,1,-1,123,0,-1
03-07-2020,264,2,-1,55,1,-1
03-08-2020,332,2,-1,68,0,-1
03-09-2020,332,2,-1,0,0,-1
03-10-2020,491,3,-1,159,1,-1
03-11-2020,645,4,-1,154,1,-1
03-12-2020,858,4,-1,213,0,-1
03-13-2020,1125,7,-1,267,3,-1
03-14-2020,1359,11,-1,234,4,-1
03-15-2020,2200,13,-1,841,2,-1
03-16-2020,2200,14,-1,0,1,-1
03-17-2020,2650,19,-1,450,5,-1
03-18-2020,3010,21,-1,360,2,-1
03-19-2020,3863,33,-1,853,12,-1
03-20-2020,4840,43,-1,977,10,-1
03-21-2020,6077,56,-1,1237,13,-1
03-22-2020,6077,56,-1,0,0,-1
03-23-2020,6971,60,-1,894,4,-1
03-24-2020,8015,66,-1,1044,6,-1
03-25-2020,8789,86,-1,774,20,-1
03-26-2020,9714,103,-1,925,17,-1
03-27-2020,10714,161,-1,1000,58,-1
03-28-2020,12104,197,-1,1390,36,-1
03-29-2020,13152,235,-1,1048,38,-1
03-30-2020,14274,257,-1,1122,22,-1
03-31-2020,15412,295,-1,1138,38,-1
04-01-2020,16108,373,-1,696,78,-1
04-02-2020,17070,378,-1,962,5,-1
04-03-2020,18844,462,-1,1774,84,-1
04-04-2020,19706,533,-1,862,71,-1
04-05-2020,20489,592,-1,783,59,-1
04-06-2020,21065,641,-1,576,49,-1
04-07-2020,21574,641,-1,509,0,-1
04-08-2020,22164,641,-1,590,0,-1
04-09-2020,22710,705,-1,546,64,-1
04-10-2020,23495,756,-1,785,51,-1
04-11-2020,24228,805,-1,733,49,-1
04-12-2020,24820,831,-1,592,26,-1
04-13-2020,25220,858,-1,400,27,-1
04-14-2020,25499,885,-1,279,27,-1
04-15-2020,25753,900,-1,254,15,-1
04-16-2020,26336,973,-1,583,73,-1
04-17-2020,26651,1016,-1,315,43,-1
04-18-2020,26997,1058,-1,346,42,-1
04-19-2020,27322,1110,-1,325,52,-1
04-20-2020,27658,1134,-1,336,24,-1
04-21-2020,27862,1141,-1,204,7,-1
04-22-2020,27981,1186,-1,119,45,-1
04-23-2020,28186,1216,-1,205,30,-1
04-24-2020,28414,1267,-1,228,51,-1
04-25-2020,28595,1308,-1,181,41,-1
04-26-2020,28978,1336,-1,383,28,-1
04-27-2020,28978,1336,-1,0,0,-1
04-28-2020,29081,1352,-1,103,16,-1
04-29-2020,29181,1379,-1,100,27,-1
04-30-2020,29324,1407,-1,143,28,-1
05-01-2020,29503,1422,-1,179,15,-1
05-02-2020,29622,1434,-1,119,12,-1
05-03-2020,29734,1466,-1,112,32,-1
05-04-2020,29822,1472,-1,88,6,-1
05-05-2020,29898,1476,-1,76,4,-1
05-06-2020,29926,1482,-1,28,6,-1
05-07-2020,29977,1504,-1,51,22,-1
05-08-2020,30043,1517,-1,66,13,-1
05-09-2020,30168,1531,-1,125,14,-1
