date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
06-16-2020,671,12,182,671,12,182
06-17-2020,683,12,188,12,0,6
06-18-2020,688,12,191,5,0,3
06-19-2020,693,12,199,5,0,8
06-20-2020,698,12,203,5,0,4
06-21-2020,698,12,203,0,0,0
06-22-2020,702,12,203,4,0,0
06-23-2020,707,12,208,5,0,5
06-24-2020,710,13,211,3,1,3
06-25-2020,711,13,214,1,0,3
06-26-2020,712,13,219,1,0,5
06-27-2020,712,13,219,0,0,0
06-28-2020,713,13,219,1,0,0
06-29-2020,713,13,235,0,0,16
06-30-2020,713,13,235,0,0,0
07-01-2020,715,13,252,2,0,17
07-02-2020,715,13,252,0,0,0
07-03-2020,719,13,267,4,0,15
07-04-2020,719,13,267,0,0,0
07-05-2020,720,13,268,1,0,1
07-06-2020,721,13,269,1,0,1
07-07-2020,721,13,269,0,0,0
07-08-2020,724,13,283,3,0,14
07-09-2020,724,13,283,0,0,0
07-10-2020,727,14,284,3,1,1
07-11-2020,727,14,284,0,0,0
07-12-2020,727,14,284,0,0,0
07-13-2020,727,14,284,0,0,0
07-14-2020,727,14,284,0,0,0
07-15-2020,727,14,284,0,0,0
07-16-2020,727,14,284,0,0,0
07-17-2020,740,14,325,13,0,41
07-18-2020,743,14,337,3,0,12
07-19-2020,743,14,337,0,0,0
07-20-2020,743,14,337,0,0,0
07-21-2020,743,14,337,0,0,0
07-22-2020,747,14,601,4,0,264
07-23-2020,747,14,601,0,0,0
07-24-2020,860,14,610,113,0,9
07-25-2020,860,14,610,0,0,0
07-26-2020,863,14,696,3,0,86
07-27-2020,865,14,734,2,0,38
07-28-2020,867,14,759,2,0,25
07-29-2020,868,14,766,1,0,7
07-30-2020,870,15,771,2,1,5
07-31-2020,871,15,778,1,0,7
08-01-2020,874,15,782,3,0,4
08-02-2020,874,15,787,0,0,5
08-03-2020,874,15,787,0,0,0
08-04-2020,875,15,794,1,0,7
08-05-2020,878,15,795,3,0,1
08-06-2020,878,15,797,0,0,2
08-07-2020,878,15,799,0,0,2
08-08-2020,878,15,800,0,0,1
08-09-2020,878,15,800,0,0,0
08-10-2020,878,15,800,0,0,0
08-11-2020,878,15,800,0,0,0
08-12-2020,881,15,804,3,0,4
08-13-2020,882,15,807,1,0,3
08-14-2020,885,15,809,3,0,2
08-15-2020,885,15,809,0,0,0
08-16-2020,885,15,815,0,0,6
08-17-2020,885,15,815,0,0,0
08-18-2020,885,15,821,0,0,6
08-19-2020,885,15,821,0,0,0
08-20-2020,888,15,829,3,0,8
08-21-2020,891,15,830,3,0,1
08-22-2020,891,15,830,0,0,0
08-23-2020,892,15,831,1,0,1
08-24-2020,892,15,831,0,0,0
08-25-2020,892,15,831,0,0,0
