date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
05-01-2020,15,0,-1,15,0,-1
05-02-2020,32,0,-1,17,0,-1
05-03-2020,76,2,-1,44,2,-1
05-04-2020,128,4,-1,52,2,-1
05-05-2020,230,7,-1,102,3,-1
05-06-2020,293,7,-1,63,0,-1
05-07-2020,379,9,-1,86,2,-1
05-08-2020,461,16,-1,82,7,-1
05-09-2020,522,18,-1,61,2,-1
05-10-2020,561,19,-1,39,1,-1
05-11-2020,612,20,-1,51,1,-1
05-12-2020,661,21,-1,49,1,-1
05-13-2020,729,23,-1,68,2,-1
05-14-2020,729,32,-1,0,9,-1
05-15-2020,1085,36,-1,356,4,-1
05-16-2020,1118,36,-1,33,0,-1
05-17-2020,1322,39,-1,204,3,-1
05-18-2020,1322,39,-1,0,0,-1
05-19-2020,1729,44,-1,407,5,-1
05-20-2020,1936,44,-1,207,0,-1
05-21-2020,2140,44,-1,204,0,-1
05-22-2020,2350,44,-1,210,0,-1
05-23-2020,2551,44,-1,201,0,-1
05-24-2020,2738,44,-1,187,0,-1
05-25-2020,2929,46,-1,191,2,-1
05-26-2020,3100,46,-1,171,0,-1
05-27-2020,3266,47,-1,166,1,-1
05-28-2020,3424,47,-1,158,0,-1
05-29-2020,3563,47,-1,139,0,-1
05-30-2020,3686,47,-1,123,0,-1
05-31-2020,3807,47,-1,121,0,-1
06-01-2020,3930,47,-1,123,0,-1
06-02-2020,4013,47,-1,83,0,-1
06-03-2020,4100,47,-1,87,0,-1
06-04-2020,4191,48,-1,91,1,-1
06-05-2020,4289,48,-1,98,0,-1
06-06-2020,4370,48,-1,81,0,-1
06-07-2020,4453,48,-1,83,0,-1
06-08-2020,4529,48,-1,76,0,-1
06-09-2020,4609,48,-1,80,0,-1
06-10-2020,4763,48,2947,154,0,-1
06-11-2020,4834,49,3062,71,1,115
06-12-2020,4902,49,3158,68,0,96
06-13-2020,4971,50,3288,69,1,130
06-14-2020,4971,50,3288,0,0,0
06-15-2020,5097,50,3503,126,0,215
06-16-2020,5160,50,3624,63,0,121
06-17-2020,5221,51,3700,61,1,76
06-18-2020,5279,51,3762,58,0,62
06-19-2020,5338,51,3830,59,0,68
06-20-2020,5399,52,3894,61,1,64
06-21-2020,5457,52,3995,58,0,101
06-22-2020,5513,52,4039,56,0,44
06-23-2020,5567,52,4109,54,0,70
06-24-2020,5630,52,4194,63,0,85
06-25-2020,5691,52,4267,61,0,73
06-26-2020,5747,52,4331,56,0,64
06-27-2020,5747,52,4331,0,0,0
06-28-2020,5849,52,4448,102,0,117
06-29-2020,5900,52,4506,51,0,58
06-30-2020,5900,52,4506,0,0,0
07-01-2020,5954,52,4568,54,0,62
07-02-2020,6005,52,4568,51,0,0
07-03-2020,6108,52,4762,103,0,194
07-04-2020,6159,52,4809,51,0,47
07-05-2020,6213,53,4858,54,1,49
07-06-2020,6262,53,4914,49,0,56
07-07-2020,6262,53,4914,0,0,0
07-08-2020,6364,54,5011,102,1,97
07-09-2020,6364,54,5011,0,0,0
07-10-2020,6457,55,5115,93,1,104
07-11-2020,6457,55,5115,0,0,0
07-12-2020,6505,55,5115,48,0,0
07-13-2020,6551,55,5278,46,0,163
07-14-2020,6595,55,5278,44,0,0
07-15-2020,6643,56,5278,48,1,0
07-16-2020,6695,56,5278,52,0,0
07-17-2020,6741,56,5431,46,0,153
07-18-2020,6834,57,5529,93,1,98
07-19-2020,6834,57,5529,0,0,0
07-20-2020,6878,57,5529,44,0,0
07-21-2020,6921,57,5529,43,0,0
07-22-2020,7015,58,5741,94,1,212
07-23-2020,7060,58,5793,45,0,52
07-24-2020,7104,58,5851,44,0,58
07-25-2020,7150,59,5906,46,1,55
07-26-2020,7192,59,5970,42,0,64
07-27-2020,7235,60,6028,43,1,58
07-28-2020,7276,60,6065,41,0,37
07-29-2020,7320,60,6103,44,0,38
07-30-2020,7366,60,6151,46,0,48
07-31-2020,7409,60,6193,43,0,42
08-01-2020,7451,60,6233,42,0,40
08-02-2020,7495,61,6276,44,1,43
08-03-2020,7538,61,6317,43,0,41
08-04-2020,7583,61,6356,45,0,39
08-05-2020,7625,61,6399,42,0,43
08-06-2020,7665,62,6443,40,1,44
08-07-2020,7706,62,6484,41,0,41
08-08-2020,7745,62,6528,39,0,44
08-09-2020,7785,62,6573,40,0,45
08-10-2020,7827,62,6614,42,0,41
08-11-2020,7871,63,6653,44,1,39
08-12-2020,7912,63,6696,41,0,43
08-13-2020,7912,63,6696,0,0,0
08-14-2020,7950,63,6696,38,0,0
08-15-2020,7989,63,6696,39,0,0
08-16-2020,8065,63,6855,76,0,159
08-17-2020,8065,64,6855,0,1,0
08-18-2020,8131,65,6935,66,1,80
08-19-2020,8131,65,6935,0,0,0
08-20-2020,8166,65,6935,35,0,0
08-21-2020,8241,66,7040,75,1,105
08-22-2020,8241,66,7040,0,0,0
08-23-2020,8277,66,7040,36,0,0
08-24-2020,8311,66,7040,34,0,0
08-25-2020,8346,67,7040,35,1,0
