date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-05-2020,1,0,0,1,0,0
03-06-2020,1,0,0,0,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,3,0,0,2,0,0
03-09-2020,4,0,0,1,0,0
03-10-2020,7,0,0,3,0,0
03-11-2020,9,0,0,2,0,0
03-12-2020,18,0,0,9,0,0
03-13-2020,26,0,0,8,0,0
03-14-2020,32,0,0,6,0,0
03-15-2020,39,0,0,7,0,0
03-16-2020,52,0,0,13,0,0
03-17-2020,78,0,0,26,0,0
03-18-2020,100,0,0,22,0,0
03-19-2020,155,0,0,55,0,0
03-20-2020,263,1,0,108,1,0
03-21-2020,371,1,0,108,0,0
03-22-2020,505,2,0,134,1,0
03-23-2020,615,2,0,110,0,0
03-24-2020,780,2,0,165,0,0
03-25-2020,917,3,0,137,1,0
03-26-2020,1099,3,0,182,0,0
03-27-2020,1321,6,0,222,3,0
03-28-2020,1512,7,0,191,1,0
03-29-2020,1818,12,0,306,5,0
03-30-2020,1937,14,0,119,2,0
03-31-2020,2391,23,0,454,9,0
04-01-2020,2933,24,0,542,1,0
04-02-2020,2933,36,0,0,12,0
04-03-2020,3068,44,0,135,8,0
04-04-2020,3322,50,0,254,6,0
04-05-2020,3633,53,0,311,3,0
04-06-2020,3802,65,0,169,12,0
04-07-2020,4139,72,356,337,7,356
04-08-2020,4363,80,627,224,8,271
04-09-2020,4634,94,627,271,14,0
04-10-2020,4891,98,1145,257,4,518
04-11-2020,5132,106,1386,241,8,241
04-12-2020,5508,106,1504,376,0,118
04-13-2020,5610,109,1671,102,3,167
04-14-2020,5827,124,1969,217,15,298
04-15-2020,6288,135,2196,461,11,227
04-16-2020,6288,141,2196,0,6,0
04-17-2020,6589,142,3018,301,1,822
04-18-2020,6762,146,3234,173,4,216
04-19-2020,7070,148,3344,308,2,110
04-20-2020,7238,152,3575,168,4,231
04-21-2020,7394,157,3828,156,5,253
04-22-2020,7842,166,4012,448,9,184
04-23-2020,8266,171,4192,424,5,180
04-24-2020,8728,169,4402,462,-2,210
04-25-2020,9189,177,4499,461,8,97
04-26-2020,9667,181,4558,478,4,59
04-27-2020,9918,184,4755,251,3,197
04-28-2020,10052,188,4924,134,4,169
04-29-2020,10366,195,5143,314,7,219
04-30-2020,10735,199,5339,369,4,196
05-01-2020,11891,204,5547,1156,5,208
05-02-2020,12661,209,5718,770,5,171
05-03-2020,13177,210,5814,516,1,96
05-04-2020,13571,219,6081,394,9,267
05-05-2020,13690,226,6356,119,7,275
05-06-2020,13938,239,6587,248,13,231
05-07-2020,14096,238,6793,158,-1,206
05-08-2020,14441,242,7017,345,4,224
05-09-2020,14768,242,7374,327,0,357
05-10-2020,14985,243,7533,217,1,159
05-11-2020,15544,251,8043,559,8,510
05-12-2020,16111,266,8340,567,15,297
05-13-2020,16370,273,8630,259,7,290
05-14-2020,16699,287,8888,329,14,258
05-15-2020,16960,290,9289,261,3,401
05-16-2020,17263,295,9534,303,5,245
05-17-2020,17359,298,9651,96,3,117
05-18-2020,18011,301,9892,652,3,241
05-19-2020,18412,305,10977,401,4,1085
05-20-2020,18412,305,10977,0,0,0
05-21-2020,18961,313,12192,549,8,1215
05-22-2020,19394,315,12566,433,2,374
05-23-2020,19785,329,12743,391,14,177
05-24-2020,20111,336,12835,326,7,92
05-25-2020,20535,338,13068,424,2,233
05-26-2020,20895,343,13334,360,5,266
05-27-2020,21285,353,13903,390,10,569
05-28-2020,21679,356,14632,394,3,729
05-29-2020,22063,361,14958,384,5,326
05-30-2020,22566,364,15193,503,3,235
05-31-2020,22566,364,15193,0,0,0
06-01-2020,22566,364,15193,0,0,0
06-02-2020,24342,381,15913,1776,17,720
06-03-2020,24833,388,16310,491,7,397
06-04-2020,25190,401,16628,357,13,318
06-05-2020,25664,408,16904,474,7,276
06-06-2020,26177,417,17102,513,9,198
06-07-2020,26493,418,17196,316,1,94
06-08-2020,27005,421,17560,512,3,364
06-09-2020,27575,435,18017,570,14,457
06-10-2020,27930,437,18505,355,2,488
06-11-2020,28340,441,18922,410,4,417
06-12-2020,29118,466,19418,778,25,496
06-13-2020,29549,472,19726,431,6,308
06-14-2020,30343,474,19891,794,2,165
06-15-2020,31004,482,20059,661,8,168
06-16-2020,31758,492,20694,754,10,635
06-17-2020,32116,498,21242,358,6,548
06-18-2020,32770,508,21904,654,10,662
06-19-2020,33862,514,22475,1092,6,571
06-20-2020,34336,523,22801,474,9,326
06-21-2020,34872,525,23028,536,2,227
06-22-2020,35555,531,23568,683,6,540
06-23-2020,36370,542,24062,815,11,494
06-24-2020,37216,556,24674,846,14,612
06-25-2020,38034,567,25283,818,11,609
06-26-2020,39249,578,25753,1215,11,470
06-27-2020,40038,587,26170,789,9,417
06-28-2020,40038,587,26170,0,0,0
06-29-2020,41880,594,26960,1842,7,790
06-30-2020,43065,606,27589,1185,12,629
07-01-2020,44723,609,28259,1658,3,670
07-02-2020,46244,620,28899,1521,11,640
07-03-2020,48713,633,29591,2469,13,692
07-04-2020,49995,637,30032,1282,4,441
07-05-2020,51149,646,30239,1154,9,207
07-06-2020,51860,654,30982,711,8,743
07-07-2020,53519,667,31827,1659,13,845
07-08-2020,55755,686,32706,2236,19,879
07-09-2020,57594,711,33609,1839,25,903
07-10-2020,59306,723,34705,1712,12,1096
07-11-2020,60805,738,35407,1499,15,702
07-12-2020,61758,741,35821,953,3,414
07-13-2020,64632,747,36890,2874,6,1069
07-14-2020,66791,767,38279,2159,20,1389
07-15-2020,69061,783,39861,2270,16,1582
07-16-2020,71540,797,41254,2479,14,1393
07-17-2020,73819,815,42737,2279,18,1483
07-18-2020,76336,838,43710,2517,23,973
07-19-2020,78115,843,44324,1779,5,614
07-20-2020,79758,847,45976,1643,4,1652
07-21-2020,81944,872,47853,2186,25,1877
07-22-2020,84418,888,49748,2474,16,1895
07-23-2020,86987,925,51662,2569,37,1914
07-24-2020,89078,938,52983,2091,13,1321
07-25-2020,90797,962,53810,1719,24,827
07-26-2020,93936,967,54735,3139,5,925
07-27-2020,96489,980,57239,2553,13,2504
07-28-2020,99045,997,59761,2556,17,2522
07-29-2020,100822,1021,62129,1777,24,2368
07-30-2020,102876,1034,64234,2054,13,2105
07-31-2020,105960,1060,66358,3084,26,2124
08-01-2020,108184,1068,67651,2224,8,1293
08-02-2020,109628,1074,68471,1444,6,820
08-03-2020,110645,1093,70878,1017,19,2407
08-04-2020,112441,1118,73259,1796,25,2381
08-05-2020,114098,1145,75551,1657,27,2292
08-06-2020,116350,1187,77558,2252,42,2007
08-07-2020,118783,1207,79357,2433,20,1799
08-08-2020,120584,1216,80345,1801,9,988
08-09-2020,122712,1224,80999,2128,8,654
08-10-2020,123914,1235,83170,1202,11,2171
08-11-2020,124915,1272,85313,1001,37,2143
08-12-2020,126393,1293,87290,1478,21,1977
08-13-2020,128511,1318,89151,2118,25,1861
08-14-2020,130458,1328,91323,1947,10,2172
08-15-2020,131760,1347,92131,1302,19,808
