date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-21-2020,1,0,-1,1,0,-1
03-22-2020,1,0,-1,0,0,-1
03-23-2020,1,0,-1,0,0,-1
03-24-2020,9,0,-1,8,0,-1
03-25-2020,9,0,-1,0,0,-1
03-26-2020,14,0,-1,5,0,-1
03-27-2020,14,0,-1,0,0,-1
03-28-2020,14,0,-1,0,0,-1
03-29-2020,30,0,-1,16,0,-1
03-30-2020,33,0,-1,3,0,-1
03-31-2020,33,0,-1,0,0,-1
04-01-2020,33,0,-1,0,0,-1
04-02-2020,44,0,-1,11,0,-1
04-03-2020,45,0,-1,1,0,-1
04-04-2020,48,0,-1,3,0,-1
04-05-2020,48,0,-1,0,0,-1
04-06-2020,48,0,-1,0,0,-1
04-07-2020,52,0,-1,4,0,-1
04-08-2020,52,0,-1,0,0,-1
04-09-2020,53,0,-1,1,0,-1
04-10-2020,53,0,-1,0,0,-1
04-11-2020,53,0,-1,0,0,-1
04-12-2020,53,0,-1,0,0,-1
04-13-2020,54,0,-1,1,0,-1
04-14-2020,54,0,-1,0,0,-1
04-15-2020,54,0,-1,0,0,-1
04-16-2020,55,0,-1,1,0,-1
04-17-2020,55,0,-1,0,0,-1
04-18-2020,55,0,-1,0,0,-1
04-19-2020,55,0,-1,0,0,-1
04-20-2020,55,0,-1,0,0,-1
04-21-2020,55,0,-1,0,0,-1
04-22-2020,56,0,-1,1,0,-1
04-23-2020,61,0,-1,5,0,-1
04-24-2020,63,0,-1,2,0,-1
04-25-2020,75,0,-1,12,0,-1
04-26-2020,75,0,-1,0,0,-1
04-27-2020,75,0,-1,0,0,-1
04-28-2020,79,0,-1,4,0,-1
04-29-2020,79,0,-1,0,0,-1
04-30-2020,79,0,-1,0,0,-1
05-01-2020,81,0,-1,2,0,-1
05-02-2020,83,0,-1,2,0,-1
05-03-2020,85,0,-1,2,0,-1
05-04-2020,88,0,-1,3,0,-1
05-05-2020,89,0,-1,1,0,-1
05-06-2020,97,0,-1,8,0,-1
05-07-2020,98,0,-1,1,0,-1
05-08-2020,101,0,-1,3,0,-1
05-09-2020,101,0,-1,0,0,-1
05-10-2020,116,0,-1,15,0,-1
05-11-2020,121,0,-1,5,0,-1
05-12-2020,122,0,-1,1,0,-1
05-13-2020,126,0,-1,4,0,-1
05-14-2020,139,0,-1,13,0,-1
05-15-2020,160,0,-1,21,0,-1
05-16-2020,203,0,-1,43,0,-1
05-17-2020,227,0,-1,24,0,-1
