date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-29-2020,4,0,-1,4,0,-1
01-30-2020,4,0,-1,0,0,-1
01-31-2020,4,0,-1,0,0,-1
02-01-2020,5,0,-1,1,0,-1
02-02-2020,5,0,-1,0,0,-1
02-03-2020,5,0,-1,0,0,-1
02-04-2020,5,0,-1,0,0,-1
02-05-2020,5,0,-1,0,0,-1
02-06-2020,5,0,-1,0,0,-1
02-07-2020,5,0,-1,0,0,-1
02-08-2020,7,0,-1,2,0,-1
02-09-2020,7,0,-1,0,0,-1
02-10-2020,8,0,-1,1,0,-1
02-11-2020,8,0,-1,0,0,-1
02-12-2020,8,0,-1,0,0,-1
02-13-2020,8,0,-1,0,0,-1
02-14-2020,8,0,-1,0,0,-1
02-15-2020,8,0,-1,0,0,-1
02-16-2020,9,0,-1,1,0,-1
02-17-2020,9,0,-1,0,0,-1
02-18-2020,9,0,-1,0,0,-1
02-19-2020,9,0,-1,0,0,-1
02-20-2020,9,0,-1,0,0,-1
02-21-2020,11,0,-1,2,0,-1
02-22-2020,13,0,-1,2,0,-1
02-23-2020,13,0,-1,0,0,-1
02-24-2020,13,0,-1,0,0,-1
02-25-2020,13,0,-1,0,0,-1
02-26-2020,13,0,-1,0,0,-1
02-27-2020,19,0,-1,6,0,-1
02-28-2020,19,0,-1,0,0,-1
02-29-2020,19,0,-1,0,0,-1
03-01-2020,21,0,-1,2,0,-1
03-02-2020,21,0,-1,0,0,-1
03-03-2020,27,0,-1,6,0,-1
03-04-2020,27,0,-1,0,0,-1
03-05-2020,27,0,-1,0,0,-1
03-06-2020,45,0,-1,18,0,-1
03-07-2020,45,0,-1,0,0,-1
03-08-2020,45,0,-1,0,0,-1
03-09-2020,59,0,-1,14,0,-1
03-10-2020,74,0,-1,15,0,-1
03-11-2020,74,0,-1,0,0,-1
03-12-2020,85,0,-1,11,0,-1
03-13-2020,85,0,-1,0,0,-1
03-14-2020,85,0,-1,0,0,-1
03-15-2020,98,0,-1,13,0,-1
03-16-2020,98,0,-1,0,0,-1
03-17-2020,98,0,-1,0,0,-1
03-18-2020,113,0,-1,15,0,-1
03-19-2020,140,0,-1,27,0,-1
