date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-31-2020,2,0,-1,2,0,-1
02-01-2020,2,0,-1,0,0,-1
02-02-2020,2,0,-1,0,0,-1
02-03-2020,2,0,-1,0,0,-1
02-04-2020,2,0,-1,0,0,-1
02-05-2020,2,0,-1,0,0,-1
02-06-2020,3,0,-1,1,0,-1
02-07-2020,3,0,-1,0,0,-1
02-08-2020,3,0,-1,0,0,-1
02-09-2020,4,0,-1,1,0,-1
02-10-2020,8,0,-1,4,0,-1
02-11-2020,8,0,-1,0,0,-1
02-12-2020,9,0,-1,1,0,-1
02-13-2020,9,0,-1,0,0,-1
02-14-2020,9,0,-1,0,0,-1
02-15-2020,9,0,-1,0,0,-1
02-16-2020,9,0,-1,0,0,-1
02-17-2020,9,0,-1,0,0,-1
02-18-2020,9,0,-1,0,0,-1
02-19-2020,9,0,-1,0,0,-1
02-20-2020,9,0,-1,0,0,-1
02-21-2020,9,0,-1,0,0,-1
02-22-2020,9,0,-1,0,0,-1
02-23-2020,13,0,-1,4,0,-1
02-24-2020,13,0,-1,0,0,-1
02-25-2020,13,0,-1,0,0,-1
02-26-2020,13,0,-1,0,0,-1
02-27-2020,16,0,-1,3,0,-1
02-28-2020,20,0,-1,4,0,-1
02-29-2020,23,0,-1,3,0,-1
03-01-2020,36,0,-1,13,0,-1
03-02-2020,39,0,-1,3,0,-1
03-03-2020,51,0,-1,12,0,-1
03-04-2020,89,0,-1,38,0,-1
03-05-2020,118,0,-1,29,0,-1
03-06-2020,167,1,-1,49,1,-1
03-07-2020,210,2,-1,43,1,-1
03-08-2020,277,2,-1,67,0,-1
03-09-2020,323,3,-1,46,1,-1
03-10-2020,373,6,-1,50,3,-1
03-11-2020,460,6,-1,87,0,-1
03-12-2020,594,8,-1,134,2,-1
03-13-2020,802,10,-1,208,2,-1
03-14-2020,1144,21,-1,342,11,-1
03-15-2020,1395,35,-1,251,14,-1
03-16-2020,1547,55,-1,152,20,-1
03-17-2020,1954,60,-1,407,5,-1
03-18-2020,2630,103,-1,676,43,-1
03-19-2020,3277,144,-1,647,41,-1
03-20-2020,3983,177,-1,706,33,-1
03-21-2020,5018,233,-1,1035,56,-1
03-22-2020,5018,233,-1,0,0,-1
03-23-2020,5687,281,-1,669,48,-1
03-24-2020,6654,335,-1,967,54,-1
03-25-2020,8081,422,-1,1427,87,-1
03-26-2020,9533,463,-1,1452,41,-1
03-27-2020,11662,578,-1,2129,115,-1
03-28-2020,14547,759,-1,2885,181,-1
03-29-2020,17093,1019,-1,2546,260,-1
03-30-2020,19526,1228,-1,2433,209,-1
03-31-2020,22145,1408,-1,2619,180,-1
04-01-2020,25154,1789,-1,3009,381,-1
04-02-2020,29478,2532,-1,4324,743,-1
04-03-2020,33722,2921,-1,4244,389,-1
04-04-2020,38172,3605,-1,4450,684,-1
04-05-2020,41907,4313,-1,3735,708,-1
04-06-2020,47810,4934,-1,5903,621,-1
04-07-2020,51612,5373,-1,3802,439,-1
04-08-2020,55246,6159,-1,3634,786,-1
04-09-2020,60737,7097,-1,5491,938,-1
04-10-2020,65081,7978,-1,4344,881,-1
04-11-2020,70276,8958,-1,5195,980,-1
04-12-2020,78995,9875,-1,8719,917,-1
04-13-2020,84283,10612,-1,5288,737,-1
04-14-2020,88625,11329,-1,4342,717,-1
04-15-2020,93877,12107,-1,5252,778,-1
04-16-2020,98480,12868,-1,4603,761,-1
04-17-2020,103097,13729,-1,4617,861,-1
04-18-2020,108696,14576,-1,5599,847,-1
04-19-2020,114221,15464,-1,5525,888,-1
04-20-2020,120071,16060,-1,5850,596,-1
04-21-2020,124747,16509,-1,4676,449,-1
04-22-2020,129048,17337,-1,4301,828,-1
04-23-2020,133499,18100,-1,4451,763,-1
04-24-2020,138082,18738,-1,4583,638,-1
04-25-2020,143468,19506,-1,5386,768,-1
04-26-2020,148381,20319,-1,4913,813,-1
04-27-2020,152844,20732,-1,4463,413,-1
04-28-2020,157153,21092,-1,4309,360,-1
04-29-2020,161149,21678,-1,3996,586,-1
04-30-2020,165225,26097,-1,4076,4419,-1
05-01-2020,171257,26771,-1,6032,674,-1
05-02-2020,177458,27510,-1,6201,739,-1
05-03-2020,182264,28131,-1,4806,621,-1
05-04-2020,186603,28446,-1,4339,315,-1
05-05-2020,190588,28734,-1,3985,288,-1
05-06-2020,194994,29427,-1,4406,693,-1
05-07-2020,201205,30076,-1,6211,649,-1
05-08-2020,206719,30615,-1,5514,539,-1
05-09-2020,211368,31241,-1,4649,626,-1
05-10-2020,215264,31587,-1,3896,346,-1
05-11-2020,219187,31855,-1,3923,268,-1
05-12-2020,223064,32065,-1,3877,210,-1
05-13-2020,226467,32692,-1,3403,627,-1
05-14-2020,229709,33186,-1,3242,494,-1
05-15-2020,233155,33614,-1,3446,428,-1
05-16-2020,236715,33998,-1,3560,384,-1
05-17-2020,240165,34466,-1,3450,468,-1
05-18-2020,243699,34636,-1,3534,170,-1
05-19-2020,246410,34796,-1,2711,160,-1
05-20-2020,248822,35341,-1,2412,545,-1
05-21-2020,248297,35704,-1,-525,363,-1
05-22-2020,250912,36042,-1,2615,338,-1
05-23-2020,254199,36393,-1,3287,351,-1
05-24-2020,257158,36675,-1,2959,282,-1
05-25-2020,259563,36793,-1,2405,118,-1
05-26-2020,261188,36914,-1,1625,121,-1
05-27-2020,265231,37048,-1,4043,134,-1
05-28-2020,267244,37460,-1,2013,412,-1
05-29-2020,269131,37837,-1,1887,377,-1
05-30-2020,271226,38161,-1,2095,324,-1
05-31-2020,272830,38376,-1,1604,215,-1
06-01-2020,274766,38489,-1,1936,113,-1
06-02-2020,276336,39045,-1,1570,556,-1
06-03-2020,277989,39369,-1,1653,324,-1
06-04-2020,279860,39728,-1,1871,359,-1
06-05-2020,281665,39904,-1,1805,176,-1
06-06-2020,283315,40261,-1,1650,357,-1
06-07-2020,284872,40465,-1,1557,204,-1
06-08-2020,286198,40542,-1,1326,77,-1
06-09-2020,287403,40597,-1,1205,55,-1
06-10-2020,290143,41128,-1,2740,531,-1
06-11-2020,291409,41279,-1,1266,151,-1
06-12-2020,292950,41481,-1,1541,202,-1
06-13-2020,294375,41662,-1,1425,181,-1
06-14-2020,295889,41698,-1,1514,36,-1
06-15-2020,296857,41736,-1,968,38,-1
06-16-2020,298136,41969,-1,1279,233,-1
06-17-2020,299251,42153,-1,1115,184,-1
06-18-2020,300469,42288,-1,1218,135,-1
06-19-2020,301815,42461,-1,1346,173,-1
06-20-2020,303110,42589,-1,1295,128,-1
06-21-2020,304331,42632,-1,1221,43,-1
06-22-2020,305289,42647,-1,958,15,-1
06-23-2020,306210,42927,-1,921,280,-1
06-24-2020,306862,43081,-1,652,154,-1
06-25-2020,307980,43230,-1,1118,149,-1
06-26-2020,309360,43414,-1,1380,184,-1
06-27-2020,310250,43514,-1,890,100,-1
06-28-2020,311151,43550,-1,901,36,-1
06-29-2020,311965,43575,-1,814,25,-1
06-30-2020,312654,43730,-1,689,155,-1
07-01-2020,313483,43906,-1,829,176,-1
07-02-2020,313487,43995,-1,4,89,-1
07-03-2020,284276,44131,-1,-29211,136,-1
07-04-2020,284900,44198,-1,624,67,-1
07-05-2020,285416,44220,-1,516,22,-1
07-06-2020,285768,44236,-1,352,16,-1
07-07-2020,286349,44391,-1,581,155,-1
07-08-2020,286979,44517,-1,630,126,-1
07-09-2020,287621,44602,-1,642,85,-1
07-10-2020,288133,44650,-1,512,48,-1
07-11-2020,288953,44798,-1,820,148,-1
07-12-2020,289603,44819,-1,650,21,-1
07-13-2020,290133,44830,-1,530,11,-1
07-14-2020,291373,44968,-1,1240,138,-1
07-15-2020,291911,45053,-1,538,85,-1
07-16-2020,292552,45119,-1,641,66,-1
07-17-2020,293239,45318,-1,687,199,-1
07-18-2020,294066,45318,-1,827,0,-1
07-19-2020,294792,45318,-1,726,0,-1
07-20-2020,295372,45318,-1,580,0,-1
07-21-2020,295817,45318,-1,445,0,-1
07-22-2020,296377,45422,-1,560,104,-1
07-23-2020,297146,45554,-1,769,132,-1
07-24-2020,297914,45677,-1,768,123,-1
07-25-2020,298681,45738,-1,767,61,-1
07-26-2020,299426,45752,-1,745,14,-1
07-27-2020,300111,45759,-1,685,7,-1
07-28-2020,300692,45878,-1,581,119,-1
07-29-2020,301455,45961,-1,763,83,-1
07-30-2020,302301,45999,-1,846,38,-1
07-31-2020,303181,46119,-1,880,120,-1
08-01-2020,303952,46193,-1,771,74,-1
08-02-2020,304695,46201,-1,743,8,-1
08-03-2020,305623,46210,-1,928,9,-1
08-04-2020,306293,46299,-1,670,89,-1
08-05-2020,307184,46364,-1,891,65,-1
08-06-2020,308134,46413,-1,950,49,-1
08-07-2020,309005,46511,-1,871,98,-1
08-08-2020,309763,46566,-1,758,55,-1
08-09-2020,310825,46574,-1,1062,8,-1
08-10-2020,311641,46574,-1,816,0,-1
08-11-2020,312789,46526,-1,1148,-48,-1
08-12-2020,313798,46526,-1,1009,0,-1
08-13-2020,313802,41329,-1,4,-5197,-1
08-14-2020,316367,41358,-1,2565,29,-1
08-15-2020,317379,41361,-1,1012,3,-1
08-16-2020,318484,41366,-1,1105,5,-1
08-17-2020,319197,41369,-1,713,3,-1
08-18-2020,320286,41381,-1,1089,12,-1
08-19-2020,321098,41397,-1,812,16,-1
08-20-2020,322280,41403,-1,1182,6,-1
08-21-2020,323313,41405,-1,1033,2,-1
08-22-2020,324601,41423,-1,1288,18,-1
08-23-2020,325642,41429,-1,1041,6,-1
08-24-2020,326614,41433,-1,972,4,-1
08-25-2020,326618,41433,-1,4,0,-1
