date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-08-2020,1,0,0,1,0,0
03-09-2020,1,0,0,0,0,0
03-10-2020,1,0,0,0,0,0
03-11-2020,2,0,0,1,0,0
03-12-2020,2,0,0,0,0,0
03-13-2020,2,0,0,0,0,0
03-14-2020,5,0,0,3,0,0
03-15-2020,8,0,0,3,0,0
03-16-2020,12,0,0,4,0,0
03-17-2020,17,0,0,5,0,0
03-18-2020,19,0,0,2,0,0
03-19-2020,22,2,0,3,2,0
03-20-2020,29,2,0,7,0,0
03-21-2020,49,2,0,20,0,0
03-22-2020,52,2,0,3,0,0
03-23-2020,75,5,0,23,3,0
03-24-2020,95,7,0,20,2,0
03-25-2020,125,8,0,30,1,0
03-26-2020,158,9,0,33,1,0
03-27-2020,184,10,0,26,1,0
03-28-2020,211,12,0,27,2,0
03-29-2020,235,12,0,24,0,0
03-30-2020,256,12,0,21,0,0
03-31-2020,293,13,0,37,1,0
04-01-2020,321,16,0,28,3,0
04-02-2020,338,17,0,17,1,0
04-03-2020,389,17,0,51,0,0
04-04-2020,461,20,0,72,3,0
04-05-2020,512,22,0,51,2,0
04-06-2020,543,23,0,31,1,0
04-07-2020,575,23,0,32,0,0
04-08-2020,605,23,0,30,0,0
04-09-2020,628,23,0,23,0,0
04-10-2020,679,24,0,51,1,0
04-11-2020,711,25,0,32,1,0
04-12-2020,727,27,0,16,2,0
04-13-2020,748,28,0,21,1,0
04-14-2020,748,29,0,0,1,0
04-15-2020,759,30,0,11,1,0
04-16-2020,768,35,0,9,5,0
04-17-2020,779,35,0,11,0,0
04-18-2020,803,38,0,24,3,0
04-19-2020,813,38,0,10,0,0
04-20-2020,816,38,0,3,0,0
04-21-2020,818,40,0,2,2,0
04-22-2020,823,40,0,5,0,0
04-23-2020,825,43,0,2,3,0
04-24-2020,827,44,0,2,1,0
04-25-2020,843,46,0,16,2,0
04-26-2020,851,46,0,8,0,0
04-27-2020,855,47,0,4,1,0
04-28-2020,862,47,0,7,0,0
04-29-2020,862,47,0,0,0,0
04-30-2020,866,49,0,4,2,0
05-01-2020,879,50,0,13,1,0
05-02-2020,886,51,0,7,1,0
05-03-2020,897,53,0,11,2,0
05-04-2020,902,52,0,5,-1,0
05-05-2020,907,52,0,5,0,0
05-06-2020,908,52,0,1,0,0
05-07-2020,916,53,0,8,1,0
05-08-2020,919,53,737,3,0,737
