date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
04-10-2020,1,0,-1,1,0,-1
04-11-2020,1,0,-1,0,0,-1
04-12-2020,1,0,-1,0,0,-1
04-13-2020,1,0,-1,0,0,-1
04-14-2020,1,0,-1,0,0,-1
04-15-2020,1,0,-1,0,0,-1
04-16-2020,1,0,-1,0,0,-1
04-17-2020,1,0,-1,0,0,-1
04-18-2020,1,0,-1,0,0,-1
04-19-2020,1,0,-1,0,0,-1
04-20-2020,1,0,-1,0,0,-1
04-21-2020,1,0,-1,0,0,-1
04-22-2020,1,0,-1,0,0,-1
04-23-2020,1,0,-1,0,0,-1
04-24-2020,1,0,-1,0,0,-1
04-25-2020,1,0,-1,0,0,-1
04-26-2020,1,0,-1,0,0,-1
04-27-2020,1,0,-1,0,0,-1
04-28-2020,1,0,-1,0,0,-1
04-29-2020,6,0,-1,5,0,-1
04-30-2020,6,0,-1,0,0,-1
05-01-2020,6,2,-1,0,2,-1
05-02-2020,7,2,-1,1,0,-1
05-03-2020,10,2,-1,3,0,-1
05-04-2020,10,2,-1,0,0,-1
05-05-2020,21,3,-1,11,1,-1
05-06-2020,26,5,-1,5,2,-1
05-07-2020,26,6,-1,0,1,-1
05-08-2020,35,7,-1,9,1,-1
05-09-2020,36,8,-1,1,1,-1
05-10-2020,36,8,-1,0,0,-1
05-11-2020,53,9,-1,17,1,-1
05-12-2020,67,11,-1,14,2,-1
05-13-2020,72,13,-1,5,2,-1
05-14-2020,87,13,-1,15,0,-1
05-15-2020,108,16,-1,21,3,-1
05-16-2020,124,19,-1,16,3,-1
05-17-2020,126,19,-1,2,0,-1
05-18-2020,132,21,-1,6,2,-1
05-19-2020,134,21,-1,2,0,-1
05-20-2020,171,29,-1,37,8,-1
05-21-2020,184,30,-1,13,1,-1
05-22-2020,197,33,-1,13,3,-1
05-23-2020,209,34,-1,12,1,-1
05-24-2020,216,40,-1,7,6,-1
05-25-2020,226,43,-1,10,3,-1
05-26-2020,237,45,-1,11,2,-1
05-27-2020,253,50,-1,16,5,-1
05-28-2020,260,54,-1,7,4,-1
05-29-2020,282,61,-1,22,7,-1
05-30-2020,287,66,-1,5,5,-1
05-31-2020,314,78,-1,27,12,-1
06-01-2020,327,81,-1,13,3,-1
06-02-2020,358,85,-1,31,4,-1
06-03-2020,403,88,-1,45,3,-1
06-04-2020,423,96,-1,20,8,-1
06-05-2020,457,104,-1,34,8,-1
06-06-2020,473,112,-1,16,8,-1
06-07-2020,486,112,-1,13,0,-1
06-08-2020,488,113,-1,2,1,-1
06-09-2020,500,113,-1,12,0,-1
06-10-2020,560,129,23,60,16,-1
06-11-2020,591,136,23,31,7,0
06-12-2020,632,139,28,41,3,5
06-13-2020,705,160,39,73,21,11
06-14-2020,709,161,39,4,1,0
06-15-2020,732,165,39,23,4,0
06-16-2020,885,214,91,153,49,52
06-17-2020,902,244,271,17,30,180
06-18-2020,909,248,273,7,4,2
06-19-2020,919,251,288,10,3,15
06-20-2020,923,254,328,4,3,40
06-21-2020,941,256,347,18,2,19
06-22-2020,967,257,350,26,1,3
06-23-2020,992,261,356,25,4,6
06-24-2020,1015,274,379,23,13,23
06-25-2020,1076,288,386,61,14,7
06-26-2020,1089,293,402,13,5,16
06-27-2020,1093,294,402,4,1,0
06-28-2020,1118,302,430,25,8,28
06-29-2020,1128,304,42,10,2,-388
06-30-2020,1132,305,42,4,1,0
07-01-2020,1190,318,504,58,13,462
07-02-2020,1194,319,504,4,1,0
07-03-2020,1240,335,536,46,16,32
07-04-2020,1244,336,536,4,1,0
07-05-2020,1265,338,552,21,2,16
07-06-2020,1290,345,572,25,7,20
07-07-2020,1294,346,572,4,1,0
07-08-2020,1318,351,595,24,5,23
07-09-2020,1328,352,595,10,1,0
07-10-2020,1380,364,630,52,12,35
07-11-2020,1380,364,630,0,0,0
07-12-2020,1389,365,630,9,1,0
07-13-2020,1469,418,630,80,53,0
07-14-2020,1502,425,630,33,7,0
07-15-2020,1520,430,630,18,5,0
07-16-2020,1530,434,694,10,4,64
07-17-2020,1556,439,694,26,5,0
07-18-2020,1581,443,701,25,4,7
07-19-2020,1585,444,701,4,1,0
07-20-2020,1610,445,701,25,1,0
07-21-2020,1623,448,701,13,3,0
07-22-2020,1640,458,751,17,10,50
07-23-2020,1644,459,751,4,1,0
07-24-2020,1658,462,762,14,3,11
07-25-2020,1678,462,762,20,0,0
07-26-2020,1681,479,797,3,17,35
07-27-2020,1691,483,833,10,4,36
07-28-2020,1703,484,840,12,1,7
07-29-2020,1711,485,849,8,1,9
07-30-2020,1729,487,856,18,2,7
07-31-2020,1730,493,862,1,6,6
08-01-2020,1732,494,862,2,1,0
08-02-2020,1734,497,862,2,3,0
08-03-2020,1738,499,863,4,2,1
08-04-2020,1760,506,863,22,7,0
08-05-2020,1764,508,894,4,2,31
08-06-2020,1768,509,898,4,1,4
08-07-2020,1796,512,907,28,3,9
08-08-2020,1800,513,910,4,1,3
08-09-2020,1804,515,913,4,2,3
08-10-2020,1831,518,915,27,3,2
08-11-2020,1831,523,919,0,5,4
08-12-2020,1841,528,937,10,5,18
08-13-2020,1845,529,937,4,1,0
08-14-2020,1851,529,937,6,0,0
08-15-2020,1862,529,937,11,0,0
08-16-2020,1869,530,1013,7,1,76
08-17-2020,1873,531,1013,4,1,0
08-18-2020,1889,537,1052,16,6,39
08-19-2020,1893,538,1052,4,1,0
08-20-2020,1896,540,1052,3,2,0
08-21-2020,1903,542,1058,7,2,6
08-22-2020,1910,543,1058,7,1,0
08-23-2020,1911,547,1066,1,4,8
08-24-2020,1915,553,1086,4,6,20
08-25-2020,1920,556,1086,5,3,0
