date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,1,0,0,0,0,0
01-23-2020,2,0,0,1,0,0
01-24-2020,5,0,0,3,0,0
01-25-2020,11,0,0,6,0,0
01-26-2020,19,0,0,8,0,0
01-27-2020,26,0,0,7,0,0
01-28-2020,44,0,0,18,0,0
01-29-2020,55,0,0,11,0,0
01-30-2020,76,0,0,21,0,0
01-31-2020,83,0,1,7,0,1
02-01-2020,93,0,2,10,0,1
02-02-2020,105,0,3,12,0,1
02-03-2020,117,0,5,12,0,2
02-04-2020,122,0,5,5,0,0
02-05-2020,124,0,5,2,0,0
02-06-2020,133,0,7,9,0,2
02-07-2020,138,0,12,5,0,5
02-08-2020,140,0,17,2,0,5
02-09-2020,141,0,18,1,0,1
02-10-2020,149,0,19,8,0,1
02-11-2020,154,0,20,5,0,1
02-12-2020,155,0,23,1,0,3
02-13-2020,156,0,27,1,0,4
02-14-2020,162,0,35,6,0,8
02-15-2020,169,0,42,7,0,7
02-16-2020,171,0,42,2,0,0
02-17-2020,172,0,47,1,0,5
02-18-2020,172,0,57,0,0,10
02-19-2020,172,1,60,0,1,3
02-20-2020,174,2,79,2,1,19
02-21-2020,174,2,96,0,0,17
02-22-2020,174,2,107,0,0,11
02-23-2020,174,2,115,0,0,8
02-24-2020,174,2,124,0,0,9
02-25-2020,174,2,129,0,0,5
02-26-2020,174,2,144,0,0,15
02-27-2020,174,2,150,0,0,6
02-28-2020,174,2,156,0,0,6
02-29-2020,174,2,157,0,0,1
03-01-2020,174,2,168,0,0,11
03-02-2020,174,2,168,0,0,0
03-03-2020,174,2,169,0,0,1
03-04-2020,174,2,169,0,0,0
03-05-2020,174,2,169,0,0,0
03-06-2020,174,2,170,0,0,1
03-07-2020,174,2,170,0,0,0
03-08-2020,174,2,170,0,0,0
03-09-2020,174,2,170,0,0,0
03-10-2020,174,2,170,0,0,0
03-11-2020,174,2,170,0,0,0
03-12-2020,174,2,170,0,0,0
03-13-2020,174,2,170,0,0,0
03-14-2020,174,2,172,0,0,2
03-15-2020,175,2,172,1,0,0
03-16-2020,176,2,172,1,0,0
03-17-2020,176,2,172,0,0,0
03-18-2020,176,2,172,0,0,0
03-19-2020,176,2,172,0,0,0
03-20-2020,176,2,172,0,0,0
03-21-2020,176,2,172,0,0,0
03-22-2020,176,2,172,0,0,0
03-23-2020,176,2,172,0,0,0
03-24-2020,176,2,172,0,0,0
03-25-2020,178,2,172,2,0,0
03-26-2020,178,2,172,0,0,0
03-27-2020,180,2,172,2,0,0
03-28-2020,180,2,172,0,0,0
03-29-2020,180,2,172,0,0,0
03-30-2020,181,2,172,1,0,0
03-31-2020,182,2,172,1,0,0
04-01-2020,183,2,172,1,0,0
04-02-2020,184,2,172,1,0,0
04-03-2020,184,2,172,0,0,0
04-04-2020,184,2,172,0,0,0
04-05-2020,184,2,172,0,0,0
04-06-2020,184,2,172,0,0,0
04-07-2020,184,2,172,0,0,0
04-08-2020,184,2,172,0,0,0
04-09-2020,184,2,172,0,0,0
04-10-2020,184,2,172,0,0,0
04-11-2020,184,2,172,0,0,0
04-12-2020,184,2,172,0,0,0
04-13-2020,184,2,172,0,0,0
04-14-2020,184,2,172,0,0,0
04-15-2020,184,2,172,0,0,0
04-16-2020,184,2,172,0,0,0
04-17-2020,184,2,177,0,0,5
04-18-2020,184,2,177,0,0,0
04-19-2020,184,2,177,0,0,0
04-20-2020,184,2,177,0,0,0
04-21-2020,184,2,177,0,0,0
04-22-2020,184,2,177,0,0,0
04-23-2020,184,2,177,0,0,0
04-24-2020,184,2,177,0,0,0
04-25-2020,185,2,180,1,0,3
04-26-2020,185,2,180,0,0,0
04-27-2020,185,2,180,0,0,0
04-28-2020,185,2,180,0,0,0
04-29-2020,185,2,180,0,0,0
04-30-2020,185,2,181,0,0,1
05-01-2020,185,2,181,0,0,0
05-02-2020,185,2,181,0,0,0
05-03-2020,185,2,181,0,0,0
05-04-2020,185,2,181,0,0,0
05-05-2020,185,2,181,0,0,0
05-06-2020,185,2,181,0,0,0
