Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Maharashtra,India,310455,9518,11854,258,178296,5744,120305,3516,2020-07-20 03:00:00,140004402,169569,3906,129032,5354
Tamil Nadu,India,170693,4979,2481,78,117915,4059,50297,842,2020-07-20 03:00:00,140001938,117915,4059,50297,842
Delhi,India,122793,1211,3628,31,103134,1860,16031,-680,2020-07-20 03:00:00,140001944,103134,1860,16031,-680
Gujarat,India,48441,965,2146,20,34882,877,11413,68,2020-07-20 03:00:00,140001927,34882,877,11413,68
Karnataka,India,63772,4120,1336,91,23066,1290,39370,2739,2020-07-20 03:00:00,140004403,23066,1290,39370,2739
Uttar Pradesh,India,49247,2211,1146,38,29845,1181,18256,992,2020-07-20 03:00:00,140001926,29845,1181,18256,992
Telangana,India,45076,1296,415,6,32438,1831,12223,-541,2020-07-20 03:00:00,140004405,32438,1831,12223,-541
Andhra Pradesh,India,49650,5041,642,56,22890,1127,26118,3858,2020-07-20 03:00:00,140004401,22890,1127,26118,3858
West Bengal,India,42487,2278,1112,36,24883,1344,16492,898,2020-07-20 03:00:00,140001940,24883,1344,16492,898
Rajasthan,India,29434,934,559,6,21730,586,7145,342,2020-07-20 03:00:00,140001929,21730,586,7145,342
Haryana,India,26164,617,349,5,19793,475,6022,137,2020-07-20 03:00:00,140001933,19793,475,6022,137
Bihar,India,26379,1412,179,2,16597,826,9603,584,2020-07-20 03:00:00,140001937,16597,826,9603,584
Madhya Pradesh,India,22600,837,721,15,15311,447,6568,375,2020-07-20 03:00:00,140001931,15311,447,6568,375
Assam,India,24000,1018,62,4,16024,858,7914,156,2020-07-20 03:00:00,140001939,16024,858,7914,156
Odisha,India,17437,736,119,7,12453,516,4865,213,2020-07-20 03:00:00,140001936,12453,516,4865,213
Punjab,India,10100,308,254,8,6535,81,3311,219,2020-07-20 03:00:00,140001934,6535,81,3311,219
