Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Afghanistan,Afghanistan,1,0,0,0,0,0,1,0,2020-03-02 23:00:00,AFG,,,,
Algeria,Algeria,3,2,0,0,0,0,3,2,2020-03-02 23:00:00,DZA,,,,
Andorra,Andorra,1,1,0,0,0,0,1,1,2020-03-02 23:00:00,AND,,,,
Armenia,Armenia,1,0,0,0,0,0,1,0,2020-03-02 23:00:00,ARM,,,,
Australia,Australia,33,6,1,0,12,0,20,6,2020-03-02 23:00:00,AUS,,,,
Austria,Austria,18,8,0,0,0,0,18,8,2020-03-02 23:00:00,AUT,,,,
Azerbaijan,Azerbaijan,3,0,0,0,0,0,3,0,2020-03-02 23:00:00,AZE,,,,
Bahrain,Bahrain,49,9,0,0,0,0,49,9,2020-03-02 23:00:00,BHR,,,,
Belarus,Belarus,1,0,0,0,0,0,1,0,2020-03-02 23:00:00,BLR,,,,
Belgium,Belgium,8,7,0,0,0,0,8,7,2020-03-02 23:00:00,BEL,,,,
Brazil,Brazil,2,0,0,0,0,0,2,0,2020-03-02 23:00:00,BRA,,,,
Cambodia,Cambodia,1,0,0,0,0,0,1,0,2020-03-02 23:00:00,KHM,,,,
Canada,Canada,27,8,0,0,7,1,20,7,2020-03-02 23:00:00,CAN,,,,
Croatia,Croatia,8,1,0,0,0,0,8,1,2020-03-02 23:00:00,HRV,,,,
Czech Republic,Czech Republic,3,0,0,0,0,0,3,0,2020-03-02 23:00:00,CZE,,,,
Denmark,Denmark,5,1,0,0,0,0,5,1,2020-03-02 23:00:00,DNK,,,,
Dominican Republic,Dominican Republic,1,1,0,0,0,0,1,1,2020-03-02 23:00:00,DOM,,,,
Ecuador,Ecuador,6,5,0,0,0,0,6,5,2020-03-02 23:00:00,ECU,,,,
Egypt,Egypt,2,1,0,0,0,0,2,1,2020-03-02 23:00:00,EGY,,,,
Estonia,Estonia,1,0,0,0,0,0,1,0,2020-03-02 23:00:00,EST,,,,
Finland,Finland,7,1,0,0,0,0,7,1,2020-03-02 23:00:00,FIN,,,,
France,France,188,88,3,1,7,-1,178,88,2020-03-02 23:00:00,FRA,,,,
Georgia (country),Georgia,3,0,0,0,0,0,3,0,2020-03-02 23:00:00,GEO,,,,
Germany,Germany,158,29,0,0,14,0,144,29,2020-03-02 23:00:00,DEU,,,,
Greece,Greece,7,0,0,0,0,0,7,0,2020-03-02 23:00:00,GRC,,,,
Iceland,Iceland,9,7,0,0,0,0,9,7,2020-03-02 23:00:00,ISL,,,,
India,India,5,2,0,0,2,0,3,2,2020-03-02 23:00:00,IND,,,,
Indonesia,Indonesia,2,2,0,0,0,0,2,2,2020-03-02 23:00:00,IDN,,,,
Iran,Iran,1501,908,66,23,-66,-23,1501,908,2020-03-02 23:00:00,IRN,,,,
