date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-13-2020,6,6,0,0,0,0,6,6,0,0,6,6
03-14-2020,12,6,0,0,0,0,12,6,0,0,12,6
03-15-2020,22,10,0,0,0,0,22,10,0,0,22,10
03-16-2020,29,7,0,0,0,0,29,7,0,0,29,7
03-17-2020,39,10,0,0,0,0,39,10,0,0,39,10
03-18-2020,52,13,0,0,0,0,52,13,0,0,52,13
03-19-2020,78,26,0,0,0,0,78,26,0,0,78,26
03-20-2020,106,28,0,0,0,0,106,28,0,0,106,28
03-21-2020,131,25,0,0,0,0,131,25,0,0,131,25
03-22-2020,157,26,0,0,0,0,157,26,0,0,157,26
03-23-2020,196,39,0,0,0,0,196,39,0,0,196,39
03-24-2020,242,46,0,0,0,0,242,46,0,0,242,46
03-25-2020,439,197,1,1,0,0,438,196,0,0,438,196
03-26-2020,531,92,1,0,0,0,530,92,0,0,530,92
03-27-2020,639,108,4,3,0,0,635,105,0,0,635,105
03-28-2020,721,82,9,5,0,0,712,77,0,0,712,77
03-29-2020,830,109,10,1,7,7,813,101,0,0,820,108
03-30-2020,947,117,11,1,12,5,924,111,0,0,936,116
03-31-2020,999,52,24,13,7,-5,968,44,0,0,975,39
04-01-2020,1107,108,28,4,14,7,1065,97,0,0,1079,104
04-02-2020,1270,163,32,4,31,17,1207,142,0,0,1238,159
04-03-2020,1535,265,38,6,47,16,1450,243,0,0,1497,259
04-04-2020,1633,98,44,6,62,15,1527,77,0,0,1589,92
04-05-2020,1841,208,45,1,82,20,1714,187,0,0,1796,207
04-06-2020,2006,165,53,8,105,23,1848,134,0,0,1953,157
04-07-2020,2197,191,64,11,132,27,2001,153,0,0,2133,180
04-08-2020,2499,302,67,3,288,156,2144,143,0,0,2432,299
04-09-2020,2838,339,78,11,352,64,2408,264,0,0,2760,328
04-10-2020,3008,170,80,2,438,86,2490,82,0,0,2928,168
04-11-2020,3262,254,93,13,492,54,2677,187,0,0,3169,241
04-12-2020,3583,321,93,0,582,90,2908,231,0,0,3490,321
04-13-2020,3803,220,103,10,668,86,3032,124,0,0,3700,210
04-14-2020,3953,150,114,11,700,32,3139,107,0,0,3839,139
04-15-2020,4241,288,123,9,780,80,3338,199,0,0,4118,279
04-16-2020,4404,163,137,14,902,122,3365,27,0,0,4267,149
04-17-2020,4572,168,151,14,1107,205,3314,-51,0,0,4421,154
04-18-2020,4723,151,147,-4,1194,87,3382,68,0,0,4576,155
04-19-2020,4903,180,160,13,1353,159,3390,8,0,0,4743,167
04-20-2020,5078,175,164,4,1488,135,3426,36,0,0,4914,171
04-21-2020,5327,249,185,21,1628,140,3514,88,0,0,5142,228
04-22-2020,5610,283,201,16,1884,256,3525,11,0,0,5409,267
04-23-2020,5832,222,202,1,2171,287,3459,-66,0,0,5630,221
04-24-2020,6026,194,209,7,2317,146,3500,41,0,0,5817,187
04-25-2020,6213,187,213,4,2530,213,3470,-30,0,0,6000,183
04-26-2020,6421,208,219,6,2800,270,3402,-68,0,0,6202,202
04-27-2020,6539,118,228,9,2986,186,3325,-77,0,0,6311,109
04-28-2020,6750,211,242,14,3101,115,3407,82,0,0,6508,197
04-29-2020,6932,182,263,21,3329,228,3340,-67,0,0,6669,161
04-30-2020,7088,156,272,9,3476,147,3340,0,0,0,6816,147
05-01-2020,7294,206,289,17,3634,158,3371,31,0,0,7005,189
05-02-2020,7611,317,288,-1,3772,138,3551,180,0,0,7323,318
05-03-2020,7888,277,290,2,3947,175,3651,100,0,0,7598,275
05-04-2020,8112,224,298,8,4105,158,3709,58,0,0,7814,216
05-05-2020,8437,325,315,17,4319,214,3803,94,0,0,8122,308
05-06-2020,8691,254,343,28,4572,253,3776,-27,0,0,8348,226
05-07-2020,9046,355,369,26,4778,206,3899,123,0,0,8677,329
05-08-2020,9385,339,383,14,4951,173,4051,152,0,0,9002,325
05-09-2020,9668,283,390,7,5135,184,4143,92,0,0,9278,276
05-10-2020,9889,221,393,3,5351,216,4145,2,0,0,9496,218
05-11-2020,10164,275,403,10,5473,122,4288,143,0,0,9761,265
05-12-2020,10468,304,440,37,5630,157,4398,110,0,0,10028,267
05-13-2020,10700,232,450,10,5814,184,4436,38,0,0,10250,222
05-14-2020,11101,401,473,23,5948,134,4680,244,0,0,10628,378
05-15-2020,11373,272,483,10,6141,193,4749,69,0,0,10890,262
