date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-02-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-13-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-14-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-15-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-16-2020,14,12,0,0,0,0,14,12,-1,-1,-1,-1
03-17-2020,16,2,0,0,0,0,16,2,-1,-1,-1,-1
03-18-2020,39,23,0,0,0,0,39,23,-1,-1,-1,-1
03-19-2020,75,36,0,0,0,0,75,36,-1,-1,-1,-1
03-20-2020,75,0,0,0,0,0,75,0,-1,-1,-1,-1
03-21-2020,88,13,0,0,0,0,88,13,-1,-1,-1,-1
03-22-2020,88,0,0,0,0,0,88,0,-1,-1,-1,-1
03-23-2020,113,25,0,0,0,0,113,25,-1,-1,-1,-1
03-24-2020,164,51,1,1,0,0,163,50,-1,-1,-1,-1
03-25-2020,188,24,1,0,0,0,187,24,-1,-1,-1,-1
03-26-2020,213,25,3,2,-2,-2,212,25,-1,-1,-1,-1
03-27-2020,231,18,3,0,-1,1,229,17,-1,-1,-1,-1
03-28-2020,289,58,3,0,-1,0,287,58,-1,-1,-1,-1
03-29-2020,321,32,4,1,-2,-1,319,32,-1,-1,-1,-1
03-30-2020,341,20,6,2,5,7,330,11,-1,-1,-1,-1
03-31-2020,370,29,8,2,5,0,357,27,-1,-1,-1,-1
04-01-2020,376,6,12,4,19,14,345,-12,-1,-1,-1,-1
04-02-2020,396,20,13,1,47,28,336,-9,-1,-1,-1,-1
04-03-2020,429,33,15,2,45,-2,369,33,-1,-1,-1,-1
04-04-2020,442,13,16,1,55,10,371,2,-1,-1,-1,-1
04-05-2020,466,24,17,1,54,-1,395,24,-1,-1,-1,-1
04-06-2020,523,57,17,0,74,20,432,37,-1,-1,-1,-1
04-07-2020,540,17,21,4,111,37,408,-24,-1,-1,-1,-1
04-08-2020,551,11,22,1,130,19,399,-9,-1,-1,-1,-1
04-09-2020,566,15,24,2,148,18,394,-5,-1,-1,-1,-1
04-10-2020,589,23,26,2,161,13,402,8,-1,-1,-1,-1
04-11-2020,602,13,26,0,208,47,368,-34,-1,-1,-1,-1
04-12-2020,622,20,28,2,232,24,362,-6,-1,-1,-1,-1
04-13-2020,639,17,29,1,249,17,361,-1,-1,-1,-1,-1
04-14-2020,651,12,29,0,272,23,350,-11,-1,-1,-1,-1
04-15-2020,659,8,31,2,279,7,349,-1,-1,-1,-1,-1
04-16-2020,673,14,33,2,298,19,342,-7,-1,-1,-1,-1
04-17-2020,694,21,34,1,324,26,336,-6,-1,-1,-1,-1
04-18-2020,703,9,35,1,335,11,333,-3,-1,-1,-1,-1
04-19-2020,704,1,35,0,354,19,315,-18,-1,-1,-1,-1
04-20-2020,717,13,36,1,403,49,278,-37,-1,-1,-1,-1
04-21-2020,718,1,36,0,424,21,258,-20,-1,-1,-1,-1
04-22-2020,723,5,37,1,435,11,251,-7,-1,-1,-1,-1
04-23-2020,724,1,37,0,451,16,236,-15,-1,-1,-1,-1
04-24-2020,726,2,38,1,471,20,217,-19,-1,-1,-1,-1
04-25-2020,733,7,40,2,488,17,205,-12,-1,-1,-1,-1
04-26-2020,738,5,40,0,508,20,190,-15,-1,-1,-1,-1
04-27-2020,740,2,40,0,526,18,174,-16,-1,-1,-1,-1
04-28-2020,741,1,40,0,539,13,162,-12,-1,-1,-1,-1
04-29-2020,742,1,41,1,547,8,154,-8,-1,-1,-1,-1
04-30-2020,744,2,41,0,563,16,140,-14,-1,-1,-1,-1
05-01-2020,746,2,42,1,583,20,121,-19,-1,-1,-1,-1
05-02-2020,746,0,43,1,592,9,111,-10,-1,-1,-1,-1
05-03-2020,747,1,44,1,595,3,108,-3,-1,-1,-1,-1
05-04-2020,749,2,45,1,614,19,90,-18,-1,-1,-1,-1
05-05-2020,751,2,45,0,620,6,86,-4,-1,-1,-1,-1
05-06-2020,751,0,46,1,626,6,79,-7,-1,-1,-1,-1
05-07-2020,752,1,47,1,629,3,76,-3,-1,-1,-1,-1
05-08-2020,752,0,47,0,635,6,70,-6,-1,-1,-1,-1
05-09-2020,754,2,47,0,645,10,62,-8,-1,-1,-1,-1
05-10-2020,754,0,48,1,652,7,54,-8,-1,-1,-1,-1
05-11-2020,756,2,48,0,657,5,51,-3,-1,-1,-1,-1
05-12-2020,756,0,48,0,661,4,47,-4,-1,-1,-1,-1
05-13-2020,759,3,48,0,664,3,47,0,-1,-1,-1,-1
05-14-2020,761,2,49,1,667,3,45,-2,-1,-1,-1,-1
05-15-2020,761,0,49,0,673,6,39,-6,-1,-1,-1,-1
05-16-2020,761,0,49,0,675,2,37,-2,-1,-1,-1,-1
05-17-2020,761,0,51,2,675,0,35,-2,-1,-1,-1,-1
05-18-2020,761,0,51,0,682,7,28,-7,-1,-1,-1,-1
05-19-2020,761,0,51,0,684,2,26,-2,-1,-1,-1,-1
05-20-2020,761,0,51,0,686,2,24,-2,-1,-1,-1,-1
05-21-2020,762,1,51,0,687,1,24,0,-1,-1,-1,-1
05-22-2020,762,0,51,0,689,2,22,-2,-1,-1,-1,-1
05-23-2020,762,0,51,0,692,3,19,-3,-1,-1,-1,-1
05-24-2020,763,1,51,0,694,2,18,-1,-1,-1,-1,-1
05-25-2020,763,0,51,0,696,2,16,-2,-1,-1,-1,-1
05-26-2020,763,0,51,0,697,1,15,-1,-1,-1,-1,-1
05-27-2020,763,0,51,0,700,3,12,-3,-1,-1,-1,-1
05-28-2020,763,0,51,0,703,3,9,-3,-1,-1,-1,-1
05-29-2020,764,1,51,0,704,1,9,0,-1,-1,-1,-1
05-30-2020,764,0,51,0,705,1,8,-1,-1,-1,-1,-1
05-31-2020,764,0,51,0,705,0,8,0,-1,-1,-1,-1
06-01-2020,764,0,51,0,706,1,7,-1,-1,-1,-1,-1
06-02-2020,765,1,51,0,706,0,8,1,-1,-1,-1,-1
06-03-2020,844,79,51,0,706,0,87,79,-1,-1,-1,-1
