date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-26-2020,1,1,0,0,0,0,1,1,0,0,1,1
01-27-2020,1,0,0,0,0,0,1,0,0,0,1,0
01-28-2020,1,0,0,0,0,0,1,0,0,0,1,0
01-29-2020,1,0,0,0,0,0,1,0,0,0,1,0
01-30-2020,1,0,0,0,0,0,1,0,0,0,1,0
01-31-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-01-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-02-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-03-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-04-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-05-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-06-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-07-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-08-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-09-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-10-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-11-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-12-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-13-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-14-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-15-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-16-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-17-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-18-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-19-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-20-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-21-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-22-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-23-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-24-2020,1,0,0,0,0,0,1,0,0,0,1,0
02-25-2020,1,0,0,0,1,1,0,-1,1,1,0,-1
02-26-2020,1,0,0,0,1,0,0,0,1,0,0,0
02-27-2020,1,0,0,0,1,0,0,0,1,0,0,0
02-28-2020,1,0,0,0,1,0,0,0,1,0,0,0
02-29-2020,1,0,0,0,1,0,0,0,1,0,0,0
03-01-2020,1,0,0,0,1,0,0,0,1,0,0,0
03-02-2020,1,0,0,0,1,0,0,0,1,0,0,0
03-03-2020,2,1,0,0,1,0,1,1,1,0,1,1
03-04-2020,2,0,0,0,1,0,1,0,1,0,1,0
03-05-2020,2,0,0,0,1,0,1,0,1,0,1,0
03-06-2020,3,1,0,0,1,0,2,1,1,0,2,1
03-07-2020,5,2,0,0,1,0,4,2,1,0,4,2
03-08-2020,5,0,0,0,1,0,4,0,1,0,4,0
03-09-2020,6,1,0,0,1,0,5,1,1,0,5,1
03-10-2020,6,0,0,0,1,0,5,0,1,0,5,0
03-11-2020,9,3,0,0,1,0,8,3,1,0,8,3
03-12-2020,9,0,0,0,1,0,8,0,1,0,8,0
03-13-2020,10,1,0,0,1,0,9,1,1,0,9,1
03-14-2020,12,2,0,0,1,0,11,2,1,0,11,2
03-15-2020,13,1,0,0,1,0,12,1,1,0,12,1
03-16-2020,18,5,0,0,1,0,17,5,1,0,17,5
03-17-2020,21,3,0,0,1,0,20,3,1,0,20,3
03-18-2020,29,8,0,0,1,0,28,8,1,0,28,8
03-19-2020,53,24,0,0,1,0,52,24,1,0,52,24
03-20-2020,79,26,0,0,2,1,77,25,1,0,78,26
03-21-2020,104,25,1,1,3,1,100,23,0,-1,103,25
03-22-2020,152,48,2,1,2,-1,148,48,0,0,150,47
03-23-2020,235,83,3,1,2,0,230,82,0,0,232,82
03-24-2020,326,91,6,3,0,-2,320,90,0,0,320,88
03-25-2020,401,75,6,0,1,1,394,74,0,0,395,75
03-26-2020,508,107,8,2,0,-1,500,106,0,0,500,105
03-27-2020,665,157,13,5,0,0,652,152,0,0,652,152
