date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-17-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-18-2020,4,2,0,0,0,0,4,2,-1,-1,-1,-1
03-19-2020,5,1,0,0,0,0,5,1,-1,-1,-1,-1
03-20-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-21-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-22-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-23-2020,8,3,0,0,0,0,8,3,-1,-1,-1,-1
03-24-2020,12,4,0,0,0,0,12,4,-1,-1,-1,-1
03-25-2020,12,0,0,0,0,0,12,0,-1,-1,-1,-1
03-26-2020,19,7,0,0,0,0,19,7,-1,-1,-1,-1
03-27-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-28-2020,28,9,0,0,0,0,28,9,-1,-1,-1,-1
03-29-2020,46,18,0,0,0,0,46,18,-1,-1,-1,-1
03-30-2020,46,0,0,0,0,0,46,0,-1,-1,-1,-1
03-31-2020,50,4,0,0,1,1,49,3,-1,-1,-1,-1
04-01-2020,55,5,0,0,3,2,52,3,-1,-1,-1,-1
04-02-2020,55,0,0,0,4,1,51,-1,-1,-1,-1,-1
04-03-2020,60,5,0,0,4,0,56,5,-1,-1,-1,-1
04-04-2020,62,2,0,0,4,0,58,2,-1,-1,-1,-1
04-05-2020,64,2,0,0,4,0,60,2,-1,-1,-1,-1
04-06-2020,64,0,0,0,6,2,58,-2,-1,-1,-1,-1
04-07-2020,64,0,0,0,9,3,55,-3,-1,-1,-1,-1
04-08-2020,71,7,0,0,9,0,62,7,-1,-1,-1,-1
04-09-2020,74,3,0,0,15,6,59,-3,-1,-1,-1,-1
04-10-2020,82,8,0,0,15,0,67,8,-1,-1,-1,-1
04-11-2020,86,4,0,0,22,7,64,-3,-1,-1,-1,-1
04-12-2020,92,6,0,0,37,15,55,-9,-1,-1,-1,-1
04-13-2020,92,0,0,0,37,0,55,0,-1,-1,-1,-1
04-14-2020,92,0,0,0,40,3,52,-3,-1,-1,-1,-1
04-15-2020,92,0,0,0,45,5,47,-5,-1,-1,-1,-1
04-16-2020,93,1,1,1,44,-1,48,1,-1,-1,-1,-1
04-17-2020,95,2,2,1,47,3,46,-2,-1,-1,-1,-1
04-18-2020,96,1,2,0,48,1,46,0,-1,-1,-1,-1
04-19-2020,96,0,2,0,50,2,44,-2,-1,-1,-1,-1
04-20-2020,97,1,2,0,50,0,45,1,-1,-1,-1,-1
04-21-2020,97,0,2,0,51,1,44,-1,-1,-1,-1,-1
04-22-2020,97,0,2,0,57,6,38,-6,-1,-1,-1,-1
04-23-2020,100,3,2,0,60,3,38,0,-1,-1,-1,-1
04-24-2020,100,0,2,0,67,7,31,-7,-1,-1,-1,-1
04-25-2020,100,0,2,0,71,4,27,-4,-1,-1,-1,-1
04-26-2020,100,0,2,0,78,7,20,-7,-1,-1,-1,-1
04-27-2020,100,0,2,0,78,0,20,0,-1,-1,-1,-1
04-28-2020,100,0,2,0,79,1,19,-1,-1,-1,-1,-1
04-29-2020,100,0,2,0,80,1,18,-1,-1,-1,-1,-1
04-30-2020,100,0,2,0,81,1,17,-1,-1,-1,-1,-1
05-01-2020,100,0,2,0,83,2,15,-2,-1,-1,-1,-1
05-02-2020,100,0,2,0,84,1,14,-1,-1,-1,-1,-1
05-03-2020,100,0,2,0,84,0,14,0,-1,-1,-1,-1
05-04-2020,100,0,2,0,85,1,13,-1,-1,-1,-1,-1
05-05-2020,100,0,2,0,86,1,12,-1,-1,-1,-1,-1
05-06-2020,101,1,2,0,87,1,12,0,-1,-1,-1,-1
05-07-2020,101,0,2,0,90,3,9,-3,-1,-1,-1,-1
05-08-2020,101,0,2,0,91,1,8,-1,-1,-1,-1,-1
05-09-2020,101,0,3,1,91,0,7,-1,-1,-1,-1,-1
05-10-2020,101,0,3,0,93,2,5,-2,-1,-1,-1,-1
05-11-2020,101,0,3,0,93,0,5,0,-1,-1,-1,-1
05-12-2020,101,0,3,0,93,0,5,0,-1,-1,-1,-1
05-13-2020,101,0,3,0,93,0,5,0,-1,-1,-1,-1
05-14-2020,101,0,3,0,93,0,5,0,-1,-1,-1,-1
05-15-2020,101,0,3,0,94,1,4,-1,-1,-1,-1,-1
05-16-2020,101,0,3,0,94,0,4,0,-1,-1,-1,-1
05-17-2020,101,0,3,0,94,0,4,0,-1,-1,-1,-1
05-18-2020,101,0,3,0,94,0,4,0,-1,-1,-1,-1
05-19-2020,101,0,3,0,94,0,4,0,-1,-1,-1,-1
05-20-2020,101,0,3,0,95,1,3,-1,-1,-1,-1,-1
05-21-2020,101,0,3,0,96,1,2,-1,-1,-1,-1,-1
05-22-2020,101,0,3,0,96,0,2,0,-1,-1,-1,-1
05-23-2020,101,0,3,0,97,1,1,-1,-1,-1,-1,-1
05-24-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
05-25-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
05-26-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
05-27-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
05-28-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
05-29-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
05-30-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
05-31-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-01-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-02-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-03-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-04-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-05-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-06-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-07-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-08-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-09-2020,101,0,3,0,97,0,1,0,-1,-1,-1,-1
06-10-2020,101,0,3,0,98,1,0,-1,98,-1,0,-1
06-11-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-12-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-13-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-14-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-15-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-16-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-17-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-18-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-19-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-20-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-21-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-22-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-23-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-24-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-25-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-26-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-27-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-28-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-29-2020,101,0,3,0,98,0,0,0,98,0,0,0
06-30-2020,103,2,3,0,98,0,2,2,98,0,2,2
07-01-2020,103,0,3,0,98,0,2,0,98,0,2,0
07-02-2020,104,1,3,0,98,0,3,1,98,0,3,1
07-03-2020,104,0,3,0,98,0,3,0,98,0,3,0
07-04-2020,105,1,3,0,98,0,4,1,98,0,4,1
07-05-2020,105,0,3,0,98,0,4,0,98,0,4,0
07-06-2020,105,0,3,0,98,0,4,0,98,0,4,0
07-07-2020,105,0,3,0,98,0,4,0,98,0,4,0
07-08-2020,105,0,3,0,98,0,4,0,98,0,4,0
07-09-2020,105,0,3,0,98,0,4,0,98,0,4,0
07-10-2020,105,0,3,0,98,0,4,0,98,0,4,0
07-11-2020,105,0,3,0,99,1,3,-1,99,1,3,-1
07-12-2020,105,0,3,0,99,0,3,0,99,0,3,0
07-13-2020,105,0,3,0,99,0,3,0,99,0,3,0
07-14-2020,106,1,3,0,99,0,4,1,99,0,4,1
07-15-2020,106,0,3,0,99,0,4,0,99,0,4,0
07-16-2020,108,2,3,0,100,1,5,1,100,1,5,1
07-17-2020,111,3,3,0,100,0,8,3,100,0,8,3
07-18-2020,111,0,3,0,101,1,7,-1,100,0,8,0
07-19-2020,113,2,3,0,101,0,9,2,100,0,10,2
07-20-2020,115,2,3,0,101,0,11,2,100,0,12,2
07-21-2020,117,2,3,0,101,0,13,2,100,0,14,2
07-22-2020,117,0,3,0,101,0,13,0,100,0,14,0
07-23-2020,117,0,3,0,101,0,13,0,101,1,13,-1
07-24-2020,118,1,3,0,102,1,13,0,102,1,13,0
07-25-2020,119,1,3,0,102,0,14,1,102,0,14,1
07-26-2020,119,0,3,0,102,0,14,0,102,0,14,0
