date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-24-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
02-25-2020,17,15,0,0,0,0,17,15,-1,-1,-1,-1
02-26-2020,33,16,0,0,0,0,33,16,-1,-1,-1,-1
02-27-2020,33,0,0,0,0,0,33,0,-1,-1,-1,-1
02-28-2020,38,5,0,0,0,0,38,5,-1,-1,-1,-1
02-29-2020,40,2,0,0,0,0,40,2,-1,-1,-1,-1
03-01-2020,40,0,0,0,0,0,40,0,-1,-1,-1,-1
03-02-2020,49,9,0,0,0,0,49,9,-1,-1,-1,-1
03-03-2020,49,0,0,0,0,0,49,0,-1,-1,-1,-1
03-04-2020,49,0,0,0,0,0,49,0,-1,-1,-1,-1
03-05-2020,49,0,0,0,0,0,49,0,-1,-1,-1,-1
03-06-2020,49,0,0,0,0,0,49,0,-1,-1,-1,-1
03-07-2020,56,7,0,0,0,0,56,7,-1,-1,-1,-1
03-08-2020,79,23,0,0,0,0,79,23,-1,-1,-1,-1
03-09-2020,95,16,0,0,1,1,94,15,-1,-1,-1,-1
03-10-2020,110,15,0,0,13,12,97,3,-1,-1,-1,-1
03-11-2020,189,79,0,0,26,13,163,66,-1,-1,-1,-1
03-12-2020,195,6,0,0,26,0,169,6,-1,-1,-1,-1
03-13-2020,195,0,0,0,30,4,165,-4,-1,-1,-1,-1
03-14-2020,211,16,0,0,32,2,179,14,-1,-1,-1,-1
03-15-2020,214,3,0,0,32,0,182,3,-1,-1,-1,-1
03-16-2020,221,7,1,1,38,6,182,0,-1,-1,-1,-1
03-17-2020,237,16,1,0,38,0,198,16,-1,-1,-1,-1
03-18-2020,256,19,1,0,38,0,217,19,-1,-1,-1,-1
03-19-2020,269,13,1,0,38,0,230,13,-1,-1,-1,-1
03-20-2020,285,16,1,0,38,0,246,16,-1,-1,-1,-1
03-21-2020,306,21,1,0,44,6,261,15,-1,-1,-1,-1
03-22-2020,334,28,2,1,61,17,271,10,-1,-1,-1,-1
03-23-2020,339,5,2,0,75,14,262,-9,-1,-1,-1,-1
03-24-2020,390,51,3,1,88,13,299,37,-1,-1,-1,-1
03-25-2020,419,29,3,0,154,66,262,-37,-1,-1,-1,-1
03-26-2020,457,38,4,1,158,4,295,33,-1,-1,-1,-1
03-27-2020,466,9,4,0,159,1,303,8,-1,-1,-1,-1
03-28-2020,473,7,4,0,172,13,297,-6,-1,-1,-1,-1
03-29-2020,499,26,4,0,174,2,321,24,-1,-1,-1,-1
03-30-2020,515,16,4,0,181,7,330,9,-1,-1,-1,-1
03-31-2020,567,52,4,0,194,13,369,39,-1,-1,-1,-1
04-01-2020,569,2,4,0,210,16,355,-14,-1,-1,-1,-1
04-02-2020,635,66,4,0,220,10,411,56,-1,-1,-1,-1
04-03-2020,672,37,4,0,233,13,435,24,-1,-1,-1,-1
04-04-2020,688,16,4,0,251,18,433,-2,-1,-1,-1,-1
04-05-2020,698,10,4,0,277,26,417,-16,-1,-1,-1,-1
04-06-2020,723,25,4,0,283,6,436,19,-1,-1,-1,-1
04-07-2020,811,88,4,0,328,45,479,43,-1,-1,-1,-1
04-08-2020,821,10,5,1,362,34,454,-25,-1,-1,-1,-1
04-09-2020,855,34,5,0,394,32,456,2,-1,-1,-1,-1
04-10-2020,913,58,6,1,400,6,507,51,-1,-1,-1,-1
04-11-2020,1016,103,6,0,408,8,602,95,-1,-1,-1,-1
04-12-2020,1087,71,6,0,430,22,651,49,-1,-1,-1,-1
04-13-2020,1348,261,6,0,444,14,898,247,-1,-1,-1,-1
04-14-2020,1528,180,7,1,487,43,1034,136,-1,-1,-1,-1
04-15-2020,1671,143,7,0,492,5,1172,138,-1,-1,-1,-1
04-16-2020,1698,27,7,0,547,55,1144,-28,-1,-1,-1,-1
04-17-2020,1740,42,7,0,579,32,1154,10,-1,-1,-1,-1
04-18-2020,1767,27,7,0,595,16,1165,11,-1,-1,-1,-1
04-19-2020,1873,106,7,0,609,14,1257,92,-1,-1,-1,-1
04-20-2020,1895,22,7,0,630,21,1258,1,-1,-1,-1,-1
04-21-2020,1952,57,7,0,710,80,1235,-23,-1,-1,-1,-1
04-22-2020,2007,55,7,0,726,16,1274,39,-1,-1,-1,-1
04-23-2020,2098,91,8,1,758,32,1332,58,-1,-1,-1,-1
04-24-2020,2506,408,8,0,806,48,1692,360,-1,-1,-1,-1
04-25-2020,2588,82,8,0,891,85,1689,-3,-1,-1,-1,-1
04-26-2020,2633,45,8,0,953,62,1672,-17,-1,-1,-1,-1
04-27-2020,2708,75,8,0,1167,214,1533,-139,-1,-1,-1,-1
04-28-2020,2810,102,8,0,1320,153,1482,-51,-1,-1,-1,-1
04-29-2020,2869,59,8,0,1437,117,1424,-58,-1,-1,-1,-1
04-30-2020,3037,168,8,0,1469,32,1560,136,-1,-1,-1,-1
05-01-2020,3169,132,8,0,1509,40,1652,92,-1,-1,-1,-1
05-02-2020,3273,104,8,0,1534,25,1731,79,-1,-1,-1,-1
05-03-2020,3356,83,8,0,1623,89,1725,-6,-1,-1,-1,-1
05-04-2020,3464,108,8,0,1645,22,1811,86,-1,-1,-1,-1
05-05-2020,3679,215,8,0,1706,61,1965,154,-1,-1,-1,-1
05-06-2020,3842,163,8,0,1753,47,2081,116,-1,-1,-1,-1
05-07-2020,4131,289,8,0,1833,80,2290,209,-1,-1,-1,-1
05-08-2020,4404,273,8,0,2172,339,2224,-66,-1,-1,-1,-1
05-09-2020,4595,191,8,0,2254,82,2333,109,-1,-1,-1,-1
05-10-2020,4856,261,8,0,2301,47,2547,214,-1,-1,-1,-1
05-11-2020,5157,301,8,0,2399,98,2750,203,-1,-1,-1,-1
05-12-2020,5409,252,9,1,2509,110,2891,141,-1,-1,-1,-1
05-13-2020,5780,371,9,0,2577,68,3194,303,-1,-1,-1,-1
05-14-2020,6069,289,10,1,2719,142,3340,146,-1,-1,-1,-1
05-15-2020,6418,349,10,0,2834,115,3574,234,-1,-1,-1,-1
05-16-2020,6655,237,12,2,2920,86,3723,149,-1,-1,-1,-1
05-17-2020,6930,275,12,0,3003,83,3915,192,-1,-1,-1,-1
05-18-2020,7156,226,12,0,3095,92,4049,134,-1,-1,-1,-1
05-19-2020,7374,218,12,0,3281,186,4081,32,-1,-1,-1,-1
05-20-2020,7532,158,12,0,3422,141,4098,17,-1,-1,-1,-1
05-21-2020,8039,507,12,0,3670,248,4357,259,-1,-1,-1,-1
05-22-2020,8174,135,12,0,3951,281,4211,-146,-1,-1,-1,-1
05-23-2020,8414,240,12,0,4123,172,4279,68,-1,-1,-1,-1
05-24-2020,8802,388,13,1,4343,220,4446,167,-1,-1,-1,-1
05-25-2020,9138,336,13,0,4610,267,4515,69,-1,-1,-1,-1
05-26-2020,9171,33,14,1,4837,227,4320,-195,-1,-1,-1,-1
05-27-2020,9366,195,14,0,5153,316,4199,-121,-1,-1,-1,-1
05-28-2020,9692,326,15,1,5410,257,4267,68,-1,-1,-1,-1
05-29-2020,10052,360,15,0,5714,304,4323,56,-1,-1,-1,-1
05-30-2020,10449,397,15,0,5922,208,4512,189,-1,-1,-1,-1
05-31-2020,10793,344,17,2,6159,237,4617,105,-1,-1,-1,-1
06-01-2020,11398,605,19,2,6357,198,5022,405,-1,-1,-1,-1
06-02-2020,11871,473,19,0,6566,209,5286,264,-1,-1,-1,-1
06-03-2020,12311,440,19,0,6720,154,5572,286,-1,-1,-1,-1
06-04-2020,12815,504,20,1,7174,454,5621,49,-1,-1,-1,-1
06-05-2020,13229,414,21,1,7341,167,5867,246,-1,-1,-1,-1
06-06-2020,13835,606,22,1,7566,225,6247,380,-1,-1,-1,-1
06-07-2020,14383,548,24,2,7917,351,6442,195,-1,-1,-1,-1
06-08-2020,14763,380,26,2,8233,316,6504,62,-1,-1,-1,-1
06-09-2020,15417,654,27,1,8299,66,7091,587,-1,-1,-1,-1
06-10-2020,16200,783,30,3,11109,2810,5061,-2030,11109,-1,5061,-1
06-11-2020,16667,467,34,4,11487,378,5146,85,11487,378,5146,85
06-12-2020,17269,602,36,2,11903,416,5330,184,11903,416,5330,184
06-13-2020,17713,444,37,1,12191,288,5485,155,12191,288,5485,155
06-14-2020,18227,514,41,4,12818,627,5368,-117,12818,627,5368,-117
06-15-2020,19013,786,46,5,13267,449,5700,332,13267,449,5700,332
06-16-2020,19553,540,47,1,13866,599,5640,-60,13866,599,5640,-60
06-17-2020,19961,408,49,2,14185,319,5727,87,14185,319,5727,87
06-18-2020,20430,469,55,6,14696,511,5679,-48,14696,511,5679,-48
06-19-2020,20916,486,57,2,15287,591,5572,-107,15287,591,5572,-107
06-20-2020,21331,415,60,3,15790,503,5481,-91,15790,503,5481,-91
06-21-2020,21764,433,63,3,16419,629,5282,-199,16419,629,5282,-199
06-22-2020,22407,643,65,2,16862,443,5480,198,16862,443,5480,198
06-23-2020,23062,655,67,2,17450,588,5545,65,17450,588,5545,65
06-24-2020,23570,508,68,1,17977,527,5525,-20,17977,527,5525,-20
06-25-2020,24081,511,71,3,18501,524,5509,-16,18501,524,5509,-16
06-26-2020,24805,724,73,2,19137,636,5595,86,19137,636,5595,86
06-27-2020,24805,0,73,0,19137,0,5595,0,19137,0,5595,0
06-28-2020,25705,900,83,10,20517,1380,5105,-490,20517,1380,5105,-490
06-29-2020,26239,534,84,1,20928,411,5227,122,20928,411,5227,122
06-30-2020,26758,519,87,3,21331,403,5340,113,21331,403,5340,113
07-01-2020,27414,656,92,5,21948,617,5374,34,21948,617,5374,34
07-02-2020,27414,0,92,0,21948,0,5374,0,21948,0,5374,0
07-03-2020,28410,996,95,3,23318,1370,4997,-377,23318,1370,4997,-377
07-04-2020,28857,447,96,1,23959,641,4802,-195,23959,641,4802,-195
07-05-2020,29367,510,97,1,24649,690,4621,-181,24649,690,4621,-181
07-06-2020,29821,454,98,1,25178,529,4545,-76,25178,529,4545,-76
07-07-2020,29821,0,98,0,25178,0,4545,0,25178,0,4545,0
07-08-2020,30931,1110,98,0,26073,895,4760,215,26073,895,4760,215
07-09-2020,30931,0,98,0,26073,0,4760,0,26073,0,4760,0
07-10-2020,32039,1108,104,6,27213,1140,4722,-38,27213,1140,4722,-38
07-11-2020,32039,0,104,0,27213,0,4722,0,27213,0,4722,0
07-12-2020,32470,431,104,0,27213,0,5153,431,27213,0,5153,431
07-13-2020,33476,1006,108,4,28425,1212,4943,-210,28425,1212,4943,-210
07-14-2020,33476,0,109,1,28425,0,4942,-1,28425,0,4942,-1
07-15-2020,34078,602,111,2,28425,0,5542,600,28425,0,5542,600
07-16-2020,34560,482,117,6,28425,0,6018,476,28425,0,6018,476
07-17-2020,35084,524,121,4,28425,0,6538,520,28425,0,6538,520
07-18-2020,36004,920,124,3,31765,3340,4115,-2423,31765,3340,4115,-2423
07-19-2020,36004,0,124,0,31765,0,4115,0,31765,0,4115,0
07-20-2020,36936,932,128,4,32965,1200,3843,-272,32965,1200,3843,-272
07-21-2020,37316,380,129,1,33455,490,3732,-111,33455,490,3732,-111
07-22-2020,37637,321,130,1,33894,439,3613,-119,33894,439,3613,-119
07-23-2020,37996,359,134,4,34412,518,3450,-163,34412,518,3450,-163
07-24-2020,38458,462,136,2,34826,414,3496,46,34826,414,3496,46
07-25-2020,38747,289,137,1,35205,379,3405,-91,35205,379,3405,-91
07-26-2020,39131,384,140,3,35689,484,3302,-103,35689,484,3302,-103
07-27-2020,39482,351,141,1,36110,421,3231,-71,36110,421,3231,-71
07-28-2020,39921,439,141,0,36531,421,3249,18,36531,421,3249,18
07-29-2020,40311,390,144,3,36920,389,3247,-2,36920,389,3247,-2
07-30-2020,40755,444,146,2,37357,437,3252,5,37357,437,3252,5
07-31-2020,40982,227,147,1,37840,483,2995,-257,37840,483,2995,-257
08-01-2020,41190,208,148,1,38211,371,2831,-164,38211,371,2831,-164
08-02-2020,41536,346,148,0,38666,455,2722,-109,38666,455,2722,-109
08-03-2020,41835,299,150,2,39007,341,2678,-44,39007,341,2678,-44
08-04-2020,42132,297,151,1,39335,328,2646,-32,39335,328,2646,-32
08-05-2020,42514,382,154,3,39576,241,2784,138,39576,241,2784,138
08-06-2020,42889,375,156,2,39945,369,2788,4,39945,369,2788,4
08-07-2020,43307,418,159,3,40276,331,2872,84,40276,331,2872,84
08-08-2020,43629,322,161,2,40549,273,2919,47,40549,273,2919,47
08-09-2020,44011,382,162,1,40967,418,2882,-37,40967,418,2882,-37
08-10-2020,44397,386,163,1,41209,242,3025,143,41209,242,3025,143
08-11-2020,44804,407,165,2,41504,295,3135,110,41504,295,3135,110
08-12-2020,44804,0,167,2,41504,0,3133,-2,41504,0,3133,-2
08-13-2020,45264,460,167,0,41836,332,3261,128,41836,332,3261,128
08-14-2020,45726,462,167,0,41836,0,3723,462,41836,0,3723,462
08-15-2020,46052,326,168,1,41836,0,4048,325,41836,0,4048,325
08-16-2020,46835,783,170,2,43128,1292,3537,-511,43128,1292,3537,-511
08-17-2020,46835,0,170,0,43128,0,3537,0,43128,0,3537,0
08-18-2020,47581,746,175,5,43529,401,3877,340,43529,401,3877,340
08-19-2020,47581,0,175,0,43529,0,3877,0,43529,0,3877,0
08-20-2020,47950,369,178,3,43529,0,4243,366,43529,0,4243,366
08-21-2020,48303,353,181,3,44628,1099,3494,-749,44628,1099,3494,-749
08-22-2020,48661,358,181,0,44628,0,3852,358,44628,0,3852,358
08-23-2020,49330,669,184,3,45981,1353,3165,-687,45981,1353,3165,-687
08-24-2020,49330,0,184,0,45981,0,3165,0,45981,0,3165,0
08-25-2020,49719,389,185,1,45981,0,3553,388,45981,0,3553,388
