date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-18-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-19-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-20-2020,5,3,0,0,0,0,5,3,-1,-1,-1,-1
03-21-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-22-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-23-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-24-2020,18,13,0,0,0,0,18,13,-1,-1,-1,-1
03-25-2020,18,0,0,0,0,0,18,0,-1,-1,-1,-1
03-26-2020,18,0,0,0,0,0,18,0,-1,-1,-1,-1
03-27-2020,18,0,0,0,0,0,18,0,-1,-1,-1,-1
03-28-2020,24,6,0,0,0,0,24,6,-1,-1,-1,-1
03-29-2020,24,0,0,0,0,0,24,0,-1,-1,-1,-1
03-30-2020,26,2,0,0,0,0,26,2,-1,-1,-1,-1
03-31-2020,33,7,0,0,0,0,33,7,-1,-1,-1,-1
04-01-2020,33,0,0,0,1,1,32,-1,-1,-1,-1,-1
04-02-2020,33,0,0,0,1,0,32,0,-1,-1,-1,-1
04-03-2020,45,12,0,0,4,3,41,9,-1,-1,-1,-1
04-04-2020,45,0,0,0,4,0,41,0,-1,-1,-1,-1
04-05-2020,51,6,0,0,4,0,47,6,-1,-1,-1,-1
04-06-2020,51,0,0,0,4,0,47,0,-1,-1,-1,-1
04-07-2020,56,5,1,1,13,9,42,-5,-1,-1,-1,-1
04-08-2020,60,4,2,1,12,-1,46,4,-1,-1,-1,-1
04-09-2020,63,3,3,1,11,-1,49,3,-1,-1,-1,-1
04-10-2020,63,0,3,0,11,0,49,0,-1,-1,-1,-1
04-11-2020,66,3,4,1,15,4,47,-2,-1,-1,-1,-1
04-12-2020,67,1,4,0,15,0,48,1,-1,-1,-1,-1
04-13-2020,68,1,4,0,17,2,47,-1,-1,-1,-1,-1
04-14-2020,71,3,4,0,22,5,45,-2,-1,-1,-1,-1
04-15-2020,72,1,4,0,23,1,45,0,-1,-1,-1,-1
04-16-2020,73,1,5,1,22,-1,46,1,-1,-1,-1,-1
04-17-2020,75,2,5,0,32,10,38,-8,-1,-1,-1,-1
04-18-2020,75,0,5,0,32,0,38,0,-1,-1,-1,-1
04-19-2020,75,0,5,0,37,5,33,-5,-1,-1,-1,-1
04-20-2020,75,0,5,0,37,0,33,0,-1,-1,-1,-1
04-21-2020,75,0,5,0,42,5,28,-5,-1,-1,-1,-1
04-22-2020,75,0,5,0,46,4,24,-4,-1,-1,-1,-1
04-23-2020,75,0,5,0,48,2,22,-2,-1,-1,-1,-1
04-24-2020,76,1,6,1,47,-1,23,1,-1,-1,-1,-1
04-25-2020,76,0,6,0,50,3,20,-3,-1,-1,-1,-1
04-26-2020,77,1,6,0,51,1,20,0,-1,-1,-1,-1
04-27-2020,79,2,6,0,52,1,21,1,-1,-1,-1,-1
04-28-2020,79,0,6,0,56,4,17,-4,-1,-1,-1,-1
04-29-2020,80,1,6,0,57,1,17,0,-1,-1,-1,-1
04-30-2020,80,0,6,0,57,0,17,0,-1,-1,-1,-1
05-01-2020,80,0,7,1,60,3,13,-4,-1,-1,-1,-1
05-02-2020,81,1,7,0,60,0,14,1,-1,-1,-1,-1
05-03-2020,81,0,7,0,61,1,13,-1,-1,-1,-1,-1
05-04-2020,81,0,7,0,61,0,13,0,-1,-1,-1,-1
05-05-2020,82,1,7,0,62,1,13,0,-1,-1,-1,-1
05-06-2020,82,0,7,0,63,1,12,-1,-1,-1,-1,-1
05-07-2020,82,0,7,0,63,0,12,0,-1,-1,-1,-1
05-08-2020,82,0,7,0,64,1,11,-1,-1,-1,-1,-1
05-09-2020,82,0,7,0,65,1,10,-1,-1,-1,-1,-1
05-10-2020,82,0,7,0,65,0,10,0,-1,-1,-1,-1
05-11-2020,84,2,7,0,67,2,10,0,-1,-1,-1,-1
05-12-2020,84,0,7,0,68,1,9,-1,-1,-1,-1,-1
05-13-2020,84,0,7,0,69,1,8,-1,-1,-1,-1,-1
05-14-2020,85,1,7,0,69,0,9,1,-1,-1,-1,-1
05-15-2020,85,0,7,0,70,1,8,-1,-1,-1,-1,-1
05-16-2020,85,0,7,0,71,1,7,-1,-1,-1,-1,-1
05-17-2020,85,0,7,0,71,0,7,0,-1,-1,-1,-1
05-18-2020,86,1,7,0,71,0,8,1,-1,-1,-1,-1
05-19-2020,88,2,7,0,72,1,9,1,-1,-1,-1,-1
