date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-28-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
02-29-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-02-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-04-2020,6,5,0,0,0,0,6,5,-1,-1,-1,-1
03-05-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-06-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-07-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-08-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-09-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-10-2020,9,3,0,0,0,0,9,3,-1,-1,-1,-1
03-11-2020,12,3,0,0,0,0,12,3,-1,-1,-1,-1
03-12-2020,12,0,0,0,0,0,12,0,-1,-1,-1,-1
03-13-2020,21,9,0,0,0,0,21,9,-1,-1,-1,-1
03-14-2020,21,0,0,0,0,0,21,0,-1,-1,-1,-1
03-15-2020,21,0,0,0,0,0,21,0,-1,-1,-1,-1
03-16-2020,36,15,0,0,0,0,36,15,-1,-1,-1,-1
03-17-2020,36,0,0,0,0,0,36,0,-1,-1,-1,-1
03-18-2020,46,10,0,0,4,4,42,6,-1,-1,-1,-1
03-19-2020,46,0,0,0,4,0,42,0,-1,-1,-1,-1
03-20-2020,57,11,0,0,4,0,53,11,-1,-1,-1,-1
03-21-2020,76,19,0,0,4,0,72,19,-1,-1,-1,-1
03-22-2020,76,0,0,0,4,0,72,0,-1,-1,-1,-1
03-23-2020,76,0,0,0,4,0,72,0,-1,-1,-1,-1
03-24-2020,81,5,0,0,7,3,74,2,-1,-1,-1,-1
03-25-2020,81,0,0,0,9,2,72,-2,-1,-1,-1,-1
03-26-2020,86,5,0,0,9,0,77,5,-1,-1,-1,-1
03-27-2020,86,0,0,0,17,8,69,-8,-1,-1,-1,-1
03-28-2020,94,8,0,0,17,0,77,8,-1,-1,-1,-1
03-29-2020,94,0,0,0,17,0,77,0,-1,-1,-1,-1
03-30-2020,152,58,0,0,29,12,123,46,-1,-1,-1,-1
03-31-2020,152,0,0,0,29,0,123,0,-1,-1,-1,-1
04-01-2020,152,0,0,0,38,9,114,-9,-1,-1,-1,-1
04-02-2020,192,40,2,2,36,-2,154,40,-1,-1,-1,-1
04-03-2020,254,62,4,2,43,7,207,53,-1,-1,-1,-1
04-04-2020,254,0,4,0,58,15,192,-15,-1,-1,-1,-1
04-05-2020,440,186,4,0,58,0,378,186,-1,-1,-1,-1
04-06-2020,562,122,8,4,54,-4,500,122,-1,-1,-1,-1
04-07-2020,700,138,13,5,53,-1,634,134,-1,-1,-1,-1
04-08-2020,861,161,13,0,54,1,794,160,-1,-1,-1,-1
04-09-2020,1066,205,13,0,58,4,995,201,-1,-1,-1,-1
04-10-2020,1066,0,13,0,59,1,994,-1,-1,-1,-1,-1
04-11-2020,1981,915,19,6,60,1,1902,908,-1,-1,-1,-1
04-12-2020,2226,245,23,4,56,-4,2147,245,-1,-1,-1,-1
04-13-2020,2578,352,26,3,102,46,2450,303,-1,-1,-1,-1
04-14-2020,2919,341,29,3,99,-3,2791,341,-1,-1,-1,-1
04-15-2020,3281,362,33,4,96,-3,3152,361,-1,-1,-1,-1
04-16-2020,3728,447,36,3,126,30,3566,414,-1,-1,-1,-1
04-17-2020,4204,476,40,4,174,48,3990,424,-1,-1,-1,-1
04-18-2020,4779,575,43,3,173,-1,4563,573,-1,-1,-1,-1
