date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-11-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-12-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-13-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-14-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-15-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-16-2020,11,8,0,0,0,0,11,8,-1,-1,-1,-1
03-17-2020,11,0,0,0,0,0,11,0,-1,-1,-1,-1
03-18-2020,12,1,0,0,0,0,12,1,-1,-1,-1,-1
03-19-2020,15,3,0,0,0,0,15,3,-1,-1,-1,-1
03-20-2020,16,1,0,0,0,0,16,1,-1,-1,-1,-1
03-21-2020,19,3,0,0,0,0,19,3,-1,-1,-1,-1
03-22-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-23-2020,24,5,0,0,0,0,24,5,-1,-1,-1,-1
03-24-2020,28,4,0,0,0,0,28,4,-1,-1,-1,-1
03-25-2020,28,0,0,0,1,1,27,-1,-1,-1,-1,-1
03-26-2020,39,11,0,0,1,0,38,11,-1,-1,-1,-1
03-27-2020,39,0,0,0,2,1,37,-1,-1,-1,-1,-1
03-28-2020,61,22,0,0,2,0,59,22,-1,-1,-1,-1
03-29-2020,74,13,0,0,2,0,72,13,-1,-1,-1,-1
03-30-2020,74,0,0,0,8,6,66,-6,-1,-1,-1,-1
03-31-2020,97,23,5,5,3,-5,89,23,-1,-1,-1,-1
04-01-2020,107,10,6,1,3,0,98,9,-1,-1,-1,-1
04-02-2020,115,8,7,1,5,2,103,5,-1,-1,-1,-1
04-03-2020,123,8,8,1,4,-1,111,8,-1,-1,-1,-1
04-04-2020,132,9,9,1,6,2,117,6,-1,-1,-1,-1
04-05-2020,139,7,10,1,5,-1,124,7,-1,-1,-1,-1
04-06-2020,157,18,10,0,9,4,138,14,-1,-1,-1,-1
04-07-2020,183,26,11,1,11,2,161,23,-1,-1,-1,-1
04-08-2020,194,11,14,3,8,-3,172,11,-1,-1,-1,-1
04-09-2020,210,16,15,1,16,8,179,7,-1,-1,-1,-1
04-10-2020,264,54,18,3,14,-2,232,53,-1,-1,-1,-1
04-11-2020,268,4,19,1,30,16,219,-13,-1,-1,-1,-1
04-12-2020,275,7,20,1,40,10,215,-4,-1,-1,-1,-1
04-13-2020,300,25,24,4,37,-3,239,24,-1,-1,-1,-1
04-14-2020,330,30,27,3,53,16,250,11,-1,-1,-1,-1
04-15-2020,354,24,28,1,60,7,266,16,-1,-1,-1,-1
04-16-2020,397,43,28,0,67,7,302,36,-1,-1,-1,-1
04-17-2020,441,44,29,1,72,5,340,38,-1,-1,-1,-1
04-18-2020,465,24,31,2,78,6,356,16,-1,-1,-1,-1
04-19-2020,493,28,31,0,84,6,378,22,-1,-1,-1,-1
04-20-2020,520,27,32,1,98,14,390,12,-1,-1,-1,-1
04-21-2020,564,44,33,1,119,21,412,22,-1,-1,-1,-1
04-22-2020,598,34,34,1,127,8,437,25,-1,-1,-1,-1
04-23-2020,609,11,37,3,138,11,434,-3,-1,-1,-1,-1
04-24-2020,672,63,40,3,179,41,453,19,-1,-1,-1,-1
04-25-2020,703,31,43,3,182,3,478,25,-1,-1,-1,-1
04-26-2020,807,104,44,1,189,7,574,96,-1,-1,-1,-1
04-27-2020,866,59,46,2,207,18,613,39,-1,-1,-1,-1
04-28-2020,950,84,50,4,231,24,669,56,-1,-1,-1,-1
04-29-2020,1014,64,53,3,249,18,712,43,-1,-1,-1,-1
04-30-2020,1053,39,55,2,283,34,715,3,-1,-1,-1,-1
