date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-26-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
02-27-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-28-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-29-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-01-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-02-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-03-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-04-2020,4,2,0,0,0,0,4,2,0,-1,4,-1
03-05-2020,8,4,0,0,0,0,8,4,0,0,8,4
03-06-2020,13,5,0,0,0,0,13,5,0,0,13,5
03-07-2020,13,0,0,0,0,0,13,0,0,0,13,0
03-08-2020,19,6,0,0,0,0,19,6,-1,-1,-1,-1
03-09-2020,25,6,0,0,0,0,25,6,-1,-1,-1,-1
03-10-2020,25,0,0,0,0,0,25,0,-1,-1,-1,-1
03-11-2020,34,9,0,0,0,0,34,9,-1,-1,-1,-1
03-12-2020,52,18,0,0,0,0,52,18,-1,-1,-1,-1
03-13-2020,98,46,0,0,0,0,98,46,-1,-1,-1,-1
03-14-2020,121,23,0,0,0,0,121,23,-1,-1,-1,-1
03-15-2020,121,0,0,0,1,1,120,-1,-1,-1,-1,-1
03-16-2020,200,79,0,0,1,0,199,79,-1,-1,-1,-1
03-17-2020,291,91,1,1,2,1,288,89,2,-1,288,-1
03-18-2020,428,137,2,1,2,0,424,136,2,0,424,136
03-19-2020,635,207,7,5,2,0,626,202,2,0,626,202
03-20-2020,635,0,7,0,3,1,625,-1,2,0,626,0
03-21-2020,1128,493,18,11,2,-1,1108,483,2,0,1108,482
03-22-2020,1546,418,25,7,2,0,1519,411,2,0,1519,411
03-23-2020,1891,345,34,9,2,0,1855,336,2,0,1855,336
03-24-2020,2201,310,46,12,2,0,2153,298,2,0,2153,298
03-25-2020,2201,0,46,0,2,0,2153,0,2,0,2153,0
03-26-2020,2985,784,77,31,6,4,2902,749,6,4,2902,749
03-27-2020,3417,432,92,15,6,0,3319,417,6,0,3319,417
03-28-2020,3904,487,114,22,6,0,3784,465,6,0,3784,465
03-29-2020,4256,352,136,22,6,0,4114,330,6,0,4114,330
03-30-2020,4579,323,159,23,120,114,4300,186,120,114,4300,186
03-31-2020,5717,1138,201,42,127,7,5389,1089,127,7,5389,1089
04-01-2020,6836,1119,241,40,127,0,6468,1079,127,0,6468,1079
04-02-2020,7910,1074,299,58,216,89,7395,927,127,0,7484,1016
04-03-2020,9056,1146,359,60,157,-59,8540,1145,127,0,8570,1086
