date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-26-2020,2,2,0,0,0,0,2,2,0,0,2,2
01-27-2020,2,0,0,0,0,0,2,0,0,0,2,0
01-28-2020,2,0,0,0,0,0,2,0,0,0,2,0
01-29-2020,2,0,0,0,0,0,2,0,0,0,2,0
01-30-2020,2,0,0,0,0,0,2,0,0,0,2,0
01-31-2020,3,1,0,0,0,0,3,1,0,0,3,1
02-01-2020,3,0,0,0,0,0,3,0,0,0,3,0
02-02-2020,4,1,0,0,0,0,4,1,0,0,4,1
02-03-2020,6,2,0,0,0,0,6,2,0,0,6,2
02-04-2020,6,0,0,0,0,0,6,0,0,0,6,0
02-05-2020,6,0,0,0,0,0,6,0,0,0,6,0
02-06-2020,6,0,0,0,0,0,6,0,0,0,6,0
02-07-2020,6,0,0,0,0,0,6,0,0,0,6,0
02-08-2020,6,0,0,0,0,0,6,0,0,0,6,0
02-09-2020,6,0,0,0,1,1,5,-1,0,0,6,0
02-10-2020,6,0,0,0,1,0,5,0,1,1,5,-1
02-11-2020,7,1,0,0,1,0,6,1,1,0,6,1
02-12-2020,8,1,0,0,1,0,7,1,1,0,7,1
02-13-2020,8,0,0,0,1,0,7,0,1,0,7,0
02-14-2020,8,0,0,0,2,1,6,-1,1,0,7,0
02-15-2020,8,0,0,0,2,0,6,0,1,0,7,0
02-16-2020,8,0,0,0,3,1,5,-1,1,0,7,0
02-17-2020,8,0,0,0,4,1,4,-1,1,0,7,0
02-18-2020,8,0,0,0,4,0,4,0,1,0,7,0
02-19-2020,8,0,0,0,4,0,4,0,1,0,7,0
02-20-2020,8,0,0,0,4,0,4,0,1,0,7,0
02-21-2020,10,2,0,0,4,0,6,2,2,1,8,1
02-22-2020,10,0,0,0,4,0,6,0,2,0,8,0
02-23-2020,10,0,0,0,5,1,5,-1,2,0,8,0
02-24-2020,10,0,0,0,5,0,5,0,2,0,8,0
02-25-2020,10,0,0,0,5,0,5,0,2,0,8,0
02-26-2020,11,1,0,0,6,1,5,0,2,0,9,1
02-27-2020,11,0,0,0,6,0,5,0,2,0,9,0
02-28-2020,12,1,0,0,6,0,6,1,2,0,10,1
02-29-2020,13,1,0,0,6,0,7,1,2,0,11,1
03-01-2020,16,3,0,0,7,1,9,2,2,0,14,3
03-02-2020,19,3,0,0,7,0,12,3,2,0,17,3
03-03-2020,26,7,0,0,7,0,19,7,2,0,24,7
03-04-2020,36,10,1,1,6,-1,29,10,2,0,33,9
03-05-2020,49,13,1,0,6,0,42,13,2,0,46,13
03-06-2020,66,17,1,0,7,1,58,16,2,0,63,17
03-07-2020,84,18,1,0,7,0,76,18,2,0,81,18
03-08-2020,99,15,1,0,8,1,90,14,2,0,96,15
03-09-2020,143,44,2,1,7,-1,134,44,2,0,139,43
03-10-2020,157,14,2,0,7,0,148,14,2,0,153,14
03-11-2020,177,20,4,2,6,-1,167,19,2,0,171,18
03-12-2020,243,66,4,0,6,0,233,66,2,0,237,66
03-13-2020,295,52,5,1,5,-1,285,52,2,0,288,51
03-14-2020,374,79,5,0,6,1,363,78,2,0,367,79
03-15-2020,458,84,6,1,8,2,444,81,2,0,450,83
03-16-2020,567,109,11,5,5,-3,551,107,2,0,554,104
03-17-2020,718,151,13,2,9,4,696,145,6,4,699,145
03-18-2020,864,146,17,4,13,4,834,138,6,0,841,142
03-19-2020,1041,177,19,2,22,9,1000,166,6,0,1016,175
03-20-2020,1247,206,24,5,31,9,1192,192,6,0,1217,201
03-21-2020,1518,271,28,4,41,10,1449,257,0,-6,1490,273
03-22-2020,1812,294,35,7,46,5,1731,282,0,0,1777,287
03-23-2020,2220,408,43,8,74,28,2103,372,0,0,2177,400
03-24-2020,2628,408,54,11,74,0,2500,397,0,0,2574,397
03-25-2020,3169,541,67,13,78,4,3024,524,0,0,3102,528
03-26-2020,4040,871,82,15,116,38,3842,818,0,0,3958,856
03-27-2020,4885,845,102,20,139,23,4644,802,0,0,4783,825
03-28-2020,5648,763,120,18,185,46,5343,699,0,0,5528,745
03-29-2020,6345,697,132,12,241,56,5972,629,0,0,6213,685
03-30-2020,7394,1049,149,17,313,72,6932,960,0,0,7245,1032
03-31-2020,8558,1164,182,33,403,90,7973,1041,0,0,8376,1131
04-01-2020,9907,1349,216,34,489,86,9202,1229,0,0,9691,1315
04-02-2020,11126,1219,244,28,606,117,10276,1074,0,0,10882,1191
04-03-2020,12507,1381,280,36,739,133,11488,1212,0,0,12227,1345
04-04-2020,13904,1397,324,44,917,178,12663,1175,0,0,13580,1353
04-05-2020,15158,1254,350,26,1132,215,13676,1013,0,0,14808,1228
04-06-2020,16349,1191,388,38,1430,298,14531,855,0,0,15961,1153
04-07-2020,17625,1276,452,64,1699,269,15474,943,341,341,16832,871
04-08-2020,19031,1406,507,55,2085,386,16439,965,459,118,18065,1233
04-09-2020,20169,1138,547,40,2759,674,16863,424,705,246,18917,852
04-10-2020,21408,1239,599,52,3399,640,17410,547,779,74,20030,1113
04-11-2020,22416,1008,634,35,3993,594,17789,379,942,163,20840,810
04-12-2020,23311,895,682,48,4522,529,18107,318,978,36,21651,811
04-13-2020,24372,1061,732,50,5337,815,18303,196,1116,138,22524,873
04-14-2020,25779,1407,790,58,6243,906,18746,443,1321,205,23668,1144
04-15-2020,27098,1319,890,100,7257,1014,18951,205,1258,-63,24950,1282
04-16-2020,28157,1059,973,83,8187,930,18997,46,1473,215,25711,761
04-17-2020,29425,1268,1057,84,9251,1064,19117,120,2560,1087,25808,97
04-18-2020,30812,1387,1148,91,10330,1079,19334,217,2740,180,26924,1116
04-19-2020,31531,719,1180,32,11356,1026,18995,-339,3053,313,27298,374
04-20-2020,33866,2335,1229,49,12331,975,20306,1311,3337,284,29300,2002
04-21-2020,35845,1979,1326,97,13326,995,21193,887,3345,8,31174,1874
04-22-2020,37701,1856,1439,113,14428,1102,21834,641,3580,235,32682,1508
04-23-2020,39561,1860,1533,94,15381,953,22647,813,3582,2,34446,1764
04-24-2020,41355,1794,1621,88,16418,1037,23316,669,3620,38,36114,1668
04-25-2020,42626,1271,1698,77,17268,850,23660,344,3621,1,37307,1193
04-26-2020,43720,1094,1723,25,18070,802,23927,267,3621,0,38376,1069
04-27-2020,45200,1480,1788,65,19016,946,24396,469,3636,15,39776,1400
04-28-2020,46164,964,1864,76,20251,1235,24049,-347,3636,0,40664,888
04-29-2020,48829,2665,1956,92,21423,1172,25450,1401,3636,0,43237,2573
04-30-2020,50411,1582,2046,90,22370,947,25995,545,3643,7,44722,1485
05-01-2020,52238,1827,2136,90,23511,1141,26591,596,3643,0,46459,1737
05-02-2020,53655,1417,2194,58,24786,1275,26675,84,3684,41,47777,1318
05-03-2020,54924,1269,2217,23,25535,749,27172,497,3684,0,49023,1246
05-04-2020,56135,1211,2289,72,27542,2007,26304,-868,3916,232,49930,907
05-05-2020,58685,2550,2388,99,29245,1703,27052,748,3956,40,52341,2411
05-06-2020,60616,1931,2464,76,30896,1651,27256,204,3975,19,54177,1836
05-07-2020,62360,1744,2546,82,32524,1628,27290,34,4071,96,55743,1566
05-08-2020,63779,1419,2613,67,34125,1601,27041,-249,4423,352,56743,1000
05-09-2020,66558,2779,2687,74,35260,1135,28611,1570,7559,3136,56312,-431
05-10-2020,67875,1317,2718,31,36275,1015,28882,271,8191,632,56966,654
05-11-2020,69347,1472,2779,61,37614,1339,28954,72,8219,28,58349,1383
05-12-2020,71047,1700,2882,103,38547,933,29618,664,9870,1651,58295,-54
05-13-2020,73144,2097,2974,92,40866,2319,29304,-314,9897,27,60273,1978
05-14-2020,74871,1727,3052,78,42279,1413,29540,236,11686,1789,60133,-140
05-15-2020,76902,2031,3153,101,43904,1625,29845,305,11713,27,62036,1903
05-16-2020,78789,1887,3208,55,45261,1357,30320,475,11954,241,63627,1591
05-17-2020,80166,1377,3240,32,46420,1159,30506,186,11954,0,64972,1345
05-18-2020,81828,1662,3287,47,47741,1321,30800,294,12031,77,66510,1538
05-19-2020,83845,2017,3419,132,50015,2274,30411,-389,12496,465,67930,1420
05-20-2020,85997,2152,3497,78,51831,1816,30669,258,12536,40,69964,2034
05-21-2020,88480,2483,3604,107,53454,1623,31422,753,12569,33,72307,2343
05-22-2020,90628,2148,3672,68,54849,1395,32107,685,12602,33,74354,2047
05-23-2020,92539,1911,3738,66,57262,2413,31539,-568,12602,0,76199,1845
