date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-06-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-07-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-08-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-09-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-10-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-11-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-12-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-13-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-14-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-15-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-16-2020,5,2,0,0,0,0,5,2,-1,-1,-1,-1
03-17-2020,5,0,0,0,0,0,5,0,-1,-1,-1,-1
03-18-2020,10,5,0,0,0,0,10,5,-1,-1,-1,-1
03-19-2020,15,5,0,0,0,0,15,5,-1,-1,-1,-1
03-20-2020,22,7,0,0,1,1,21,6,-1,-1,-1,-1
03-21-2020,27,5,0,0,1,0,26,5,-1,-1,-1,-1
03-22-2020,27,0,0,0,1,0,26,0,-1,-1,-1,-1
03-23-2020,40,13,0,0,1,0,39,13,-1,-1,-1,-1
03-24-2020,70,30,0,0,1,0,69,30,-1,-1,-1,-1
03-25-2020,70,0,1,1,0,-1,69,0,-1,-1,-1,-1
03-26-2020,75,5,1,0,0,0,74,5,-1,-1,-1,-1
03-27-2020,75,0,1,0,0,0,74,0,-1,-1,-1,-1
03-28-2020,75,0,1,0,1,1,73,-1,-1,-1,-1,-1
03-29-2020,91,16,2,1,0,-1,89,16,-1,-1,-1,-1
03-30-2020,113,22,2,0,2,2,109,20,-1,-1,-1,-1
03-31-2020,139,26,6,4,-1,-3,134,25,-1,-1,-1,-1
04-01-2020,139,0,6,0,2,3,131,-3,-1,-1,-1,-1
04-02-2020,139,0,6,0,6,4,127,-4,-1,-1,-1,-1
