date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-06-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-07-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-08-2020,1,0,0,0,0,0,1,0,0,0,1,0
03-09-2020,2,1,0,0,0,0,2,1,0,0,2,1
03-10-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-11-2020,3,1,0,0,0,0,3,1,0,0,3,1
03-12-2020,5,2,0,0,0,0,5,2,0,0,5,2
03-13-2020,11,6,0,0,0,0,11,6,0,0,11,6
03-14-2020,23,12,0,0,0,0,23,12,0,0,23,12
03-15-2020,26,3,0,0,0,0,26,3,0,0,26,3
03-16-2020,41,15,0,0,0,0,41,15,0,0,41,15
03-17-2020,68,27,0,0,0,0,68,27,0,0,68,27
03-18-2020,97,29,1,1,0,0,96,28,0,0,96,28
03-19-2020,159,62,3,2,0,0,156,60,0,0,156,60
03-20-2020,194,35,4,1,0,0,190,34,0,0,190,34
03-21-2020,223,29,5,1,0,0,218,28,0,0,218,28
03-22-2020,327,104,8,3,0,0,319,101,0,0,319,101
03-23-2020,415,88,10,2,0,0,405,86,0,0,405,86
03-24-2020,618,203,12,2,0,0,606,201,0,0,606,201
03-25-2020,875,257,19,7,0,0,856,250,0,0,856,250
03-26-2020,1012,137,21,2,0,0,991,135,0,0,991,135
03-27-2020,1291,279,27,6,0,0,1264,273,0,0,1264,273
03-28-2020,1524,233,33,6,0,0,1491,227,0,0,1491,227
03-29-2020,1993,469,34,1,0,0,1959,468,0,0,1959,468
03-30-2020,2571,578,36,2,0,0,2535,576,0,0,2535,576
03-31-2020,3128,557,69,33,0,0,3059,524,0,0,3059,524
04-01-2020,3557,429,85,16,0,0,3472,413,0,0,3472,413
04-02-2020,3824,267,112,27,16,16,3696,224,0,0,3712,240
04-03-2020,4914,1090,131,19,26,10,4757,1061,0,0,4783,1071
04-04-2020,5276,362,165,34,15,-11,5096,339,0,0,5111,328
04-05-2020,5675,399,189,24,76,61,5410,314,0,0,5486,375
04-06-2020,6906,1231,206,17,130,54,6570,1160,0,0,6700,1214
04-07-2020,7781,875,277,71,223,93,7281,711,0,0,7504,804
04-08-2020,8781,1000,335,58,374,151,8072,791,0,0,8446,942
04-09-2020,9784,1003,380,45,440,66,8964,892,0,0,9404,958
04-10-2020,10538,754,448,68,599,159,9491,527,0,0,10090,686
04-11-2020,11510,972,494,46,743,144,10273,782,34,34,10982,892
04-12-2020,12035,525,554,60,1063,320,10418,145,34,0,11447,465
04-13-2020,13381,1346,602,48,1486,423,11293,875,34,0,12745,1298
04-14-2020,13989,608,671,69,1872,386,11446,153,63,29,13255,510
04-15-2020,14755,766,868,197,2026,154,11861,415,63,0,13824,569
04-16-2020,15884,1129,971,103,2148,122,12765,904,63,0,14850,1026
04-17-2020,16809,925,1036,65,2971,823,12802,37,63,0,15710,860
04-18-2020,17550,741,1086,50,3218,247,13246,444,63,0,16401,691
04-19-2020,17962,412,1127,41,3515,297,13320,74,63,0,16772,371
04-20-2020,19815,1853,1331,204,4321,806,14163,843,63,0,18421,1649
04-21-2020,20360,545,1423,92,4966,645,13971,-192,63,0,18874,453
04-22-2020,22469,2109,1544,121,5691,725,15234,1263,63,0,20862,1988
04-23-2020,23100,631,1639,95,6427,736,15034,-200,63,0,21398,536
04-24-2020,23936,836,1767,128,6950,523,15219,185,63,0,22106,708
04-25-2020,24583,647,1865,98,7672,722,15046,-173,63,0,22655,549
04-26-2020,25269,686,1924,59,8104,432,15241,195,63,0,23282,627
04-27-2020,25997,728,2012,88,9188,1084,14797,-444,63,0,23922,640
04-28-2020,26312,315,2087,75,9685,497,14540,-257,63,0,24162,240
04-29-2020,26767,455,2168,81,10286,601,14313,-227,63,0,24536,374
04-30-2020,27700,933,2257,89,11152,866,14291,-22,63,0,25380,844
05-01-2020,28764,1064,2339,82,11973,821,14452,161,63,0,26362,982
05-02-2020,29287,523,2436,97,12529,556,14322,-130,63,0,26788,426
05-03-2020,29287,0,2436,0,12924,395,13927,-395,63,0,26788,0
05-04-2020,29973,686,2556,120,14481,1557,12936,-991,63,0,27354,566
05-05-2020,30621,648,2633,77,14978,497,13010,74,63,0,27925,571
05-06-2020,30995,374,2718,85,16754,1776,11523,-1487,63,0,28214,289
05-07-2020,31784,789,2797,79,17334,580,11653,130,63,0,28924,710
05-08-2020,32411,627,2874,77,18054,720,11483,-170,63,0,29474,550
05-09-2020,32984,573,2932,58,18667,613,11385,-98,63,0,29989,515
05-10-2020,33554,570,2967,35,19285,618,11302,-83,63,0,30524,535
05-11-2020,33765,211,3008,41,20051,766,10706,-596,63,0,30694,170
05-12-2020,34333,568,3041,33,20386,335,10906,200,63,0,31229,535
05-13-2020,34855,522,3125,84,20799,413,10931,25,63,0,31667,438
05-14-2020,35464,609,3219,94,21632,833,10613,-318,63,0,32182,515
05-15-2020,36085,621,3285,66,22612,980,10188,-425,63,0,32737,555
05-16-2020,36703,618,3339,54,23104,492,10260,72,63,0,33301,564
05-17-2020,37419,716,3408,69,23112,8,10899,639,63,0,33948,647
05-18-2020,38116,697,3449,41,23948,836,10719,-180,63,0,34604,656
05-19-2020,38430,314,3472,23,24570,622,10388,-331,63,0,34895,291
05-20-2020,39017,587,3529,57,25161,591,10327,-61,63,0,35425,530
05-21-2020,39208,191,3583,54,25885,724,9740,-587,63,0,35562,137
05-22-2020,39640,432,3637,54,26493,608,9510,-230,63,0,35940,378
05-23-2020,40022,382,3675,38,27059,566,9288,-222,63,0,36284,344
05-24-2020,40468,446,3693,18,27625,566,9150,-138,63,0,36712,428
05-25-2020,40873,405,3742,49,27916,291,9215,65,63,0,37068,356
05-26-2020,41303,430,3769,27,28423,507,9111,-104,63,0,37471,403
05-27-2020,41396,93,3803,34,28914,491,8679,-432,63,0,37530,59
05-28-2020,41559,163,3826,23,29572,658,8161,-518,63,0,37670,140
05-29-2020,41762,203,3868,42,30228,656,7666,-495,63,0,37831,161
05-30-2020,42022,260,3912,44,30795,567,7315,-351,63,0,38047,216
05-31-2020,42201,179,3944,32,31363,568,6894,-421,63,0,38194,147
06-01-2020,42740,539,3970,26,32090,727,6680,-214,63,0,38707,513
06-02-2020,42979,239,3972,2,32461,371,6546,-134,63,0,38944,237
06-03-2020,43091,112,3989,17,33077,616,6025,-521,63,0,39039,95
06-04-2020,43239,148,4007,18,33356,279,5876,-149,63,0,39169,130
06-05-2020,43460,221,4038,31,33804,448,5618,-258,63,0,39359,190
06-06-2020,43818,358,4055,17,34209,405,5554,-64,63,0,39700,341
06-07-2020,43968,150,4071,16,34669,460,5228,-326,63,0,39834,134
06-08-2020,44092,124,4084,13,35050,381,4958,-270,63,0,39945,111
06-09-2020,44179,87,4097,13,35480,430,4602,-356,63,0,40019,74
06-10-2020,44347,168,4120,23,35628,148,4599,-3,63,0,40164,145
06-11-2020,44461,114,4146,26,35866,238,4449,-150,63,0,40252,88
06-12-2020,44689,228,4159,13,36158,292,4372,-77,63,0,40467,215
06-13-2020,44994,305,4186,27,36454,296,4354,-18,63,0,40745,278
06-14-2020,45088,94,4201,15,36684,230,4203,-151,63,0,40824,79
06-15-2020,45235,147,4204,3,37250,566,3781,-422,63,0,40968,144
06-16-2020,45349,114,4210,6,37514,264,3625,-156,63,0,41076,108
06-17-2020,45429,80,4219,9,37696,182,3514,-111,63,0,41147,71
06-18-2020,45440,11,4226,7,37875,179,3339,-175,63,0,41151,4
06-19-2020,45557,117,4238,12,38134,259,3185,-154,63,0,41256,105
06-20-2020,45715,158,4251,13,38493,359,2971,-214,63,0,41401,145
06-21-2020,45755,40,4260,9,38697,204,2798,-173,63,0,41432,31
06-22-2020,45782,27,4263,3,38861,164,2658,-140,63,0,41456,24
06-23-2020,45899,117,4277,14,39007,146,2615,-43,63,0,41559,103
06-24-2020,45913,14,4287,10,39172,165,2454,-161,63,0,41563,4
06-25-2020,45994,81,4298,11,39306,134,2390,-64,63,0,41633,70
06-26-2020,46059,65,4307,9,39542,236,2210,-180,63,0,41689,56
06-27-2020,46206,147,4311,4,39852,310,2043,-167,63,0,41832,143
06-28-2020,46303,97,4316,5,39984,132,2003,-40,63,0,41924,92
06-29-2020,46362,59,4320,4,40209,225,1833,-170,63,0,41979,55
06-30-2020,46514,152,4322,2,40349,140,1843,10,63,0,42129,150
07-01-2020,46572,58,4324,2,40457,108,1791,-52,63,0,42185,56
07-02-2020,46646,74,4326,2,40494,37,1826,35,63,0,42257,72
07-03-2020,46717,71,4335,9,40632,138,1750,-76,63,0,42319,62
07-04-2020,46717,0,4335,0,40829,197,1553,-197,63,0,42319,0
07-05-2020,46717,0,4335,0,40905,76,1477,-76,63,0,42319,0
07-06-2020,46976,259,4338,3,40961,56,1677,200,63,0,42575,256
07-07-2020,47034,58,4338,0,41090,129,1606,-71,63,0,42633,58
07-08-2020,47108,74,4343,5,41124,34,1641,35,63,0,42702,69
07-09-2020,47209,101,4348,5,41209,85,1652,11,63,0,42798,96
07-10-2020,47287,78,4348,0,41304,95,1635,-17,63,0,42876,78
07-11-2020,47287,0,4348,0,41479,175,1460,-175,63,0,42876,0
07-12-2020,47287,0,4348,0,41579,100,1360,-100,63,0,42876,0
07-13-2020,47510,223,4371,23,41652,73,1487,127,63,0,43076,200
07-14-2020,47530,20,4372,1,41802,150,1356,-131,63,0,43095,19
07-15-2020,47636,106,4380,8,41857,55,1399,43,63,0,43193,98
07-16-2020,47750,114,4389,9,41917,60,1444,45,63,0,43298,105
07-17-2020,47893,143,4396,7,41995,78,1502,58,63,0,43434,136
07-18-2020,47893,0,4396,0,42035,40,1462,-40,63,0,43434,0
07-19-2020,47893,0,4396,0,42048,13,1449,-13,63,0,43434,0
07-20-2020,48055,162,4406,10,42258,210,1391,-58,63,0,43586,152
07-21-2020,48096,41,4406,0,42326,68,1364,-27,63,0,43627,41
07-22-2020,48223,127,4406,0,42396,70,1421,57,63,0,43754,127
07-23-2020,48232,9,4410,4,42491,95,1331,-90,63,0,43759,5
07-24-2020,48776,544,4413,3,42572,81,1791,460,63,0,44300,541
07-25-2020,48776,0,4413,0,42608,36,1755,-36,63,0,44300,0
07-26-2020,48776,0,4413,0,42626,18,1737,-18,63,0,44300,0
07-27-2020,48983,207,4418,5,42817,191,1748,11,63,0,44502,202
07-28-2020,49077,94,4423,5,42855,38,1799,51,63,0,44591,89
07-29-2020,49540,463,4425,2,42951,96,2164,365,63,0,45052,461
07-30-2020,49670,130,4431,6,43048,97,2191,27,63,0,45176,124
07-31-2020,49812,142,4432,1,43179,131,2201,10,63,0,45317,141
08-01-2020,49812,0,4432,0,43187,8,2193,-8,63,0,45317,0
08-02-2020,49812,0,4432,0,43189,2,2191,-2,63,0,45317,0
08-03-2020,50062,250,4437,5,43353,164,2272,81,63,0,45562,245
08-04-2020,50110,48,4437,0,43400,47,2273,1,63,0,45610,48
08-05-2020,50225,115,4437,0,43514,114,2274,1,63,0,45725,115
08-06-2020,50245,20,4437,0,43539,25,2269,-5,63,0,45745,20
08-07-2020,50320,75,4441,4,43990,451,1889,-380,63,0,45816,71
08-08-2020,50320,0,4441,0,43998,8,1881,-8,63,0,45816,0
08-09-2020,50320,0,4441,0,44002,4,1877,-4,63,0,45816,0
08-10-2020,50567,247,4444,3,44201,199,1922,45,63,0,46060,244
08-11-2020,50684,117,4444,0,44288,87,1952,30,63,0,46177,117
08-12-2020,50706,22,4450,6,44675,387,1581,-371,63,0,46193,16
08-13-2020,50782,76,4450,0,44800,125,1532,-49,63,0,46269,76
08-14-2020,50897,115,4453,3,44935,135,1509,-23,63,0,46381,112
08-15-2020,50897,0,4453,0,44935,0,1509,0,63,0,46381,0
08-16-2020,50897,0,4453,0,44935,0,1509,0,63,0,46381,0
08-17-2020,51267,370,4456,3,45170,235,1641,132,63,0,46748,367
08-18-2020,51268,1,4456,0,45218,48,1594,-47,63,0,46749,1
08-19-2020,51314,46,4457,1,45331,113,1526,-68,63,0,46794,45
08-20-2020,51432,118,4458,1,45353,22,1621,95,63,0,46911,117
08-21-2020,51519,87,4460,2,45492,139,1567,-54,63,0,46996,85
08-22-2020,51519,0,4460,0,45492,0,1567,0,63,0,46996,0
08-23-2020,51519,0,4460,0,45492,0,1567,0,63,0,46996,0
08-24-2020,52011,492,4460,0,45732,240,1819,252,63,0,47488,492
08-25-2020,52011,0,4460,0,45841,109,1710,-109,63,0,47488,0
