date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-12-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-14-2020,3,2,0,0,0,0,3,2,-1,-1,-1,-1
03-15-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-16-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
03-17-2020,6,3,0,0,0,0,6,3,-1,-1,-1,-1
03-18-2020,9,3,0,0,0,0,9,3,-1,-1,-1,-1
03-19-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-20-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-21-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-22-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-23-2020,25,16,0,0,0,0,25,16,-1,-1,-1,-1
03-24-2020,25,0,0,0,0,0,25,0,-1,-1,-1,-1
03-25-2020,72,47,0,0,0,0,72,47,-1,-1,-1,-1
03-26-2020,80,8,0,0,0,0,80,8,-1,-1,-1,-1
03-27-2020,80,0,0,0,0,0,80,0,-1,-1,-1,-1
03-28-2020,92,12,0,0,2,2,90,10,-1,-1,-1,-1
03-29-2020,140,48,0,0,2,0,138,48,-1,-1,-1,-1
03-30-2020,165,25,0,0,2,0,163,25,-1,-1,-1,-1
03-31-2020,169,4,0,0,4,2,165,2,-1,-1,-1,-1
04-01-2020,169,0,0,0,7,3,162,-3,-1,-1,-1,-1
04-02-2020,190,21,1,1,6,-1,183,21,-1,-1,-1,-1
04-03-2020,190,0,1,0,6,0,183,0,-1,-1,-1,-1
04-04-2020,218,28,1,0,6,0,211,28,-1,-1,-1,-1
04-05-2020,245,27,2,1,5,-1,238,27,-1,-1,-1,-1
04-06-2020,261,16,2,0,18,13,241,3,-1,-1,-1,-1
04-07-2020,323,62,3,1,17,-1,303,62,-1,-1,-1,-1
04-08-2020,349,26,3,0,55,38,291,-12,-1,-1,-1,-1
04-09-2020,384,35,3,0,61,6,320,29,-1,-1,-1,-1
04-10-2020,384,0,3,0,61,0,320,0,-1,-1,-1,-1
04-11-2020,480,96,3,0,71,10,406,86,-1,-1,-1,-1
04-12-2020,533,53,4,1,109,38,420,14,-1,-1,-1,-1
04-13-2020,533,0,4,0,130,21,399,-21,-1,-1,-1,-1
04-14-2020,626,93,6,2,131,1,489,90,-1,-1,-1,-1
04-15-2020,638,12,6,0,132,1,500,11,-1,-1,-1,-1
04-16-2020,654,16,6,0,149,17,499,-1,-1,-1,-1,-1
04-17-2020,688,34,6,0,149,0,533,34,-1,-1,-1,-1
04-18-2020,742,54,6,0,171,22,565,32,-1,-1,-1,-1
04-19-2020,742,0,6,0,193,22,543,-22,-1,-1,-1,-1
04-20-2020,847,105,9,3,205,12,633,90,-1,-1,-1,-1
04-21-2020,879,32,10,1,255,50,614,-19,-1,-1,-1,-1
04-22-2020,916,37,13,3,279,24,624,10,-1,-1,-1,-1
04-23-2020,952,36,14,1,308,29,630,6,-1,-1,-1,-1
04-24-2020,1004,52,14,0,308,0,682,52,-1,-1,-1,-1
04-25-2020,1077,73,14,0,387,79,676,-6,-1,-1,-1,-1
04-26-2020,1111,34,14,0,437,50,660,-16,-1,-1,-1,-1
04-27-2020,1150,39,14,0,440,3,696,36,-1,-1,-1,-1
04-28-2020,1164,14,14,0,517,77,633,-63,-1,-1,-1,-1
04-29-2020,1183,19,14,0,526,9,643,10,-1,-1,-1,-1
04-30-2020,1238,55,14,0,542,16,682,39,-1,-1,-1,-1
05-01-2020,1275,37,14,0,570,28,691,9,-1,-1,-1,-1
05-02-2020,1275,0,14,0,617,47,644,-47,-1,-1,-1,-1
05-03-2020,1362,87,15,1,620,3,727,83,-1,-1,-1,-1
05-04-2020,1398,36,17,2,706,86,675,-52,-1,-1,-1,-1
05-05-2020,1432,34,17,0,741,35,674,-1,-1,-1,-1,-1
05-06-2020,1464,32,18,1,776,35,670,-4,-1,-1,-1,-1
05-07-2020,1516,52,18,0,810,34,688,18,-1,-1,-1,-1
05-08-2020,1571,55,20,2,851,41,700,12,-1,-1,-1,-1
05-09-2020,1602,31,20,0,924,73,658,-42,-1,-1,-1,-1
05-10-2020,1667,65,21,1,960,36,686,28,-1,-1,-1,-1
05-11-2020,1700,33,21,0,993,33,686,0,-1,-1,-1,-1
05-12-2020,1730,30,21,0,1017,24,692,6,-1,-1,-1,-1
05-13-2020,1857,127,21,0,1035,18,801,109,-1,-1,-1,-1
05-14-2020,1912,55,24,3,1079,44,809,8,-1,-1,-1,-1
05-15-2020,1971,59,24,0,1114,35,833,24,-1,-1,-1,-1
05-16-2020,2017,46,24,0,1123,9,870,37,-1,-1,-1,-1
05-17-2020,2061,44,25,1,1194,71,842,-28,-1,-1,-1,-1
05-18-2020,2109,48,27,2,1237,43,845,3,-1,-1,-1,-1
05-19-2020,2119,10,28,1,1271,34,820,-25,-1,-1,-1,-1
05-20-2020,2153,34,28,0,1303,32,822,2,-1,-1,-1,-1
05-21-2020,2231,78,29,1,1351,48,851,29,-1,-1,-1,-1
05-22-2020,2301,70,29,0,1403,52,869,18,-1,-1,-1,-1
05-23-2020,2341,40,29,0,1443,40,869,0,-1,-1,-1,-1
05-24-2020,2366,25,30,1,1502,59,834,-35,-1,-1,-1,-1
05-25-2020,2376,10,30,0,1534,32,812,-22,-1,-1,-1,-1
05-26-2020,2423,47,30,0,1565,31,828,16,-1,-1,-1,-1
05-27-2020,2477,54,30,0,1671,106,776,-52,-1,-1,-1,-1
05-28-2020,2556,79,31,1,1723,52,802,26,-1,-1,-1,-1
05-29-2020,2641,85,32,1,1777,54,832,30,-1,-1,-1,-1
05-30-2020,2750,109,32,0,1817,40,901,69,-1,-1,-1,-1
05-31-2020,2799,49,33,1,1864,47,902,1,-1,-1,-1,-1
06-01-2020,2833,34,33,0,1913,49,887,-15,-1,-1,-1,-1
06-02-2020,2951,118,33,0,1927,14,991,104,-1,-1,-1,-1
06-03-2020,3024,73,33,0,1961,34,1030,39,-1,-1,-1,-1
06-04-2020,3110,86,35,2,2031,70,1044,14,-1,-1,-1,-1
06-05-2020,3262,152,35,0,2098,67,1129,85,-1,-1,-1,-1
06-06-2020,3431,169,36,1,2138,40,1257,128,-1,-1,-1,-1
06-07-2020,3557,126,36,0,2169,31,1352,95,-1,-1,-1,-1
06-08-2020,3739,182,36,0,2184,15,1519,167,-1,-1,-1,-1
06-09-2020,3881,142,38,2,2225,41,1618,99,-1,-1,-1,-1
06-10-2020,4181,300,41,3,2284,59,1856,238,2174,-1,1966,-1
06-11-2020,4404,223,41,0,2358,74,2005,149,2212,38,2151,185
06-12-2020,4684,280,45,4,2433,75,2206,201,2263,51,2376,225
06-13-2020,4848,164,45,0,2528,95,2275,69,2397,134,2406,30
06-14-2020,4848,0,45,0,2578,50,2225,-50,2397,0,2406,0
06-15-2020,5439,591,46,1,2613,35,2780,555,2590,193,2803,397
06-16-2020,5679,240,46,0,2712,99,2921,141,2637,47,2996,193
06-17-2020,6063,384,48,2,2776,64,3239,318,2749,112,3266,270
06-18-2020,6444,381,49,1,2863,87,3532,293,2863,114,3532,266
06-19-2020,6874,430,49,0,2993,130,3832,300,2942,79,3883,351
06-20-2020,7276,402,52,3,3134,141,4090,258,2992,50,4232,349
06-21-2020,7492,216,54,2,3241,107,4197,107,3068,76,4370,138
06-22-2020,7677,185,56,2,3390,149,4231,34,3128,60,4493,123
06-23-2020,7904,227,58,2,3511,121,4335,104,3493,365,4353,-140
06-24-2020,8164,260,58,0,3768,257,4338,3,3419,-74,4687,334
06-25-2020,8334,170,60,2,3960,192,4314,-24,3487,68,4787,100
06-26-2020,8739,405,64,4,4198,238,4477,163,3587,100,5088,301
06-27-2020,8739,0,64,0,4348,150,4327,-150,3587,0,5088,0
06-28-2020,9101,362,66,2,4355,7,4680,353,3808,221,5227,139
06-29-2020,9214,113,66,0,4841,486,4307,-373,3996,188,5152,-75
06-30-2020,9499,285,68,2,5051,210,4380,73,4273,277,5158,6
07-01-2020,9702,203,68,0,5374,323,4260,-120,4381,108,5253,95
07-02-2020,9702,0,68,0,5698,324,3936,-324,4381,0,5253,0
07-03-2020,10244,542,70,2,6069,371,4105,169,4726,345,5448,195
07-04-2020,10462,218,72,2,6418,349,3972,-133,4807,81,5583,135
07-05-2020,10772,310,74,2,6610,192,4088,116,5067,260,5631,48
07-06-2020,10966,194,75,1,6785,175,4106,18,5384,317,5507,-124
07-07-2020,10966,0,75,0,6991,206,3900,-206,5384,0,5507,0
07-08-2020,11504,538,78,3,7244,253,4182,282,5571,187,5855,348
07-09-2020,11504,0,78,0,7416,172,4010,-172,5571,0,5855,0
07-10-2020,12052,548,81,3,7785,369,4186,176,6080,509,5891,36
07-11-2020,12052,0,81,0,7813,28,4158,-28,6080,0,5891,0
07-12-2020,12052,0,81,0,8109,296,3862,-296,6080,0,5891,0
07-13-2020,12766,714,84,3,8282,173,4400,538,6080,0,6602,711
07-14-2020,12872,106,84,0,8552,270,4236,-164,6080,0,6708,106
07-15-2020,13037,165,87,3,8771,219,4179,-57,6080,0,6870,162
07-16-2020,13037,0,87,0,8829,58,4121,-58,6080,0,6870,0
07-17-2020,13554,517,87,0,9336,507,4131,10,7363,1283,6104,-766
07-18-2020,13912,358,91,4,9573,237,4248,117,8000,637,5821,-283
07-19-2020,14119,207,92,1,9860,287,4167,-81,8366,366,5661,-160
07-20-2020,14312,193,92,0,10052,192,4168,1,8659,293,5561,-100
07-21-2020,14531,219,93,1,10090,38,4348,180,8857,198,5581,20
07-22-2020,14733,202,93,0,10577,487,4063,-285,8995,138,5645,64
07-23-2020,15001,268,93,0,10612,35,4296,233,9282,287,5626,-19
07-24-2020,15253,252,94,1,11125,513,4034,-262,9499,217,5660,34
07-25-2020,15494,241,94,0,11133,8,4267,233,9880,381,5520,-140
