date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-11-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-12-2020,4,3,0,0,0,0,4,3,0,0,4,3
03-13-2020,4,0,0,0,0,0,4,0,0,0,4,0
03-14-2020,6,2,0,0,0,0,6,2,0,0,6,2
03-15-2020,7,1,0,0,0,0,7,1,0,0,7,1
03-16-2020,8,1,0,0,0,0,8,1,0,0,8,1
03-17-2020,16,8,0,0,0,0,16,8,0,0,16,8
03-18-2020,26,10,0,0,0,0,26,10,0,0,26,10
03-19-2020,30,4,0,0,0,0,30,4,0,0,30,4
03-20-2020,39,9,0,0,0,0,39,9,0,0,39,9
03-21-2020,45,6,0,0,0,0,45,6,0,0,45,6
03-22-2020,56,11,0,0,0,0,56,11,0,0,56,11
03-23-2020,87,31,0,0,0,0,87,31,0,0,87,31
03-24-2020,104,17,0,0,0,0,104,17,0,0,104,17
03-25-2020,119,15,0,0,0,0,119,15,0,0,119,15
03-26-2020,143,24,1,1,2,2,140,21,0,0,142,23
03-27-2020,165,22,2,1,1,-1,162,22,0,0,163,21
03-28-2020,214,49,5,3,0,-1,209,47,0,0,209,46
03-29-2020,232,18,6,1,0,0,226,17,0,0,226,17
03-30-2020,264,32,7,1,0,0,257,31,0,0,257,31
03-31-2020,319,55,10,3,2,2,307,50,0,0,309,52
04-01-2020,368,49,11,1,10,8,347,40,0,0,357,48
04-02-2020,393,25,12,1,12,2,369,22,0,0,381,24
04-03-2020,450,57,14,2,17,5,419,50,0,0,436,55
04-04-2020,593,143,14,0,22,5,557,138,0,0,579,143
04-05-2020,673,80,14,0,31,9,628,71,0,0,659,80
04-06-2020,783,110,15,1,55,24,713,85,0,0,768,109
04-07-2020,928,145,16,1,144,89,768,55,144,144,768,0
04-08-2020,1116,188,19,3,159,15,938,170,159,15,938,170
04-09-2020,1209,93,23,4,159,0,1027,89,159,0,1027,89
04-10-2020,1326,117,32,9,177,18,1117,90,177,18,1117,90
04-11-2020,1479,153,33,1,191,14,1255,138,191,14,1255,138
04-12-2020,1625,146,35,2,213,22,1377,122,213,22,1377,122
04-13-2020,1761,136,41,6,277,64,1443,66,277,64,1443,66
04-14-2020,1926,165,43,2,319,42,1564,121,319,42,1564,121
04-15-2020,2014,88,46,3,354,35,1614,50,354,35,1614,50
04-16-2020,2075,61,52,6,378,24,1645,31,378,24,1645,31
04-17-2020,2323,248,61,9,378,0,1884,239,378,0,1884,239
04-18-2020,2538,215,67,6,466,88,2005,121,466,88,2005,121
04-19-2020,2538,0,67,0,485,19,1986,-19,466,0,2005,0
04-20-2020,2745,207,72,5,574,89,2099,113,495,29,2178,173
04-21-2020,2931,186,82,10,684,110,2165,66,565,70,2284,106
04-22-2020,3200,269,89,7,831,147,2280,115,599,34,2512,228
04-23-2020,3308,108,92,3,907,76,2309,29,643,44,2573,61
04-24-2020,3442,134,100,8,997,90,2345,36,703,60,2639,66
04-25-2020,3576,134,112,12,1116,119,2348,3,809,106,2655,16
04-26-2020,4034,458,120,8,1229,113,2685,337,911,102,3003,348
04-27-2020,4162,128,125,5,1338,109,2699,14,996,85,3041,38
04-28-2020,4575,413,137,12,1468,130,2970,271,1096,100,3342,301
