date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-27-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
02-28-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
02-29-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-01-2020,4,1,0,0,0,0,4,1,-1,-1,-1,-1
03-02-2020,5,1,0,0,0,0,5,1,-1,-1,-1,-1
03-03-2020,8,3,0,0,0,0,8,3,-1,-1,-1,-1
03-04-2020,10,2,0,0,0,0,10,2,-1,-1,-1,-1
03-05-2020,18,8,0,0,0,0,18,8,-1,-1,-1,-1
03-06-2020,23,5,0,0,0,0,23,5,-1,-1,-1,-1
03-07-2020,31,8,0,0,0,0,31,8,-1,-1,-1,-1
03-08-2020,36,5,0,0,0,0,36,5,-1,-1,-1,-1
03-09-2020,90,54,0,0,0,0,90,54,-1,-1,-1,-1
03-10-2020,262,172,0,0,0,0,262,172,-1,-1,-1,-1
03-11-2020,538,276,0,0,0,0,538,276,-1,-1,-1,-1
03-12-2020,674,136,0,0,0,0,674,136,-1,-1,-1,-1
03-13-2020,801,127,0,0,1,1,800,126,-1,-1,-1,-1
03-14-2020,827,26,0,0,2,1,825,25,-1,-1,-1,-1
03-15-2020,864,37,1,1,2,0,861,36,-1,-1,-1,-1
03-16-2020,898,34,1,0,3,1,894,33,-1,-1,-1,-1
03-17-2020,977,79,4,3,2,-1,971,77,-1,-1,-1,-1
03-18-2020,1044,67,4,0,4,2,1036,65,-1,-1,-1,-1
03-19-2020,1132,88,6,2,8,4,1118,82,-1,-1,-1,-1
03-20-2020,1255,123,9,3,9,1,1237,119,-1,-1,-1,-1
03-21-2020,1326,71,13,4,12,3,1301,64,-1,-1,-1,-1
03-22-2020,1326,0,13,0,16,4,1297,-4,-1,-1,-1,-1
03-23-2020,1395,69,13,0,59,43,1323,26,-1,-1,-1,-1
03-24-2020,1460,65,24,11,188,129,1248,-75,-1,-1,-1,-1
03-25-2020,1591,131,32,8,403,215,1156,-92,-1,-1,-1,-1
03-26-2020,1724,133,34,2,512,109,1178,22,-1,-1,-1,-1
03-27-2020,1877,153,41,7,608,96,1228,50,-1,-1,-1,-1
03-28-2020,2046,169,52,11,618,10,1376,148,-1,-1,-1,-1
03-29-2020,2201,155,65,13,635,17,1501,125,-1,-1,-1,-1
03-30-2020,2395,194,72,7,656,21,1667,166,-1,-1,-1,-1
03-31-2020,2577,182,77,5,715,59,1785,118,-1,-1,-1,-1
04-01-2020,2860,283,90,13,757,42,2013,228,-1,-1,-1,-1
04-02-2020,3107,247,104,14,815,58,2188,175,-1,-1,-1,-1
04-03-2020,3386,279,123,19,896,81,2367,179,-1,-1,-1,-1
04-04-2020,3757,371,139,16,939,43,2679,312,-1,-1,-1,-1
04-05-2020,4077,320,161,22,918,-21,2998,319,-1,-1,-1,-1
04-06-2020,4369,292,179,18,963,45,3227,229,-1,-1,-1,-1
04-07-2020,4681,312,187,8,1032,69,3462,235,-1,-1,-1,-1
04-08-2020,5071,390,203,16,1161,129,3707,245,-1,-1,-1,-1
04-09-2020,5402,331,218,15,1272,111,3912,205,-1,-1,-1,-1
04-10-2020,5635,233,237,19,1395,123,4003,91,-1,-1,-1,-1
04-11-2020,5819,184,247,10,1526,131,4046,43,-1,-1,-1,-1
04-12-2020,5996,177,260,13,1643,117,4093,47,-1,-1,-1,-1
04-13-2020,6174,178,273,13,1792,149,4109,16,-1,-1,-1,-1
04-14-2020,6318,144,285,12,1939,147,4094,-15,-1,-1,-1,-1
04-15-2020,6511,193,299,14,2164,225,4048,-46,-1,-1,-1,-1
04-16-2020,6681,170,309,10,2367,203,4005,-43,-1,-1,-1,-1
04-17-2020,6879,198,321,12,2598,231,3960,-45,-1,-1,-1,-1
04-18-2020,7073,194,336,15,2894,296,3843,-117,-1,-1,-1,-1
04-19-2020,7242,169,346,10,3143,249,3753,-90,-1,-1,-1,-1
04-20-2020,7384,142,355,9,3383,240,3646,-107,-1,-1,-1,-1
04-21-2020,7515,131,364,9,3645,262,3506,-140,-1,-1,-1,-1
