date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-07-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-08-2020,2,1,0,0,0,0,2,1,0,0,2,1
03-09-2020,5,3,0,0,0,0,5,3,0,0,5,3
03-10-2020,5,0,0,0,0,0,5,0,0,0,5,0
03-11-2020,10,5,0,0,0,0,10,5,0,0,10,5
03-12-2020,10,0,0,0,0,0,10,0,0,0,10,0
03-13-2020,10,0,0,0,0,0,10,0,0,0,10,0
03-14-2020,16,6,0,0,0,0,16,6,0,0,16,6
03-15-2020,17,1,0,0,0,0,17,1,0,0,17,1
03-16-2020,22,5,0,0,0,0,22,5,0,0,22,5
03-17-2020,31,9,0,0,0,0,31,9,0,0,31,9
03-18-2020,40,9,0,0,0,0,40,9,0,0,40,9
03-19-2020,71,31,0,0,0,0,71,31,0,0,71,31
03-20-2020,77,6,1,1,0,0,76,5,0,0,76,5
03-21-2020,98,21,1,0,0,0,97,21,0,0,97,21
03-22-2020,120,22,2,1,0,0,118,21,0,0,118,21
03-23-2020,141,21,2,0,2,2,137,19,0,0,139,21
03-24-2020,187,46,2,0,2,0,183,46,0,0,185,46
03-25-2020,231,44,3,1,5,3,223,40,0,0,228,43
03-26-2020,267,36,3,0,5,0,259,36,0,0,264,36
03-27-2020,304,37,4,1,4,-1,296,37,0,0,300,36
03-28-2020,342,38,4,0,8,4,330,34,0,0,338,38
03-29-2020,401,59,9,5,4,-4,388,58,0,0,392,54
03-30-2020,495,94,9,0,8,4,478,90,0,0,486,94
03-31-2020,507,12,9,0,16,8,482,4,0,0,498,12
04-01-2020,586,79,11,2,21,5,554,72,0,0,575,77
04-02-2020,653,67,12,1,45,24,596,42,0,0,641,66
04-03-2020,757,104,15,3,47,2,695,99,0,0,742,101
04-04-2020,902,145,21,6,58,11,823,128,0,0,881,139
04-05-2020,1002,100,22,1,75,17,905,82,0,0,980,99
04-06-2020,1097,95,24,2,90,15,983,78,0,0,1073,93
04-07-2020,1211,114,22,-2,318,228,871,-112,318,318,871,-202
04-08-2020,1440,229,27,5,361,43,1052,181,361,43,1052,181
04-09-2020,1523,83,32,5,393,32,1098,46,393,32,1098,46
04-10-2020,1660,137,38,6,426,33,1196,98,426,33,1196,98
04-11-2020,1778,118,47,9,447,21,1284,88,447,21,1284,88
04-12-2020,1875,97,50,3,493,46,1332,48,493,46,1332,48
04-13-2020,1955,80,52,2,507,14,1396,64,507,14,1396,64
04-14-2020,2058,103,67,15,518,11,1473,77,518,11,1473,77
04-15-2020,2197,139,72,5,530,12,1595,122,530,12,1595,122
04-16-2020,2350,153,81,9,552,22,1717,122,552,22,1717,122
04-17-2020,2476,126,86,5,573,21,1817,100,573,21,1817,100
04-18-2020,2666,190,91,5,653,80,1922,105,608,35,1967,150
04-19-2020,2793,127,96,5,732,79,1965,43,622,14,2075,108
04-20-2020,2927,134,105,9,803,71,2019,54,630,8,2192,117
04-21-2020,3098,171,112,7,895,92,2091,72,636,6,2350,158
04-22-2020,3206,108,127,15,1072,177,2007,-84,645,9,2434,84
04-23-2020,3361,155,139,12,1132,60,2090,83,648,3,2574,140
04-24-2020,3528,167,153,14,1234,102,2141,51,651,3,2724,150
