date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
02-29-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-02-2020,6,5,0,0,0,0,6,5,-1,-1,-1,-1
03-03-2020,7,1,0,0,0,0,7,1,-1,-1,-1,-1
03-04-2020,7,0,0,0,0,0,7,0,-1,-1,-1,-1
03-05-2020,13,6,0,0,0,0,13,6,-1,-1,-1,-1
03-06-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-07-2020,14,1,0,0,0,0,14,1,-1,-1,-1,-1
03-08-2020,14,0,0,0,0,0,14,0,-1,-1,-1,-1
03-09-2020,15,1,0,0,0,0,15,1,-1,-1,-1,-1
03-10-2020,15,0,0,0,0,0,15,0,-1,-1,-1,-1
03-11-2020,15,0,0,0,0,0,15,0,-1,-1,-1,-1
03-12-2020,17,2,0,0,0,0,17,2,-1,-1,-1,-1
03-13-2020,23,6,0,0,0,0,23,6,-1,-1,-1,-1
03-14-2020,23,0,0,0,0,0,23,0,-1,-1,-1,-1
03-15-2020,23,0,0,0,0,0,23,0,-1,-1,-1,-1
03-16-2020,37,14,2,2,2,2,33,10,-1,-1,-1,-1
03-17-2020,58,21,2,0,3,1,53,20,-1,-1,-1,-1
03-18-2020,155,97,2,0,3,0,150,97,-1,-1,-1,-1
03-19-2020,199,44,3,1,7,4,189,39,-1,-1,-1,-1
03-20-2020,367,168,5,2,5,-2,357,168,-1,-1,-1,-1
03-21-2020,506,139,7,2,4,-1,495,138,-1,-1,-1,-1
03-22-2020,506,0,7,0,4,0,495,0,-1,-1,-1,-1
03-23-2020,532,26,7,0,5,1,520,25,-1,-1,-1,-1
03-24-2020,1049,517,8,1,4,-1,1037,517,-1,-1,-1,-1
03-25-2020,1049,0,8,0,4,0,1037,0,-1,-1,-1,-1
03-26-2020,1211,162,8,0,5,1,1198,161,-1,-1,-1,-1
03-27-2020,1211,0,8,0,10,5,1193,-5,-1,-1,-1,-1
03-28-2020,1595,384,8,0,10,0,1577,384,-1,-1,-1,-1
03-29-2020,1823,228,8,0,10,0,1805,228,-1,-1,-1,-1
03-30-2020,1835,12,8,0,22,12,1805,0,-1,-1,-1,-1
03-31-2020,1962,127,8,0,39,17,1915,110,-1,-1,-1,-1
04-01-2020,2240,278,8,0,118,79,2114,199,-1,-1,-1,-1
04-02-2020,2372,132,79,71,84,-34,2209,95,-1,-1,-1,-1
04-03-2020,3163,791,120,41,179,95,2864,655,-1,-1,-1,-1
04-04-2020,3163,0,120,0,291,112,2752,-112,-1,-1,-1,-1
04-05-2020,3465,302,172,52,239,-52,3054,302,-1,-1,-1,-1
04-06-2020,3465,0,172,0,261,22,3032,-22,-1,-1,-1,-1
04-07-2020,3747,282,191,19,660,399,2896,-136,-1,-1,-1,-1
04-08-2020,3747,0,191,0,660,0,2896,0,-1,-1,-1,-1
