date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-05-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-08-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-09-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-10-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-11-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-12-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-13-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
03-14-2020,9,6,0,0,0,0,9,6,-1,-1,-1,-1
03-15-2020,9,0,0,0,0,0,9,0,-1,-1,-1,-1
03-16-2020,11,2,0,0,0,0,11,2,-1,-1,-1,-1
03-17-2020,47,36,0,0,0,0,47,36,-1,-1,-1,-1
03-18-2020,58,11,0,0,0,0,58,11,-1,-1,-1,-1
03-19-2020,72,14,0,0,0,0,72,14,-1,-1,-1,-1
03-20-2020,80,8,0,0,0,0,80,8,-1,-1,-1,-1
03-21-2020,92,12,0,0,0,0,92,12,-1,-1,-1,-1
03-22-2020,92,0,0,0,1,1,91,-1,-1,-1,-1,-1
03-23-2020,115,23,0,0,1,0,114,23,-1,-1,-1,-1
03-24-2020,118,3,0,0,1,0,117,3,-1,-1,-1,-1
03-25-2020,122,4,0,0,1,0,121,4,-1,-1,-1,-1
03-26-2020,132,10,0,0,1,0,131,10,-1,-1,-1,-1
03-27-2020,140,8,0,0,2,1,138,7,-1,-1,-1,-1
03-28-2020,144,4,0,0,7,5,137,-1,-1,-1,-1,-1
03-29-2020,155,11,0,0,7,0,148,11,-1,-1,-1,-1
03-30-2020,159,4,0,0,8,1,151,3,-1,-1,-1,-1
03-31-2020,168,9,0,0,38,30,130,-21,-1,-1,-1,-1
04-01-2020,169,1,0,0,46,8,123,-7,-1,-1,-1,-1
04-02-2020,173,4,0,0,58,12,115,-8,-1,-1,-1,-1
04-03-2020,177,4,0,0,64,6,113,-2,-1,-1,-1,-1
04-04-2020,179,2,0,0,74,10,105,-8,-1,-1,-1,-1
04-05-2020,181,2,0,0,74,0,107,2,-1,-1,-1,-1
04-06-2020,181,0,0,0,93,19,88,-19,-1,-1,-1,-1
04-07-2020,181,0,0,0,95,2,86,-2,-1,-1,-1,-1
04-08-2020,184,3,0,0,99,4,85,-1,-1,-1,-1,-1
