date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-29-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
01-30-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-31-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-01-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-02-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-03-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-04-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-05-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-06-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-07-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-08-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-09-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-10-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-13-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-14-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-15-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-16-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-17-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-18-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-19-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-20-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-21-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-22-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-23-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-24-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-25-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
02-26-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
02-27-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-28-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-29-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-01-2020,6,4,0,0,0,0,6,4,-1,-1,-1,-1
03-02-2020,7,1,0,0,0,0,7,1,-1,-1,-1,-1
03-03-2020,7,0,0,0,0,0,7,0,-1,-1,-1,-1
03-04-2020,7,0,0,0,0,0,7,0,-1,-1,-1,-1
03-05-2020,12,5,0,0,0,0,12,5,-1,-1,-1,-1
03-06-2020,19,7,0,0,0,0,19,7,-1,-1,-1,-1
03-07-2020,19,0,0,0,0,0,19,0,-1,-1,-1,-1
03-08-2020,30,11,0,0,0,0,30,11,-1,-1,-1,-1
03-09-2020,40,10,0,0,0,0,40,10,-1,-1,-1,-1
03-10-2020,40,0,0,0,0,0,40,0,-1,-1,-1,-1
03-11-2020,40,0,0,0,1,1,39,-1,-1,-1,-1,-1
