date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-01-2020,2,2,0,0,0,0,2,2,0,0,2,2
03-02-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-03-2020,3,1,0,0,0,0,3,1,0,0,3,1
03-04-2020,3,0,0,0,0,0,3,0,0,0,3,0
03-05-2020,4,1,0,0,0,0,4,1,0,0,4,1
03-06-2020,7,3,2,2,0,0,5,1,0,0,5,1
03-07-2020,11,4,2,0,0,0,9,4,0,0,9,4
03-08-2020,13,2,2,0,0,0,11,2,0,0,11,2
03-09-2020,14,1,2,0,0,0,12,1,0,0,12,1
03-10-2020,15,1,2,0,0,0,13,1,0,0,13,1
03-11-2020,29,14,2,0,0,0,27,14,0,0,27,14
03-12-2020,50,21,2,0,0,0,48,21,0,0,48,21
03-13-2020,51,1,3,1,0,0,48,0,0,0,48,0
03-14-2020,116,65,4,1,0,0,112,64,0,0,112,64
03-15-2020,149,33,5,1,0,0,144,32,0,0,144,32
03-16-2020,162,13,5,0,0,0,157,13,0,0,157,13
03-17-2020,217,55,7,2,0,0,210,53,0,0,210,53
03-18-2020,328,111,8,1,0,0,320,110,0,0,320,110
03-19-2020,432,104,9,1,0,0,423,103,0,0,423,103
03-20-2020,563,131,11,2,0,0,552,129,0,0,552,129
03-21-2020,763,200,13,2,0,0,750,198,0,0,750,198
03-22-2020,1007,244,13,0,0,0,994,244,0,0,994,244
03-23-2020,1227,220,18,5,0,0,1209,215,0,0,1209,215
03-24-2020,1467,240,23,5,0,0,1444,235,0,0,1444,235
03-25-2020,1978,511,23,0,0,0,1955,511,0,0,1955,511
03-26-2020,2484,506,29,6,11,11,2444,489,0,0,2455,500
03-27-2020,3198,714,46,17,0,-11,3152,708,0,0,3152,697
03-28-2020,4038,840,54,8,39,39,3945,793,0,0,3984,832
03-29-2020,4950,912,60,6,60,21,4830,885,0,0,4890,906
03-30-2020,5704,754,71,11,60,0,5573,743,0,0,5633,743
03-31-2020,6741,1037,85,14,91,31,6565,992,0,0,6656,1023
04-01-2020,7773,1032,101,16,165,74,7507,942,0,0,7672,1016
04-02-2020,9008,1235,144,43,206,41,8658,1151,0,0,8864,1192
04-03-2020,10268,1260,170,26,287,81,9811,1153,0,0,10098,1234
04-04-2020,11545,1277,195,25,424,137,10926,1115,0,0,11350,1252
04-05-2020,12350,805,221,26,596,172,11533,607,0,0,12129,779
04-06-2020,13629,1279,254,33,741,145,12634,1101,0,0,13375,1246
04-07-2020,14747,1118,296,42,894,153,13557,923,0,0,14451,1076
04-08-2020,15698,951,323,27,1283,389,14092,535,0,0,15375,924
04-09-2020,16826,1128,371,48,1648,365,14807,715,0,0,16455,1080
04-10-2020,17968,1142,419,48,2178,530,15371,564,0,0,17549,1094
04-11-2020,18986,1018,446,27,2841,663,15699,328,0,0,18540,991
