date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,1,1,0,0,0,0,1,1,0,0,1,1
01-23-2020,5,4,0,0,0,0,5,4,0,0,5,4
01-24-2020,10,5,0,0,0,0,10,5,0,0,10,5
01-25-2020,18,8,0,0,0,0,18,8,0,0,18,8
01-26-2020,35,17,0,0,0,0,35,17,0,0,35,17
01-27-2020,59,24,0,0,0,0,59,24,0,0,59,24
01-28-2020,82,23,0,0,0,0,82,23,0,0,82,23
01-29-2020,101,19,0,0,0,0,101,19,0,0,101,19
01-30-2020,101,0,0,0,0,0,101,0,0,0,101,0
01-31-2020,120,19,0,0,0,0,120,19,0,0,120,19
02-01-2020,159,39,0,0,0,0,159,39,0,0,159,39
02-02-2020,159,0,0,0,0,0,159,0,0,0,159,0
02-03-2020,179,20,0,0,1,1,178,19,1,1,178,19
02-04-2020,194,15,0,0,3,2,191,13,3,2,191,13
02-05-2020,205,11,0,0,11,8,194,3,11,8,194,3
02-06-2020,215,10,0,0,14,3,201,7,14,3,201,7
02-07-2020,224,9,0,0,20,6,204,3,20,6,204,3
02-08-2020,250,26,0,0,26,6,224,20,26,6,224,20
02-09-2020,261,11,0,0,35,9,226,2,35,9,226,2
02-10-2020,261,0,0,0,47,12,214,-12,39,4,222,-4
02-11-2020,272,11,0,0,66,19,206,-8,46,7,226,4
02-12-2020,279,7,0,0,81,15,198,-8,54,8,225,-1
02-13-2020,281,2,0,0,81,0,200,2,59,5,222,-3
02-14-2020,285,4,0,0,97,16,188,-12,66,7,219,-3
02-15-2020,287,2,0,0,128,31,159,-29,77,11,210,-9
02-16-2020,290,3,0,0,128,0,162,3,84,7,206,-4
02-17-2020,292,2,0,0,144,16,148,-14,91,7,201,-5
02-18-2020,293,1,0,0,157,13,136,-12,96,5,197,-4
02-19-2020,293,0,1,1,165,8,127,-9,112,16,180,-17
02-20-2020,293,0,1,0,173,8,119,-8,134,22,158,-22
02-21-2020,293,0,1,0,181,8,111,-8,150,16,142,-16
02-22-2020,293,0,1,0,204,23,88,-23,165,15,127,-15
02-23-2020,293,0,1,0,215,11,77,-11,174,9,118,-9
02-24-2020,294,1,1,0,218,3,75,-2,188,14,105,-13
02-25-2020,294,0,1,0,230,12,63,-12,205,17,88,-17
02-26-2020,296,2,1,0,239,9,56,-7,225,20,70,-18
02-27-2020,296,0,1,0,240,1,55,-1,232,7,63,-7
02-28-2020,296,0,1,0,246,6,49,-6,241,9,54,-9
02-29-2020,296,0,1,0,253,7,42,-7,243,2,52,-2
03-01-2020,296,0,1,0,256,3,39,-3,247,4,48,-4
03-02-2020,296,0,1,0,260,4,35,-4,255,8,40,-8
03-03-2020,296,0,1,0,263,3,32,-3,261,6,34,-6
03-04-2020,296,0,1,0,270,7,25,-7,270,9,25,-9
03-05-2020,296,0,1,0,278,8,17,-8,278,8,17,-8
03-06-2020,296,0,1,0,284,6,11,-6,284,6,11,-6
03-07-2020,296,0,1,0,284,0,11,0,284,0,11,0
03-08-2020,296,0,1,0,295,11,0,-11,295,11,0,-11
03-09-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-10-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-11-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-12-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-13-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-14-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-15-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-16-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-17-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-18-2020,296,0,1,0,295,0,0,0,295,0,0,0
03-19-2020,299,3,1,0,295,0,3,3,295,0,3,3
