date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-02-2020,2,2,0,0,0,0,2,2,0,0,2,2
03-03-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-04-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-05-2020,2,0,0,0,0,0,2,0,0,0,2,0
03-06-2020,3,1,0,0,0,0,3,1,0,0,3,1
03-07-2020,5,2,0,0,0,0,5,2,0,0,5,2
03-08-2020,7,2,0,0,0,0,7,2,0,0,7,2
03-09-2020,17,10,0,0,0,0,17,10,0,0,17,10
03-10-2020,17,0,0,0,0,0,17,0,0,0,17,0
03-11-2020,31,14,0,0,0,0,31,14,0,0,31,14
03-12-2020,38,7,1,1,0,0,37,6,0,0,37,6
03-13-2020,42,4,1,0,0,0,41,4,0,0,41,4
03-14-2020,75,33,1,0,0,0,74,33,0,0,74,33
03-15-2020,111,36,1,0,0,0,110,36,0,0,110,36
03-16-2020,123,12,1,0,0,0,122,12,0,0,122,12
03-17-2020,146,23,1,0,0,0,145,23,0,0,145,23
03-18-2020,197,51,4,3,0,0,193,48,0,0,193,48
03-19-2020,288,91,10,6,0,0,278,85,0,0,278,85
03-20-2020,485,197,14,4,0,0,471,193,0,0,471,193
03-21-2020,555,70,20,6,0,0,535,64,0,0,535,64
03-22-2020,621,66,25,5,0,0,596,61,0,0,596,61
03-23-2020,803,182,26,1,0,0,777,181,0,0,777,181
03-24-2020,1097,294,38,12,0,0,1059,282,0,0,1059,282
03-25-2020,1387,290,47,9,0,0,1340,281,0,0,1340,281
03-26-2020,1643,256,56,9,0,0,1587,247,0,0,1587,247
03-27-2020,2198,555,65,9,0,0,2133,546,0,0,2133,546
03-28-2020,2446,248,79,14,0,0,2367,234,0,0,2367,234
03-29-2020,2683,237,84,5,5,5,2594,227,0,0,2599,232
03-30-2020,3032,349,102,18,0,-5,2930,336,0,0,2930,331
03-31-2020,4117,1085,125,23,0,0,3992,1062,0,0,3992,1062
04-01-2020,4748,631,154,29,5,5,4589,597,0,0,4594,602
04-02-2020,5444,696,176,22,57,52,5211,622,0,0,5268,674
04-03-2020,5967,523,198,22,195,138,5574,363,0,0,5769,501
04-04-2020,6383,416,208,10,242,47,5933,359,0,0,6175,406
04-05-2020,6742,359,219,11,284,42,6239,306,0,0,6523,348
04-06-2020,7558,816,294,75,358,74,6906,667,0,0,7264,741
04-07-2020,9156,1598,348,54,542,184,8266,1360,0,0,8808,1544
04-08-2020,10206,1050,370,22,757,215,9079,813,0,0,9836,1028
04-09-2020,10885,679,412,42,924,167,9549,470,0,0,10473,637
04-10-2020,11859,974,425,13,1361,437,10073,524,0,0,11434,961
04-11-2020,12261,402,433,8,1558,197,10270,197,340,340,11488,54
04-12-2020,12550,289,442,9,1746,188,10362,92,340,0,11768,280
04-13-2020,13621,1071,480,38,1993,247,11148,786,340,0,12801,1033
04-14-2020,14578,957,525,45,2830,837,11223,75,340,0,13713,912
04-15-2020,15267,689,576,51,3297,467,11394,171,340,0,14351,638
04-16-2020,16368,1101,617,41,3833,536,11918,524,340,0,15411,1060
04-17-2020,17432,1064,668,51,4233,400,12531,613,340,0,16424,1013
04-18-2020,17841,409,677,9,4571,338,12593,62,340,0,16824,400
04-19-2020,18301,460,687,10,4861,290,12753,160,340,0,17274,450
04-20-2020,19398,1097,774,87,5461,600,13163,410,340,0,18284,1010
04-21-2020,20166,768,818,44,6752,1291,12596,-567,340,0,19008,724
04-22-2020,21102,936,846,28,7616,864,12640,44,340,0,19916,908
04-23-2020,21883,781,881,35,8167,551,12835,195,340,0,20662,746
04-24-2020,22491,608,899,18,9016,849,12576,-259,340,0,21252,590
04-25-2020,23222,731,907,8,9370,354,12945,369,340,0,21975,723
04-26-2020,23481,259,916,9,9630,260,12935,-10,340,0,22225,250
04-27-2020,24212,731,995,79,10468,838,12749,-186,340,0,22877,652
04-28-2020,24923,711,1036,41,11355,887,12532,-217,340,0,23547,670
04-29-2020,25955,1032,1103,67,11937,582,12915,383,340,0,24512,965
04-30-2020,26388,433,1136,33,12898,961,12354,-561,340,0,24912,400
05-01-2020,27731,1343,1169,33,13810,912,12752,398,340,0,26222,1310
05-02-2020,28330,599,1177,8,14195,385,12958,206,340,0,26813,591
05-03-2020,28686,356,1186,9,14612,417,12888,-70,340,0,27160,347
05-04-2020,29452,766,1246,60,15564,952,12642,-246,340,0,27866,706
05-05-2020,29899,447,1298,52,16373,809,12228,-414,340,0,28261,395
05-06-2020,30746,847,1327,29,17263,890,12156,-72,340,0,29079,818
05-07-2020,31603,857,1352,25,17979,716,12272,116,340,0,29911,832
05-08-2020,32181,578,1400,48,18587,608,12194,-78,340,0,30441,530
05-09-2020,32588,407,1403,3,19245,658,11940,-254,340,0,30845,404
05-10-2020,33836,1248,1406,3,19504,259,12926,986,340,0,32090,1245
05-11-2020,34002,166,1444,38,20226,722,12332,-594,340,0,32218,128
05-12-2020,34848,846,1494,50,20940,714,12414,82,340,0,33014,796
05-13-2020,35427,579,1517,23,21881,941,12029,-385,340,0,33570,556
05-14-2020,35977,550,1545,28,22393,512,12039,10,340,0,34092,522
05-15-2020,36772,795,1588,43,23612,1219,11572,-467,340,0,34844,752
05-16-2020,37212,440,1598,10,24166,554,11448,-124,340,0,35274,430
05-17-2020,37579,367,1610,12,24524,358,11445,-3,340,0,35629,355
05-18-2020,38283,704,1649,39,25300,776,11334,-111,340,0,36294,665
05-19-2020,38855,572,1675,26,25824,524,11356,22,340,0,36840,546
05-20-2020,39801,946,1697,22,26671,847,11433,77,340,0,37764,924
05-21-2020,40663,862,1775,78,27431,760,11457,24,340,0,38548,784
05-22-2020,41482,819,1808,33,28000,569,11674,217,340,0,39334,786
05-23-2020,42242,760,1822,14,28438,438,11982,308,340,0,40080,746
05-24-2020,42902,660,1827,5,29495,1057,11580,-402,340,0,40735,655
05-25-2020,43400,498,1848,21,29764,269,11788,208,340,0,41212,477
05-26-2020,43983,583,1895,47,30550,786,11538,-250,340,0,41748,536
05-27-2020,44638,655,1933,38,31159,609,11546,8,340,0,42365,617
05-28-2020,45266,628,1973,40,31681,522,11612,66,340,0,42953,588
05-29-2020,45881,615,1987,14,32552,871,11342,-270,340,0,43554,601
05-30-2020,46331,450,2004,17,32995,443,11332,-10,340,0,43987,433
05-31-2020,47063,732,2053,49,33317,322,11693,361,340,0,44670,683
06-01-2020,47899,836,2089,36,34013,696,11797,104,340,0,45470,800
06-02-2020,48207,308,2102,13,34564,551,11541,-256,340,0,45765,295
06-03-2020,48894,687,2123,21,35475,911,11296,-245,340,0,46431,666
06-04-2020,49859,965,2149,26,36306,831,11404,108,340,0,47370,939
06-05-2020,50621,762,2174,25,37056,750,11391,-13,340,0,48107,737
06-06-2020,51359,738,2178,4,37761,705,11420,29,340,0,48841,734
06-07-2020,51898,539,2180,2,38481,720,11237,-183,340,0,49378,537
06-08-2020,52497,599,2208,28,38916,435,11373,136,340,0,49949,571
06-09-2020,53249,752,2285,77,39466,550,11498,125,340,0,50624,675
06-10-2020,53984,735,2331,46,40083,617,11570,72,340,0,51313,689
06-11-2020,54973,989,2375,44,40646,563,11952,382,340,0,52258,945
06-12-2020,55783,810,2418,43,41280,634,12085,133,340,0,53025,767
06-13-2020,56804,1021,2447,29,41707,427,12650,565,340,0,54017,992
06-14-2020,57681,877,2451,4,42365,658,12865,215,340,0,54890,873
06-15-2020,58414,733,2494,43,43136,771,12784,-81,340,0,55580,690
06-16-2020,59237,823,2529,35,43453,317,13255,471,340,0,56368,788
06-17-2020,60042,805,2578,49,44135,682,13329,74,340,0,57124,756
06-18-2020,60912,870,2605,27,45053,918,13254,-75,340,0,57967,843
06-19-2020,62009,1097,2636,31,45783,730,13590,336,340,0,59033,1066
06-20-2020,63809,1800,2642,6,46502,719,14665,1075,340,0,60827,1794
06-21-2020,64701,892,2643,1,47092,590,14966,301,340,0,61718,891
06-22-2020,65928,1227,2648,5,47650,558,15630,664,340,0,62940,1222
06-23-2020,67675,1747,2689,41,48342,692,16644,1014,340,0,64646,1706
06-24-2020,69381,1706,2698,9,49049,707,17634,990,340,0,66343,1697
06-25-2020,71095,1714,2745,47,49919,870,18431,797,340,0,68010,1667
