date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-14-2020,3,3,0,0,0,0,3,3,-1,-1,-1,-1
03-15-2020,6,3,0,0,0,0,6,3,-1,-1,-1,-1
03-16-2020,6,0,0,0,0,0,6,0,-1,-1,-1,-1
03-17-2020,18,12,0,0,0,0,18,12,-1,-1,-1,-1
03-18-2020,33,15,0,0,0,0,33,15,-1,-1,-1,-1
03-19-2020,45,12,0,0,0,0,45,12,-1,-1,-1,-1
03-20-2020,51,6,0,0,0,0,51,6,-1,-1,-1,-1
03-21-2020,51,0,0,0,0,0,51,0,-1,-1,-1,-1
03-22-2020,51,0,0,0,0,0,51,0,-1,-1,-1,-1
03-23-2020,56,5,0,0,0,0,56,5,-1,-1,-1,-1
03-24-2020,73,17,0,0,0,0,73,17,-1,-1,-1,-1
03-25-2020,73,0,0,0,0,0,73,0,-1,-1,-1,-1
03-26-2020,76,3,0,0,0,0,76,3,-1,-1,-1,-1
03-27-2020,76,0,0,0,0,0,76,0,-1,-1,-1,-1
03-28-2020,96,20,2,2,0,0,94,18,-1,-1,-1,-1
03-29-2020,96,0,2,0,2,2,92,-2,-1,-1,-1,-1
03-30-2020,96,0,2,0,2,0,92,0,-1,-1,-1,-1
03-31-2020,106,10,4,2,10,8,92,0,-1,-1,-1,-1
04-01-2020,114,8,5,1,21,11,88,-4,-1,-1,-1,-1
04-02-2020,125,11,6,1,30,9,89,1,-1,-1,-1,-1
04-03-2020,128,3,6,0,35,5,87,-2,-1,-1,-1,-1
04-04-2020,130,2,7,1,34,-1,89,2,-1,-1,-1,-1
04-05-2020,130,0,7,0,34,0,89,0,-1,-1,-1,-1
04-06-2020,134,4,7,0,38,4,89,0,-1,-1,-1,-1
04-07-2020,135,1,7,0,52,14,76,-13,-1,-1,-1,-1
04-08-2020,139,4,7,0,52,0,80,4,-1,-1,-1,-1
04-09-2020,139,0,8,1,53,1,78,-2,-1,-1,-1,-1
04-10-2020,141,2,8,0,53,0,80,2,-1,-1,-1,-1
04-11-2020,143,2,8,0,70,17,65,-15,-1,-1,-1,-1
04-12-2020,143,0,8,0,70,0,65,0,-1,-1,-1,-1
04-13-2020,143,0,8,0,70,0,65,0,-1,-1,-1,-1
04-14-2020,143,0,8,0,80,10,55,-10,-1,-1,-1,-1
04-15-2020,145,2,8,0,88,8,49,-6,-1,-1,-1,-1
04-16-2020,145,0,8,0,99,11,38,-11,-1,-1,-1,-1
04-17-2020,145,0,8,0,102,3,35,-3,-1,-1,-1,-1
04-18-2020,145,0,8,0,104,2,33,-2,-1,-1,-1,-1
04-19-2020,145,0,10,2,102,-2,33,0,-1,-1,-1,-1
04-20-2020,148,3,10,0,106,4,32,-1,-1,-1,-1,-1
04-21-2020,148,0,10,0,109,3,29,-3,-1,-1,-1,-1
04-22-2020,148,0,10,0,112,3,26,-3,-1,-1,-1,-1
04-23-2020,148,0,10,0,113,1,25,-1,-1,-1,-1,-1
04-24-2020,148,0,10,0,114,1,24,-1,-1,-1,-1,-1
04-25-2020,149,1,10,0,119,5,20,-4,-1,-1,-1,-1
04-26-2020,149,0,10,0,119,0,20,0,-1,-1,-1,-1
04-27-2020,149,0,10,0,119,0,20,0,-1,-1,-1,-1
04-28-2020,149,0,10,0,121,2,18,-2,-1,-1,-1,-1
04-29-2020,149,0,11,1,124,3,14,-4,-1,-1,-1,-1
04-30-2020,151,2,11,0,126,2,14,0,-1,-1,-1,-1
05-01-2020,152,1,12,1,125,-1,15,1,-1,-1,-1,-1
05-02-2020,152,0,12,0,126,1,14,-1,-1,-1,-1,-1
05-03-2020,152,0,12,0,126,0,14,0,-1,-1,-1,-1
05-04-2020,152,0,12,0,129,3,11,-3,-1,-1,-1,-1
05-05-2020,152,0,12,0,130,1,10,-1,-1,-1,-1,-1
05-06-2020,152,0,13,1,129,-1,10,0,-1,-1,-1,-1
05-07-2020,153,1,13,0,130,1,10,0,-1,-1,-1,-1
05-08-2020,153,0,13,0,130,0,10,0,-1,-1,-1,-1
05-09-2020,154,1,13,0,132,2,9,-1,-1,-1,-1,-1
05-10-2020,154,0,13,0,132,0,9,0,-1,-1,-1,-1
05-11-2020,154,0,13,0,132,0,9,0,-1,-1,-1,-1
05-12-2020,154,0,13,0,133,1,8,-1,-1,-1,-1,-1
05-13-2020,155,1,13,0,133,0,9,1,-1,-1,-1,-1
05-14-2020,155,0,13,0,135,2,7,-2,-1,-1,-1,-1
05-15-2020,155,0,13,0,136,1,6,-1,-1,-1,-1,-1
05-16-2020,155,0,13,0,136,0,6,0,-1,-1,-1,-1
05-17-2020,155,0,13,0,136,0,6,0,-1,-1,-1,-1
