date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,2,2,0,0,0,0,2,2,0,0,2,2
01-23-2020,5,3,0,0,0,0,5,3,0,0,5,3
01-24-2020,23,18,0,0,0,0,23,18,0,0,23,18
01-25-2020,33,10,0,0,0,0,33,10,0,0,33,10
01-26-2020,46,13,0,0,0,0,46,13,0,0,46,13
01-27-2020,51,5,0,0,0,0,51,5,0,0,51,5
01-28-2020,58,7,0,0,2,2,56,5,2,2,56,5
01-29-2020,78,20,0,0,2,0,76,20,2,0,76,20
01-30-2020,87,9,0,0,2,0,85,9,2,0,85,9
01-31-2020,87,0,0,0,2,0,85,0,2,0,85,0
02-01-2020,111,24,0,0,2,0,109,24,2,0,109,24
02-02-2020,127,16,0,0,2,0,125,16,2,0,125,16
02-03-2020,139,12,0,0,7,5,132,7,7,5,132,7
02-04-2020,150,11,0,0,10,3,140,8,10,3,140,8
02-05-2020,150,0,0,0,13,3,137,-3,13,3,137,-3
02-06-2020,172,22,0,0,17,4,155,18,17,4,155,18
02-07-2020,172,0,0,0,18,1,154,-1,17,0,155,0
02-08-2020,195,23,1,1,25,7,169,15,18,1,176,21
02-09-2020,210,15,1,0,36,11,173,4,18,0,191,15
02-10-2020,210,0,1,0,40,4,169,-4,24,6,185,-6
02-11-2020,222,12,1,0,45,5,176,7,31,7,190,5
02-12-2020,222,0,2,1,61,16,159,-17,33,2,187,-3
02-13-2020,226,4,2,0,68,7,156,-3,35,2,189,2
02-14-2020,235,9,2,0,68,0,165,9,40,5,193,4
02-15-2020,237,2,2,0,87,19,148,-17,46,6,189,-4
02-16-2020,238,1,2,0,100,13,136,-12,51,5,185,-4
02-17-2020,242,4,2,0,110,10,130,-6,58,7,182,-3
02-18-2020,244,2,2,0,119,9,123,-7,76,18,166,-16
02-19-2020,245,1,2,0,119,0,124,1,87,11,156,-10
02-20-2020,246,1,2,0,138,19,106,-18,95,8,149,-7
02-21-2020,249,3,2,0,140,2,107,1,99,4,148,-1
02-22-2020,249,0,2,0,160,20,87,-20,104,5,143,-5
02-23-2020,251,2,2,0,174,14,75,-12,107,3,142,-1
02-24-2020,252,1,2,0,175,1,75,0,129,22,121,-21
02-25-2020,252,0,2,0,185,10,65,-10,138,9,112,-9
02-26-2020,252,0,2,0,188,3,62,-3,159,21,91,-21
02-27-2020,252,0,2,0,193,5,57,-5,166,7,84,-7
02-28-2020,252,0,2,0,200,7,50,-7,172,6,78,-6
02-29-2020,252,0,2,0,205,5,45,-5,179,7,71,-7
03-01-2020,252,0,2,0,208,3,42,-3,188,9,62,-9
03-02-2020,252,0,2,0,213,5,37,-5,202,14,48,-14
03-03-2020,252,0,2,0,216,3,34,-3,210,8,40,-8
03-04-2020,252,0,2,0,217,1,33,-1,210,0,40,0
03-05-2020,252,0,2,0,221,4,29,-4,217,7,33,-7
03-06-2020,252,0,2,0,224,3,26,-3,219,2,31,-2
03-07-2020,252,0,2,0,228,4,22,-4,219,0,31,0
03-08-2020,252,0,2,0,233,5,17,-5,230,11,20,-11
03-09-2020,252,0,2,0,234,1,16,-1,234,4,16,-4
03-10-2020,252,0,2,0,237,3,13,-3,237,3,13,-3
03-11-2020,252,0,2,0,241,4,9,-4,241,4,9,-4
03-12-2020,252,0,2,0,243,2,7,-2,243,2,7,-2
03-13-2020,252,0,2,0,243,0,7,0,243,0,7,0
03-14-2020,252,0,2,0,243,0,7,0,243,0,7,0
