date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,4,4,0,0,0,0,4,4,0,0,4,4
01-23-2020,5,1,0,0,0,0,5,1,0,0,5,1
01-24-2020,8,3,0,0,0,0,8,3,0,0,8,3
01-25-2020,19,11,0,0,0,0,19,11,0,0,19,11
01-26-2020,22,3,0,0,0,0,22,3,0,0,22,3
01-27-2020,33,11,1,1,0,0,32,10,0,0,32,10
01-28-2020,43,10,1,0,0,0,42,10,0,0,42,10
01-29-2020,43,0,1,0,0,0,42,0,0,0,42,0
01-30-2020,50,7,1,0,1,1,48,6,1,1,48,6
01-31-2020,52,2,1,0,1,0,50,2,1,0,50,2
02-01-2020,63,11,1,0,1,0,61,11,1,0,61,11
02-02-2020,71,8,1,0,4,3,66,5,4,3,66,5
02-03-2020,79,8,1,0,4,0,74,8,4,0,74,8
02-04-2020,91,12,1,0,4,0,86,12,4,0,86,12
02-05-2020,99,8,1,0,5,1,93,7,5,1,93,7
02-06-2020,106,7,2,1,8,3,96,3,8,3,96,3
02-07-2020,117,11,2,0,10,2,105,9,10,2,105,9
02-08-2020,128,11,2,0,15,5,111,6,15,5,111,6
02-09-2020,136,8,3,1,19,4,114,3,19,4,114,3
02-10-2020,138,2,3,0,23,4,112,-2,19,0,116,2
02-11-2020,151,13,3,0,31,8,117,5,20,1,128,12
02-12-2020,157,6,4,1,30,-1,123,6,27,7,126,-2
02-13-2020,158,1,4,0,36,6,118,-5,30,3,124,-2
02-14-2020,162,4,4,0,38,2,120,2,38,8,120,-4
02-15-2020,162,0,4,0,47,9,111,-9,39,1,119,-1
02-16-2020,162,0,4,0,53,6,105,-6,52,13,106,-13
02-17-2020,163,1,4,0,59,6,100,-5,59,7,100,-6
02-18-2020,163,0,4,0,69,10,90,-10,59,0,100,0
02-19-2020,168,5,4,0,84,15,80,-10,84,25,80,-20
02-20-2020,168,0,4,0,89,5,75,-5,89,5,75,-5
02-21-2020,168,0,4,0,96,7,68,-7,96,7,68,-7
02-22-2020,168,0,4,0,104,8,60,-8,104,8,60,-8
02-23-2020,168,0,5,1,108,4,55,-5,106,2,57,-3
