date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-04-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-05-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-06-2020,4,2,0,0,0,0,4,2,-1,-1,-1,-1
03-07-2020,7,3,0,0,0,0,7,3,-1,-1,-1,-1
03-08-2020,8,1,0,0,0,0,8,1,-1,-1,-1,-1
03-09-2020,9,1,0,0,0,0,9,1,-1,-1,-1,-1
03-10-2020,12,3,0,0,0,0,12,3,-1,-1,-1,-1
03-11-2020,13,1,0,0,0,0,13,1,-1,-1,-1,-1
03-12-2020,13,0,0,0,0,0,13,0,-1,-1,-1,-1
03-13-2020,19,6,0,0,0,0,19,6,-1,-1,-1,-1
03-14-2020,25,6,0,0,0,0,25,6,-1,-1,-1,-1
03-15-2020,32,7,1,1,-1,-1,32,7,-1,-1,-1,-1
03-16-2020,39,7,1,0,-1,0,39,7,-1,-1,-1,-1
03-17-2020,50,11,1,0,-1,0,50,11,-1,-1,-1,-1
03-18-2020,58,8,1,0,0,1,57,7,-1,-1,-1,-1
03-19-2020,73,15,1,0,0,0,72,15,-1,-1,-1,-1
03-20-2020,85,12,4,3,0,0,81,9,-1,-1,-1,-1
03-21-2020,131,46,4,0,1,1,126,45,-1,-1,-1,-1
03-22-2020,131,0,4,0,2,1,125,-1,-1,-1,-1,-1
03-23-2020,167,36,7,3,0,-2,160,35,-1,-1,-1,-1
03-24-2020,187,20,8,1,1,1,178,18,-1,-1,-1,-1
03-25-2020,226,39,10,2,0,-1,216,38,-1,-1,-1,-1
03-26-2020,261,35,10,0,0,0,251,35,-1,-1,-1,-1
03-27-2020,300,39,10,0,5,5,285,34,-1,-1,-1,-1
03-28-2020,343,43,11,1,9,4,323,38,-1,-1,-1,-1
03-29-2020,408,65,13,2,12,3,383,60,-1,-1,-1,-1
03-30-2020,447,39,15,2,16,4,416,33,-1,-1,-1,-1
