date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-01-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
03-02-2020,9,7,0,0,0,0,9,7,-1,-1,-1,-1
03-03-2020,16,7,0,0,0,0,16,7,-1,-1,-1,-1
03-04-2020,26,10,0,0,0,0,26,10,-1,-1,-1,-1
03-05-2020,26,0,0,0,0,0,26,0,-1,-1,-1,-1
03-06-2020,28,2,0,0,0,0,28,2,-1,-1,-1,-1
03-07-2020,45,17,0,0,0,0,45,17,-1,-1,-1,-1
03-08-2020,55,10,0,0,0,0,55,10,-1,-1,-1,-1
03-09-2020,55,0,0,0,0,0,55,0,-1,-1,-1,-1
03-10-2020,61,6,0,0,0,0,61,6,-1,-1,-1,-1
03-11-2020,61,0,0,0,0,0,61,0,-1,-1,-1,-1
03-12-2020,61,0,0,0,0,0,61,0,-1,-1,-1,-1
03-13-2020,117,56,0,0,0,0,117,56,-1,-1,-1,-1
03-14-2020,138,21,0,0,0,0,138,21,-1,-1,-1,-1
03-15-2020,138,0,0,0,1,1,137,-1,-1,-1,-1,-1
03-16-2020,180,42,0,0,7,6,173,36,-1,-1,-1,-1
03-17-2020,225,45,0,0,12,5,213,40,-1,-1,-1,-1
03-18-2020,250,25,0,0,21,9,229,16,-1,-1,-1,-1
03-19-2020,330,80,0,0,21,0,309,80,-1,-1,-1,-1
03-20-2020,409,79,1,1,21,0,387,78,-1,-1,-1,-1
03-21-2020,473,64,1,0,35,14,437,50,-1,-1,-1,-1
03-22-2020,473,0,1,0,43,8,429,-8,-1,-1,-1,-1
03-23-2020,568,95,1,0,43,0,524,95,-1,-1,-1,-1
03-24-2020,588,20,2,1,47,4,539,15,-1,-1,-1,-1
03-25-2020,648,60,2,0,47,0,599,60,-1,-1,-1,-1
03-26-2020,737,89,2,0,47,0,688,89,-1,-1,-1,-1
03-27-2020,802,65,2,0,92,45,708,20,-1,-1,-1,-1
03-28-2020,890,88,2,0,109,17,779,71,-1,-1,-1,-1
03-29-2020,963,73,2,0,110,1,851,72,-1,-1,-1,-1
03-30-2020,1020,57,2,0,145,35,873,22,-1,-1,-1,-1
03-31-2020,1086,66,2,0,182,37,902,29,-1,-1,-1,-1
04-01-2020,1135,49,2,0,204,22,929,27,-1,-1,-1,-1
04-02-2020,1220,85,2,0,268,64,950,21,-1,-1,-1,-1
04-03-2020,1319,99,4,2,331,63,984,34,-1,-1,-1,-1
04-04-2020,1364,45,4,0,385,54,975,-9,-1,-1,-1,-1
04-05-2020,1417,53,4,0,386,1,1027,52,-1,-1,-1,-1
04-06-2020,1486,69,4,0,463,77,1019,-8,-1,-1,-1,-1
04-07-2020,1562,76,6,2,478,15,1078,59,-1,-1,-1,-1
04-08-2020,1586,24,6,0,527,49,1053,-25,-1,-1,-1,-1
04-09-2020,1616,30,6,0,599,72,1011,-42,-1,-1,-1,-1
04-10-2020,1648,32,6,0,660,61,982,-29,-1,-1,-1,-1
04-11-2020,1675,27,7,1,733,73,935,-47,-1,-1,-1,-1
04-12-2020,1689,14,8,1,791,58,890,-45,-1,-1,-1,-1
04-13-2020,1701,12,8,0,843,52,850,-40,-1,-1,-1,-1
04-14-2020,1711,10,8,0,903,60,800,-50,-1,-1,-1,-1
04-15-2020,1720,9,8,0,947,44,765,-35,-1,-1,-1,-1
04-16-2020,1727,7,8,0,1027,80,692,-73,-1,-1,-1,-1
04-17-2020,1739,12,8,0,1119,92,612,-80,-1,-1,-1,-1
04-18-2020,1754,15,8,0,1165,46,581,-31,-1,-1,-1,-1
04-19-2020,1760,6,9,1,1207,42,544,-37,-1,-1,-1,-1
04-20-2020,1771,11,9,0,1276,69,486,-58,-1,-1,-1,-1
04-21-2020,1773,2,10,1,1340,64,423,-63,-1,-1,-1,-1
04-22-2020,1778,5,10,0,1368,28,400,-23,-1,-1,-1,-1
04-23-2020,1785,7,10,0,1405,37,370,-30,-1,-1,-1,-1
04-24-2020,1789,4,10,0,1443,38,336,-34,-1,-1,-1,-1
04-25-2020,1789,0,10,0,1478,35,301,-35,-1,-1,-1,-1
04-26-2020,1790,1,10,0,1499,21,281,-20,-1,-1,-1,-1
04-27-2020,1792,2,10,0,1519,20,263,-18,-1,-1,-1,-1
04-28-2020,1792,0,10,0,1539,20,243,-20,-1,-1,-1,-1
04-29-2020,1795,3,10,0,1554,15,231,-12,-1,-1,-1,-1
04-30-2020,1797,2,10,0,1576,22,211,-20,-1,-1,-1,-1
05-01-2020,1797,0,10,0,1603,27,184,-27,-1,-1,-1,-1
05-02-2020,1798,1,10,0,1625,22,163,-21,-1,-1,-1,-1
05-03-2020,1798,0,10,0,1637,12,151,-12,-1,-1,-1,-1
05-04-2020,1799,1,10,0,1660,23,129,-22,-1,-1,-1,-1
05-05-2020,1799,0,10,0,1674,14,115,-14,-1,-1,-1,-1
05-06-2020,1799,0,10,0,1684,10,105,-10,-1,-1,-1,-1
05-07-2020,1799,0,10,0,1698,14,91,-14,-1,-1,-1,-1
05-08-2020,1801,2,10,0,1709,11,82,-9,-1,-1,-1,-1
05-09-2020,1801,0,10,0,1718,9,73,-9,-1,-1,-1,-1
05-10-2020,1801,0,10,0,1724,6,67,-6,-1,-1,-1,-1
05-11-2020,1801,0,10,0,1730,6,61,-6,-1,-1,-1,-1
05-12-2020,1801,0,10,0,1735,5,56,-5,-1,-1,-1,-1
05-13-2020,1801,0,10,0,1741,6,50,-6,-1,-1,-1,-1
05-14-2020,1802,1,10,0,1748,7,44,-6,-1,-1,-1,-1
05-15-2020,1802,0,10,0,1754,6,38,-6,-1,-1,-1,-1
05-16-2020,1802,0,10,0,1760,6,32,-6,-1,-1,-1,-1
05-17-2020,1802,0,10,0,1763,3,29,-3,-1,-1,-1,-1
05-18-2020,1802,0,10,0,1769,6,23,-6,-1,-1,-1,-1
05-19-2020,1802,0,10,0,1773,4,19,-4,-1,-1,-1,-1
05-20-2020,1802,0,10,0,1775,2,17,-2,-1,-1,-1,-1
05-21-2020,1803,1,10,0,1777,2,16,-1,-1,-1,-1,-1
05-22-2020,1803,0,10,0,1781,4,12,-4,-1,-1,-1,-1
05-23-2020,1803,0,10,0,1783,2,10,-2,-1,-1,-1,-1
05-24-2020,1804,1,10,0,1783,0,11,1,-1,-1,-1,-1
05-25-2020,1804,0,10,0,1784,1,10,-1,-1,-1,-1,-1
05-26-2020,1804,0,10,0,1785,1,9,-1,-1,-1,-1,-1
05-27-2020,1804,0,10,0,1786,1,8,-1,-1,-1,-1,-1
05-28-2020,1805,1,10,0,1787,1,8,0,-1,-1,-1,-1
05-29-2020,1805,0,10,0,1788,1,7,-1,-1,-1,-1,-1
05-30-2020,1805,0,10,0,1789,1,6,-1,-1,-1,-1,-1
05-31-2020,1806,1,10,0,1789,0,7,1,-1,-1,-1,-1
06-01-2020,1806,0,10,0,1790,1,6,-1,-1,-1,-1,-1
06-02-2020,1806,0,10,0,1790,0,6,0,-1,-1,-1,-1
06-03-2020,1806,0,10,0,1790,0,6,0,-1,-1,-1,-1
06-04-2020,1806,0,10,0,1791,1,5,-1,-1,-1,-1,-1
06-05-2020,1806,0,10,0,1792,1,4,-1,-1,-1,-1,-1
06-06-2020,1806,0,10,0,1792,0,4,0,-1,-1,-1,-1
06-07-2020,1806,0,10,0,1792,0,4,0,-1,-1,-1,-1
06-08-2020,1807,1,10,0,1792,0,5,1,-1,-1,-1,-1
06-09-2020,1807,0,10,0,1792,0,5,0,-1,-1,-1,-1
06-10-2020,1807,0,10,0,1794,2,3,-2,1794,-1,3,-1
06-11-2020,1807,0,10,0,1794,0,3,0,1794,0,3,0
06-12-2020,1807,0,10,0,1794,0,3,0,1794,0,3,0
06-13-2020,1808,1,10,0,1794,0,4,1,1794,0,4,1
