date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-13-2020,1,1,0,0,0,0,1,1,0,0,1,1
03-14-2020,5,4,0,0,0,0,5,4,0,0,5,4
03-15-2020,5,0,0,0,0,0,5,0,0,0,5,0
03-16-2020,5,0,0,0,0,0,5,0,0,0,5,0
03-17-2020,9,4,0,0,0,0,9,4,0,0,9,4
03-18-2020,11,2,0,0,0,0,11,2,0,0,11,2
03-19-2020,23,12,0,0,0,0,23,12,0,0,23,12
03-20-2020,36,13,0,0,0,0,36,13,0,0,36,13
03-21-2020,42,6,0,0,0,0,42,6,0,0,42,6
03-22-2020,51,9,0,0,0,0,51,9,0,0,51,9
03-23-2020,68,17,0,0,0,0,68,17,0,0,68,17
03-24-2020,81,13,0,0,0,0,81,13,0,0,81,13
03-25-2020,138,57,0,0,0,0,138,57,0,0,138,57
03-26-2020,191,53,3,3,0,0,188,50,0,0,188,50
03-27-2020,234,43,4,1,0,0,230,42,0,0,230,42
03-28-2020,265,31,5,1,0,0,260,30,0,0,260,30
03-29-2020,324,59,6,1,0,0,318,58,0,0,318,58
03-30-2020,431,107,8,2,0,0,423,105,0,0,423,105
03-31-2020,525,94,9,1,0,0,516,93,0,0,516,93
04-01-2020,669,144,9,0,0,0,660,144,0,0,660,144
04-02-2020,891,222,9,0,9,9,873,213,0,0,882,222
04-03-2020,1013,122,10,1,19,10,984,111,0,0,1003,121
04-04-2020,1078,65,10,0,24,5,1044,60,0,0,1068,65
04-05-2020,1101,23,10,0,31,7,1060,16,0,0,1091,23
04-06-2020,1170,69,13,3,42,11,1115,55,0,0,1157,66
04-07-2020,1210,40,15,2,50,8,1145,30,0,0,1195,38
04-08-2020,1232,22,18,3,93,43,1121,-24,0,0,1214,19
04-09-2020,1354,122,24,6,130,37,1200,79,0,0,1330,116
04-10-2020,1396,42,25,1,164,34,1207,7,0,0,1371,41
