date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-20-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-21-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-22-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-23-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
03-24-2020,13,11,0,0,0,0,13,11,-1,-1,-1,-1
03-25-2020,23,10,0,0,0,0,23,10,-1,-1,-1,-1
03-26-2020,23,0,0,0,0,0,23,0,-1,-1,-1,-1
03-27-2020,26,3,0,0,0,0,26,3,-1,-1,-1,-1
03-28-2020,29,3,0,0,0,0,29,3,-1,-1,-1,-1
03-29-2020,32,3,0,0,0,0,32,3,-1,-1,-1,-1
03-30-2020,42,10,0,0,0,0,42,10,-1,-1,-1,-1
03-31-2020,42,0,0,0,0,0,42,0,-1,-1,-1,-1
04-01-2020,52,10,0,0,0,0,52,10,-1,-1,-1,-1
04-02-2020,65,13,0,0,0,0,65,13,-1,-1,-1,-1
04-03-2020,71,6,1,1,0,0,70,5,-1,-1,-1,-1
04-04-2020,114,43,1,0,0,0,113,43,-1,-1,-1,-1
04-05-2020,126,12,1,0,0,0,125,12,-1,-1,-1,-1
04-06-2020,127,1,1,0,0,0,126,1,-1,-1,-1,-1
04-07-2020,127,0,1,0,9,9,117,-9,-1,-1,-1,-1
04-08-2020,150,23,1,0,17,8,132,15,-1,-1,-1,-1
04-09-2020,150,0,1,0,17,0,132,0,-1,-1,-1,-1
04-10-2020,165,15,1,0,20,3,144,12,-1,-1,-1,-1
04-11-2020,190,25,1,0,22,2,167,23,-1,-1,-1,-1
04-12-2020,204,14,1,0,24,2,179,12,-1,-1,-1,-1
04-13-2020,226,22,1,0,33,9,192,13,-1,-1,-1,-1
04-14-2020,228,2,2,1,32,-1,194,2,-1,-1,-1,-1
04-15-2020,242,14,2,0,40,8,200,6,-1,-1,-1,-1
04-16-2020,254,12,2,0,50,10,202,2,-1,-1,-1,-1
04-17-2020,258,4,4,2,53,3,201,-1,-1,-1,-1,-1
04-18-2020,289,31,4,0,88,35,197,-4,-1,-1,-1,-1
04-19-2020,291,2,4,0,98,10,189,-8,-1,-1,-1,-1
04-20-2020,297,6,4,0,99,1,194,5,-1,-1,-1,-1
04-21-2020,297,0,4,0,100,1,193,-1,-1,-1,-1,-1
04-22-2020,307,10,10,6,114,14,183,-10,-1,-1,-1,-1
04-23-2020,307,0,10,0,114,0,183,0,-1,-1,-1,-1
04-24-2020,307,0,16,6,121,7,170,-13,-1,-1,-1,-1
04-25-2020,308,1,17,1,140,19,151,-19,-1,-1,-1,-1
04-26-2020,308,0,18,1,151,11,139,-12,-1,-1,-1,-1
04-27-2020,308,0,18,0,170,19,120,-19,-1,-1,-1,-1
04-28-2020,308,0,18,0,172,2,118,-2,-1,-1,-1,-1
04-29-2020,308,0,20,2,183,11,105,-13,-1,-1,-1,-1
04-30-2020,309,1,21,1,193,10,95,-10,-1,-1,-1,-1
05-01-2020,311,2,22,1,196,3,93,-2,-1,-1,-1,-1
05-02-2020,311,0,22,0,228,32,61,-32,-1,-1,-1,-1
05-03-2020,315,4,23,1,230,2,62,1,-1,-1,-1,-1
05-04-2020,320,5,23,0,235,5,62,0,-1,-1,-1,-1
05-05-2020,321,1,23,0,236,1,62,0,-1,-1,-1,-1
05-06-2020,325,4,23,0,247,11,55,-7,-1,-1,-1,-1
05-07-2020,326,1,23,0,247,0,56,1,-1,-1,-1,-1
05-08-2020,327,1,23,0,250,3,54,-2,-1,-1,-1,-1
05-09-2020,329,2,23,0,254,4,52,-2,-1,-1,-1,-1
05-10-2020,329,0,23,0,256,2,50,-2,-1,-1,-1,-1
05-11-2020,330,1,23,0,260,4,47,-3,-1,-1,-1,-1
05-12-2020,330,0,23,0,260,0,47,0,-1,-1,-1,-1
05-13-2020,330,0,23,0,262,2,45,-2,-1,-1,-1,-1
05-14-2020,331,1,23,0,266,4,42,-3,-1,-1,-1,-1
05-15-2020,331,0,23,0,268,2,40,-2,-1,-1,-1,-1
05-16-2020,333,2,24,1,274,6,35,-5,-1,-1,-1,-1
05-17-2020,334,1,24,0,278,4,32,-3,-1,-1,-1,-1
05-18-2020,335,1,24,0,283,5,28,-4,-1,-1,-1,-1
05-19-2020,335,0,24,0,283,0,28,0,-1,-1,-1,-1
05-20-2020,335,0,24,0,289,6,22,-6,-1,-1,-1,-1
05-21-2020,335,0,24,0,290,1,21,-1,-1,-1,-1,-1
05-22-2020,336,1,24,0,292,2,20,-1,-1,-1,-1,-1
05-23-2020,336,0,24,0,295,3,17,-3,-1,-1,-1,-1
05-24-2020,336,0,24,0,295,0,17,0,-1,-1,-1,-1
05-25-2020,336,0,24,0,297,2,15,-2,-1,-1,-1,-1
05-26-2020,336,0,24,0,297,0,15,0,-1,-1,-1,-1
05-27-2020,336,0,24,0,298,1,14,-1,-1,-1,-1,-1
05-28-2020,336,0,24,0,300,2,12,-2,-1,-1,-1,-1
05-29-2020,336,0,24,0,300,0,12,0,-1,-1,-1,-1
05-30-2020,336,0,24,0,303,3,9,-3,-1,-1,-1,-1
05-31-2020,336,0,24,0,305,2,7,-2,-1,-1,-1,-1
06-01-2020,336,0,24,0,307,2,5,-2,-1,-1,-1,-1
06-02-2020,336,0,24,0,307,0,5,0,-1,-1,-1,-1
06-03-2020,336,0,24,0,308,1,4,-1,-1,-1,-1,-1
06-04-2020,336,0,24,0,308,0,4,0,-1,-1,-1,-1
06-05-2020,336,0,24,0,309,1,3,-1,-1,-1,-1,-1
06-06-2020,336,0,24,0,309,0,3,0,-1,-1,-1,-1
06-07-2020,336,0,24,0,309,0,3,0,-1,-1,-1,-1
06-08-2020,336,0,24,0,309,0,3,0,-1,-1,-1,-1
06-09-2020,336,0,24,0,309,0,3,0,-1,-1,-1,-1
06-10-2020,336,0,24,0,312,3,0,-3,312,-1,0,-1
06-11-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-12-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-13-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-14-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-15-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-16-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-17-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-18-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-19-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-20-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-21-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-22-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-23-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-24-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-25-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-26-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-27-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-28-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-29-2020,336,0,24,0,312,0,0,0,312,0,0,0
06-30-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-01-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-02-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-03-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-04-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-05-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-06-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-07-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-08-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-09-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-10-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-11-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-12-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-13-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-14-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-15-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-16-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-17-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-18-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-19-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-20-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-21-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-22-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-23-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-24-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-25-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-26-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-27-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-28-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-29-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-30-2020,336,0,24,0,312,0,0,0,312,0,0,0
07-31-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-01-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-02-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-03-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-04-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-05-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-06-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-07-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-08-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-09-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-10-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-11-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-12-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-13-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-14-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-15-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-16-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-17-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-18-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-19-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-20-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-21-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-22-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-23-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-24-2020,336,0,24,0,312,0,0,0,312,0,0,0
08-25-2020,336,0,24,0,312,0,0,0,312,0,0,0
