date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-29-2020,2,2,0,0,0,0,2,2,-1,-1,-1,-1
01-30-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
01-31-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-01-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-02-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-03-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-04-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-05-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-06-2020,2,0,0,0,0,0,2,0,-1,-1,-1,-1
02-07-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
02-08-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
02-09-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
02-10-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
02-11-2020,3,0,0,0,0,0,3,0,-1,-1,-1,-1
02-12-2020,3,0,0,0,1,1,2,-1,-1,-1,-1,-1
02-13-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-14-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-15-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-16-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-17-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-18-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-19-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-20-2020,3,0,0,0,1,0,2,0,-1,-1,-1,-1
02-21-2020,4,1,0,0,2,1,2,0,-1,-1,-1,-1
02-22-2020,11,7,2,2,0,-2,9,7,-1,-1,-1,-1
02-23-2020,124,113,2,0,0,0,122,113,-1,-1,-1,-1
02-24-2020,229,105,7,5,-4,-4,226,104,-1,-1,-1,-1
02-25-2020,322,93,12,5,-9,-5,319,93,-1,-1,-1,-1
02-26-2020,400,78,12,0,-9,0,397,78,-1,-1,-1,-1
02-27-2020,650,250,17,5,-14,-5,647,250,-1,-1,-1,-1
02-28-2020,888,238,21,4,-18,-4,885,238,-1,-1,-1,-1
02-29-2020,1128,240,29,8,-26,-8,1125,240,-1,-1,-1,-1
03-01-2020,1689,561,35,6,-32,-6,1686,561,-1,-1,-1,-1
03-02-2020,2036,347,52,17,-49,-17,2033,347,-1,-1,-1,-1
03-03-2020,2502,466,80,28,-77,-28,2499,466,-1,-1,-1,-1
03-04-2020,3089,587,107,27,-104,-27,3086,587,-1,-1,-1,-1
03-05-2020,3858,769,148,41,-145,-41,3855,769,-1,-1,-1,-1
03-06-2020,4636,778,197,49,-193,-48,4632,777,-1,-1,-1,-1
03-07-2020,5883,1247,234,37,-224,-31,5873,1241,-1,-1,-1,-1
03-08-2020,7375,1492,366,132,-265,-41,7274,1401,-1,-1,-1,-1
03-09-2020,9172,1797,463,97,-277,-12,8986,1712,-1,-1,-1,-1
03-10-2020,10149,977,631,168,-369,-92,9887,901,-1,-1,-1,-1
03-11-2020,12462,2313,827,196,-502,-133,12137,2250,-1,-1,-1,-1
03-12-2020,15113,2651,1016,189,-488,14,14585,2448,-1,-1,-1,-1
03-13-2020,17660,2547,1268,252,-548,-60,16940,2355,-1,-1,-1,-1
03-14-2020,21157,3497,1441,173,-526,22,20242,3302,-1,-1,-1,-1
03-15-2020,24747,3590,1809,368,-440,86,23378,3136,-1,-1,-1,-1
03-16-2020,27980,3233,2158,349,-508,-68,26330,2952,-1,-1,-1,-1
03-17-2020,31506,3526,2505,347,-477,31,29478,3148,-1,-1,-1,-1
03-18-2020,35713,4207,2978,473,-475,2,33210,3732,-1,-1,-1,-1
03-19-2020,41035,5322,3407,429,-281,194,37909,4699,-1,-1,-1,-1
03-20-2020,47021,5986,4032,625,-276,5,43265,5356,-1,-1,-1,-1
03-21-2020,53578,6557,4827,795,-60,216,48811,5546,-1,-1,-1,-1
03-22-2020,53578,0,4827,0,1164,1224,47587,-1224,-1,-1,-1,-1
03-23-2020,59138,5560,5476,649,1985,821,51677,4090,-1,-1,-1,-1
03-24-2020,63927,4789,6077,601,2188,203,55662,3985,-1,-1,-1,-1
03-25-2020,69176,5249,6820,743,3330,1142,59026,3364,-1,-1,-1,-1
03-26-2020,74386,5210,7505,685,4827,1497,62054,3028,-1,-1,-1,-1
03-27-2020,80539,6153,8165,660,6264,1437,66110,4056,-1,-1,-1,-1
03-28-2020,86498,5959,9136,971,8159,1895,69203,3093,-1,-1,-1,-1
03-29-2020,92472,5974,10023,887,10258,2099,72191,2988,-1,-1,-1,-1
03-30-2020,97689,5217,10781,758,12167,1909,74741,2550,-1,-1,-1,-1
03-31-2020,101739,4050,11591,810,14279,2112,75869,1128,-1,-1,-1,-1
04-01-2020,105792,4053,12430,839,16930,2651,76432,563,-1,-1,-1,-1
04-02-2020,110574,4782,13157,727,20621,3691,76796,364,-1,-1,-1,-1
04-03-2020,115242,4668,13917,760,24819,4198,76506,-290,-1,-1,-1,-1
04-04-2020,119827,4585,14681,764,29541,4722,75605,-901,-1,-1,-1,-1
04-05-2020,124632,4805,15362,681,29074,-467,80196,4591,-1,-1,-1,-1
04-06-2020,128948,4316,15889,527,33308,4234,79751,-445,-1,-1,-1,-1
04-07-2020,132547,3599,16525,636,36692,3384,79330,-421,-1,-1,-1,-1
04-08-2020,135586,3039,17129,604,40668,3976,77789,-1541,-1,-1,-1,-1
04-09-2020,139422,3836,17669,540,44731,4063,77022,-767,-1,-1,-1,-1
04-10-2020,143626,4204,18281,612,49472,4741,75873,-1149,-1,-1,-1,-1
04-11-2020,147577,3951,18851,570,54230,4758,74496,-1377,-1,-1,-1,-1
04-12-2020,152271,4694,19470,619,58981,4751,73820,-676,-1,-1,-1,-1
04-13-2020,156363,4092,19901,431,63246,4265,73216,-604,-1,-1,-1,-1
04-14-2020,159516,3153,20465,564,66479,3233,72572,-644,-1,-1,-1,-1
04-15-2020,165155,5639,21645,1180,69200,2721,74310,1738,38092,-1,105418,-1
04-16-2020,168941,3786,22170,525,73332,4132,73439,-871,40164,2072,106607,1189
04-17-2020,172434,3493,22745,575,77415,4083,72274,-1165,42727,2563,106962,355
04-18-2020,175927,3493,23227,482,81627,4212,71073,-1201,44927,2200,107773,811
04-19-2020,178972,3045,23660,433,85161,3534,70151,-922,47055,2128,108257,484
04-20-2020,181228,2256,24114,454,89071,3910,68043,-2108,48877,1822,108237,-20
04-21-2020,183957,2729,24268,154,92552,3481,67137,-906,51600,2723,108089,-148
04-22-2020,187327,3370,25085,817,95047,2495,67195,58,54543,2943,107699,-390
04-23-2020,189973,2646,25549,464,98552,3505,65872,-1323,57776,3233,106648,-1051
04-24-2020,193000,3027,25969,420,102526,3974,64505,-1367,60498,2722,106533,-115
04-25-2020,195351,2351,26384,415,106320,3794,62647,-1858,63120,2622,105847,-686
04-26-2020,198000,2649,26644,260,110878,4558,60478,-2169,64928,1808,106428,581
04-27-2020,199414,1414,26977,333,114752,3874,57685,-2793,66624,1696,105813,-615
04-28-2020,202000,2586,27359,382,117667,2915,56974,-711,68941,2317,105700,-113
04-29-2020,204000,2000,27682,323,122690,5023,53628,-3346,71252,2311,105066,-634
04-30-2020,205463,1463,27967,285,126407,3717,51089,-2539,75945,4693,101551,-3515
05-01-2020,207428,1965,28236,269,129920,3513,49272,-1817,78249,2304,100943,-608
05-02-2020,207428,0,28236,0,133719,3799,45473,-3799,-1,-1,-1,-1
05-03-2020,211000,3572,28884,648,136210,2491,45906,433,81654,-1,100462,-1
05-04-2020,212000,1000,29079,195,138725,2515,44196,-1710,82879,1225,100042,-420
05-05-2020,213000,1000,29315,236,141443,2718,42242,-1954,85231,2352,98454,-1588
05-06-2020,214457,1457,29684,369,144491,3048,40282,-1960,93245,8014,91528,-6926
05-07-2020,215858,1401,29958,274,147158,2667,38742,-1540,96276,3031,89624,-1904
05-08-2020,217185,1327,30201,243,150263,3105,36721,-2021,99023,2747,87961,-1663
05-09-2020,218268,1083,30395,194,152824,2561,35049,-1672,103031,4008,84842,-3119
05-10-2020,219070,802,30560,165,155761,2937,32749,-2300,105186,2155,83324,-1518
05-11-2020,219814,744,30739,179,157561,1800,31514,-1235,106587,1401,82488,-836
05-12-2020,221216,1402,30911,172,160128,2567,30177,-1337,109039,2452,81266,-1222
05-13-2020,222104,888,31106,195,162545,2417,28453,-1724,112541,3502,78457,-2809
05-14-2020,223096,992,31368,262,164237,1692,27491,-962,115288,2747,76440,-2017
05-15-2020,223885,789,31610,242,166309,2072,25966,-1525,120205,4917,72070,-4370
05-16-2020,224760,875,31763,153,166874,565,26123,157,122810,2605,70187,-1883
05-17-2020,225435,675,31908,145,170289,3415,23238,-2885,125176,2366,68351,-1836
05-18-2020,225886,451,32007,99,171532,1243,22347,-891,127326,2150,66553,-1798
05-19-2020,226699,813,32169,162,172742,1210,21788,-559,129401,2075,65129,-1424
05-20-2020,227364,665,32330,161,174385,1643,20649,-1139,132282,2881,62752,-2377
05-21-2020,228006,642,32486,156,175926,1541,19594,-1055,134560,2278,60960,-1792
05-22-2020,228658,652,32616,130,177505,1579,18537,-1057,136720,2160,59322,-1638
05-23-2020,229327,669,32735,119,178790,1285,17802,-735,138840,2120,57752,-1570
05-24-2020,229858,531,32785,50,179995,1205,17078,-724,140479,1639,56594,-1158
05-25-2020,230158,300,32877,92,180908,913,16373,-705,141981,1502,55300,-1294
05-26-2020,230555,397,32955,78,182485,1577,15115,-1258,144658,2677,52942,-2358
05-27-2020,231139,584,33072,117,183649,1164,14418,-697,147101,2443,50966,-1976
05-28-2020,231732,593,33142,70,184777,1128,13813,-605,150604,3503,47986,-2980
05-29-2020,232248,516,33229,87,185779,1002,13240,-573,152844,2240,46175,-1811
05-30-2020,232664,416,33340,111,186551,772,12773,-467,155633,2789,43691,-2484
05-31-2020,233019,355,33415,75,187675,1124,11929,-844,157507,1874,42097,-1594
06-01-2020,233197,178,33475,60,188234,559,11488,-441,158355,848,41367,-730
06-02-2020,233515,318,33530,55,189114,880,10871,-617,160092,1737,39893,-1474
06-03-2020,233836,321,33601,71,189954,840,10281,-590,160938,846,39297,-596
06-04-2020,234013,177,33689,88,190714,760,9610,-671,161895,957,38429,-868
06-05-2020,234531,518,33774,85,191494,780,9263,-347,163781,1886,36976,-1453
06-06-2020,234801,270,33846,72,192233,739,8722,-541,165078,1297,35877,-1099
06-07-2020,234998,197,33899,53,192855,622,8244,-478,165837,759,35262,-615
06-08-2020,235278,280,33964,65,193208,353,8106,-138,166584,747,34730,-532
06-09-2020,235561,283,34043,79,193776,568,7742,-364,168646,2062,32872,-1858
06-10-2020,235763,202,34114,71,194403,627,7246,-496,169939,1293,31710,-1162
06-11-2020,236142,379,34167,53,195042,639,6933,-313,171338,1399,30637,-1073
06-12-2020,236305,163,34223,56,195613,571,6469,-464,173085,1747,28997,-1640
06-13-2020,236651,346,34301,78,195994,381,6356,-113,174865,1780,27485,-1512
06-14-2020,236989,338,34345,44,196511,517,6133,-223,176370,1505,26274,-1211
06-15-2020,237290,301,34371,26,196742,231,6177,44,177010,640,25909,-365
06-16-2020,237500,210,34405,34,197130,388,5965,-212,178526,1516,24569,-1340
06-17-2020,237828,328,34448,43,197512,382,5868,-97,179455,929,23925,-644
06-18-2020,238159,331,34514,66,197750,238,5895,27,180544,1089,23101,-824
06-19-2020,238159,0,34561,47,198280,530,5318,-577,181907,1363,21691,-1410
06-20-2020,238275,116,34610,49,198597,317,5068,-250,181453,-454,22212,521
06-21-2020,238499,224,34634,24,198848,251,5017,-51,182893,1440,20972,-1240
06-22-2020,238720,221,34657,23,199131,283,4932,-85,183426,533,20637,-335
06-23-2020,238833,113,34675,18,199467,336,4691,-241,184585,1159,19573,-1064
06-24-2020,239410,577,34675,0,199757,290,4978,287,186111,1526,18624,-949
06-25-2020,239706,296,34678,3,200194,437,4834,-144,186725,614,18303,-321
06-26-2020,239961,255,34708,30,200408,214,4845,11,187615,890,17638,-665
06-27-2020,240136,175,34716,8,200782,374,4638,-207,188584,969,16836,-802
06-28-2020,240310,174,34738,22,201117,335,4455,-183,188891,307,16681,-155
06-29-2020,240436,126,34744,6,201402,285,4290,-165,189196,305,16496,-185
06-30-2020,240578,142,34767,23,201635,233,4176,-114,190248,1052,15563,-933
07-01-2020,240760,182,34788,21,201957,322,4015,-161,190717,469,15255,-308
07-02-2020,240961,201,34818,30,202252,295,3891,-124,191093,376,15050,-205
