date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
03-10-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
03-11-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-12-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
03-13-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
03-14-2020,8,6,0,0,0,0,8,6,-1,-1,-1,-1
03-15-2020,8,0,0,0,0,0,8,0,-1,-1,-1,-1
03-16-2020,10,2,0,0,0,0,10,2,-1,-1,-1,-1
03-17-2020,12,2,0,0,0,0,12,2,-1,-1,-1,-1
03-18-2020,13,1,0,0,0,0,13,1,-1,-1,-1,-1
03-19-2020,15,2,1,1,-1,-1,15,2,-1,-1,-1,-1
03-20-2020,16,1,1,0,-1,0,16,1,-1,-1,-1,-1
03-21-2020,16,0,1,0,-1,0,16,0,-1,-1,-1,-1
03-22-2020,16,0,1,0,-1,0,16,0,-1,-1,-1,-1
03-23-2020,19,3,1,0,-1,0,19,3,-1,-1,-1,-1
03-24-2020,21,2,1,0,0,1,20,1,-1,-1,-1,-1
03-25-2020,21,0,1,0,0,0,20,0,-1,-1,-1,-1
03-26-2020,26,5,1,0,0,0,25,5,-1,-1,-1,-1
03-27-2020,26,0,1,0,0,0,25,0,-1,-1,-1,-1
03-28-2020,26,0,1,0,5,5,20,-5,-1,-1,-1,-1
03-29-2020,30,4,1,0,5,0,24,4,-1,-1,-1,-1
03-30-2020,32,2,1,0,7,2,24,0,-1,-1,-1,-1
03-31-2020,36,4,1,0,8,1,27,3,-1,-1,-1,-1
04-01-2020,36,0,1,0,9,1,26,-1,-1,-1,-1,-1
04-02-2020,38,2,1,0,11,2,26,0,-1,-1,-1,-1
04-03-2020,44,6,3,2,9,-2,32,6,-1,-1,-1,-1
04-04-2020,47,3,3,0,9,0,35,3,-1,-1,-1,-1
04-05-2020,53,6,3,0,9,0,41,6,-1,-1,-1,-1
04-06-2020,55,2,3,0,12,3,40,-1,-1,-1,-1,-1
04-07-2020,58,3,3,0,14,2,41,1,-1,-1,-1,-1
04-08-2020,59,1,3,0,14,0,42,1,-1,-1,-1,-1
04-09-2020,63,4,3,0,18,4,42,0,-1,-1,-1,-1
04-10-2020,63,0,4,1,17,-1,42,0,-1,-1,-1,-1
04-11-2020,63,0,4,0,18,1,41,-1,-1,-1,-1,-1
04-12-2020,65,2,4,0,21,3,40,-1,-1,-1,-1,-1
04-13-2020,69,4,4,0,23,2,42,2,-1,-1,-1,-1
04-14-2020,72,3,4,0,26,3,42,0,-1,-1,-1,-1
04-15-2020,73,1,4,0,26,0,43,1,-1,-1,-1,-1
04-16-2020,105,32,5,1,27,1,73,30,-1,-1,-1,-1
