date,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Recovered,newRecovered,Active,newActive
01-22-2020,1,1,0,0,0,0,1,1,-1,-1,-1,-1
01-23-2020,1,0,0,0,0,0,1,0,-1,-1,-1,-1
01-24-2020,2,1,0,0,0,0,2,1,-1,-1,-1,-1
01-25-2020,3,1,0,0,0,0,3,1,-1,-1,-1,-1
01-26-2020,4,1,0,0,0,0,4,1,-1,-1,-1,-1
01-27-2020,4,0,0,0,0,0,4,0,-1,-1,-1,-1
01-28-2020,7,3,0,0,0,0,7,3,-1,-1,-1,-1
01-29-2020,11,4,0,0,0,0,11,4,-1,-1,-1,-1
01-30-2020,14,3,0,0,0,0,14,3,-1,-1,-1,-1
01-31-2020,17,3,0,0,0,0,17,3,-1,-1,-1,-1
02-01-2020,20,3,0,0,0,0,20,3,-1,-1,-1,-1
02-02-2020,20,0,0,0,0,0,20,0,-1,-1,-1,-1
02-03-2020,20,0,0,0,0,0,20,0,-1,-1,-1,-1
02-04-2020,23,3,0,0,0,0,23,3,-1,-1,-1,-1
02-05-2020,25,2,0,0,0,0,25,2,-1,-1,-1,-1
02-06-2020,25,0,0,0,0,0,25,0,-1,-1,-1,-1
02-07-2020,25,0,0,0,1,1,24,-1,-1,-1,-1,-1
02-08-2020,25,0,0,0,2,1,23,-1,-1,-1,-1,-1
02-09-2020,26,1,0,0,3,1,23,0,-1,-1,-1,-1
02-10-2020,26,0,0,0,3,0,23,0,-1,-1,-1,-1
02-11-2020,28,2,0,0,5,2,23,0,-1,-1,-1,-1
02-12-2020,29,1,0,0,8,3,21,-2,-1,-1,-1,-1
02-13-2020,33,4,1,1,10,2,22,1,-1,-1,-1,-1
02-14-2020,41,8,1,0,12,2,28,6,-1,-1,-1,-1
02-15-2020,53,12,1,0,15,3,37,9,-1,-1,-1,-1
02-16-2020,59,6,1,0,15,0,43,6,-1,-1,-1,-1
02-17-2020,65,6,1,0,15,0,49,6,-1,-1,-1,-1
02-18-2020,72,7,1,0,17,2,54,5,-1,-1,-1,-1
02-19-2020,73,1,1,0,19,2,53,-1,-1,-1,-1,-1
02-20-2020,93,20,1,0,19,0,73,20,-1,-1,-1,-1
02-21-2020,105,12,1,0,19,0,85,12,-1,-1,-1,-1
02-22-2020,132,27,1,0,19,0,112,27,-1,-1,-1,-1
02-23-2020,144,12,1,0,20,1,123,11,-1,-1,-1,-1
02-24-2020,156,12,1,0,20,0,135,12,-1,-1,-1,-1
02-25-2020,157,1,1,0,22,2,134,-1,-1,-1,-1,-1
02-26-2020,186,29,3,2,22,0,161,27,-1,-1,-1,-1
02-27-2020,187,1,4,1,24,2,159,-2,-1,-1,-1,-1
02-28-2020,210,23,5,1,30,6,175,16,-1,-1,-1,-1
02-29-2020,239,29,5,0,40,10,194,19,-1,-1,-1,-1
03-01-2020,239,0,6,1,44,4,189,-5,-1,-1,-1,-1
03-02-2020,268,29,6,0,49,5,213,24,-1,-1,-1,-1
03-03-2020,284,16,6,0,55,6,223,10,-1,-1,-1,-1
03-04-2020,287,3,6,0,56,1,225,2,-1,-1,-1,-1
03-05-2020,349,62,6,0,72,16,271,46,-1,-1,-1,-1
03-06-2020,349,0,6,0,82,10,261,-10,-1,-1,-1,-1
03-07-2020,407,58,6,0,104,22,297,36,-1,-1,-1,-1
03-08-2020,455,48,6,0,114,10,335,38,-1,-1,-1,-1
03-09-2020,514,59,9,3,121,7,384,49,-1,-1,-1,-1
03-10-2020,514,0,9,0,122,1,383,-1,-1,-1,-1,-1
03-11-2020,568,54,12,3,143,21,413,30,-1,-1,-1,-1
03-12-2020,620,52,15,3,141,-2,464,51,-1,-1,-1,-1
03-13-2020,675,55,19,4,157,16,499,35,-1,-1,-1,-1
03-14-2020,780,105,22,3,180,23,578,79,-1,-1,-1,-1
03-15-2020,780,0,22,0,180,0,578,0,-1,-1,-1,-1
03-16-2020,814,34,24,2,203,23,587,9,-1,-1,-1,-1
03-17-2020,829,15,28,4,213,10,588,1,-1,-1,-1,-1
03-18-2020,873,44,29,1,214,1,630,42,-1,-1,-1,-1
03-19-2020,950,77,33,4,263,49,654,24,-1,-1,-1,-1
03-20-2020,996,46,35,2,263,0,698,44,-1,-1,-1,-1
03-21-2020,1046,50,36,1,313,50,697,-1,-1,-1,-1,-1
03-22-2020,1046,0,36,0,354,41,656,-41,-1,-1,-1,-1
03-23-2020,1089,43,41,5,398,44,650,-6,-1,-1,-1,-1
03-24-2020,1128,39,42,1,397,-1,689,39,-1,-1,-1,-1
03-25-2020,1193,65,43,1,444,47,706,17,-1,-1,-1,-1
03-26-2020,1291,98,45,2,485,41,761,55,-1,-1,-1,-1
03-27-2020,1387,96,46,1,532,47,809,48,-1,-1,-1,-1
03-28-2020,1499,112,49,3,618,86,832,23,-1,-1,-1,-1
03-29-2020,1693,194,52,3,616,-2,1025,193,-1,-1,-1,-1
03-30-2020,1866,173,54,2,646,30,1166,141,-1,-1,-1,-1
03-31-2020,1953,87,56,2,658,12,1239,73,-1,-1,-1,-1
04-01-2020,2178,225,57,1,693,35,1428,189,-1,-1,-1,-1
04-02-2020,2384,206,57,0,766,73,1561,133,-1,-1,-1,-1
04-03-2020,2617,233,65,8,795,29,1757,196,-1,-1,-1,-1
04-04-2020,2935,318,69,4,841,46,2025,268,-1,-1,-1,-1
04-05-2020,3271,336,70,1,848,7,2353,328,-1,-1,-1,-1
04-06-2020,3654,383,73,3,888,40,2693,340,-1,-1,-1,-1
04-07-2020,3906,252,80,7,913,25,2913,220,-1,-1,-1,-1
04-08-2020,4257,351,81,1,974,61,3202,289,-1,-1,-1,-1
04-09-2020,4768,511,85,4,1056,82,3627,425,-1,-1,-1,-1
04-10-2020,5347,579,88,3,1140,84,4119,492,-1,-1,-1,-1
04-11-2020,6005,658,94,6,1241,101,4670,551,-1,-1,-1,-1
04-12-2020,6748,743,98,4,1394,153,5256,586,-1,-1,-1,-1
04-13-2020,7255,507,102,4,1536,142,5617,361,-1,-1,-1,-1
04-14-2020,7645,390,109,7,1603,67,5933,316,-1,-1,-1,-1
04-15-2020,8100,455,119,10,1781,178,6200,267,-1,-1,-1,-1
04-16-2020,8582,482,136,17,1945,164,6501,301,-1,-1,-1,-1
04-17-2020,9167,585,148,12,2128,183,6891,390,-1,-1,-1,-1
04-18-2020,9795,628,154,6,2390,262,7251,360,-1,-1,-1,-1
04-19-2020,10361,566,161,7,2657,267,7543,292,-1,-1,-1,-1
04-20-2020,10751,390,171,10,2966,309,7614,71,-1,-1,-1,-1
04-21-2020,11119,368,186,15,3161,195,7772,158,-1,-1,-1,-1
04-22-2020,11496,377,277,91,3366,205,7853,81,-1,-1,-1,-1
04-23-2020,11919,423,287,10,3786,420,7846,-7,-1,-1,-1,-1
04-24-2020,12388,469,317,30,4242,456,7829,-17,-1,-1,-1,-1
04-25-2020,12829,441,334,17,4778,536,7717,-112,-1,-1,-1,-1
04-26-2020,13182,353,348,14,5393,615,7441,-276,-1,-1,-1,-1
04-27-2020,13385,203,351,3,5827,434,7207,-234,-1,-1,-1,-1
04-28-2020,13576,191,376,25,6131,304,7069,-138,-1,-1,-1,-1
04-29-2020,13852,276,389,13,6520,389,6943,-126,-1,-1,-1,-1
04-30-2020,14088,236,415,26,6917,397,6756,-187,-1,-1,-1,-1
05-01-2020,14281,193,432,17,7409,492,6440,-316,-1,-1,-1,-1
05-02-2020,14545,264,454,22,7943,534,6148,-292,-1,-1,-1,-1
05-03-2020,14839,294,492,38,8410,467,5937,-211,-1,-1,-1,-1
05-04-2020,15057,218,510,18,8764,354,5783,-154,-1,-1,-1,-1
05-05-2020,15231,174,521,11,9088,324,5622,-161,-1,-1,-1,-1
05-06-2020,15354,123,543,22,9424,336,5387,-235,-1,-1,-1,-1
05-07-2020,15463,109,551,8,9835,411,5077,-310,-1,-1,-1,-1
05-08-2020,15547,84,557,6,10295,460,4695,-382,-1,-1,-1,-1
05-09-2020,15649,102,600,43,10707,412,4342,-353,-1,-1,-1,-1
05-10-2020,15747,98,613,13,11093,386,4041,-301,-1,-1,-1,-1
05-11-2020,15798,51,621,8,11329,236,3848,-193,-1,-1,-1,-1
05-12-2020,15874,76,643,22,11521,192,3710,-138,-1,-1,-1,-1
05-13-2020,16024,150,668,25,11795,274,3561,-149,-1,-1,-1,-1
05-14-2020,16079,55,687,19,12044,249,3348,-213,-1,-1,-1,-1
05-15-2020,16193,114,710,23,12271,227,3212,-136,-1,-1,-1,-1
05-16-2020,16237,44,725,15,12574,303,2938,-274,-1,-1,-1,-1
05-17-2020,16285,48,744,19,12889,315,2652,-286,-1,-1,-1,-1
05-18-2020,16305,20,749,5,13135,246,2421,-231,-1,-1,-1,-1
